Potential (V),Capacity (Ah),Current (A)
3.38272541,0.0552755016,0.0479938091
3.38402564,0.055343093,0.0479941629
3.38530579,0.0554106843,0.0479936871
3.38657786,0.0554782756,0.0479939707
3.38785221,0.055545867,0.0479936535
3.3891029,0.0556134583,0.0479939128
3.39036046,0.0556810497,0.0479940531
3.39159908,0.055748641,0.047993745
3.39283313,0.0558162324,0.0479940195
3.39406825,0.0558838238,0.0479936413
3.39527963,0.0559514152,0.0479938914
3.39649818,0.0560190065,0.0479941873
3.39770009,0.0560865979,0.0479937847
3.39889552,0.0561541893,0.0479939951
3.40009247,0.0562217807,0.0479936688
3.40126766,0.056289372,0.0479938823
3.40245049,0.0563569634,0.0479942483
3.40361454,0.0564245547,0.0479937908
3.40477394,0.0564921461,0.0479939097
3.405937,0.0565597374,0.0479936566
3.40707968,0.0566273288,0.0479938853
3.40822495,0.0566949202,0.0479941019
3.40935435,0.0567625116,0.047993806
3.41048092,0.0568301029,0.0479939524
3.41160772,0.0568976943,0.047993681
3.4127156,0.0569652857,0.047993803
3.41382858,0.0570328771,0.0479942087
3.41492508,0.0571004685,0.0479938274
3.4160173,0.0571680599,0.0479939555
3.41711456,0.0572356512,0.0479936017
3.41818801,0.0573032426,0.0479938792
3.41927107,0.057370834,0.0479940104
3.42033757,0.0574384253,0.0479938304
3.4213985,0.0575060167,0.0479939646
3.42246225,0.0575736081,0.0479936718
3.42350692,0.0576411995,0.0479937694
3.42455754,0.0577087909,0.0479941782
3.42559442,0.0577763822,0.0479937389
3.4266255,0.0578439736,0.0479940317
3.42765956,0.057911565,0.0479937023
3.42867415,0.0579791564,0.0479938823
3.42969332,0.0580467478,0.047994169
3.43070181,0.0581143392,0.047993867
3.43170098,0.0581819306,0.047993867
3.43270725,0.058249522,0.047993684
3.4336907,0.0583171134,0.0479939311
3.43468262,0.0583847047,0.047994108
3.4356605,0.0584522961,0.0479937694
3.43663296,0.0585198875,0.0479938487
3.43760816,0.0585874789,0.0479936749
3.43856421,0.0586550703,0.0479938182
3.43952621,0.0587226616,0.0479940073
3.44047424,0.058790253,0.0479938091
3.44141853,0.0588578444,0.0479939463
3.44236701,0.0589254357,0.0479935407
3.443291,0.0589930271,0.0479937206
3.44422674,0.0590606185,0.0479941568
3.44514423,0.0591282098,0.0479937359
3.44605685,0.0591958012,0.0479939219
3.44697396,0.0592633926,0.0479936474
3.44787123,0.0593309839,0.0479938152
3.44877621,0.0593985754,0.0479942087
3.44966691,0.0594661667,0.0479937725
3.45054761,0.0595337581,0.0479940165
3.45143213,0.0596013495,0.0479935895
3.45229772,0.0596689409,0.0479939524
3.45316987,0.0597365323,0.0479940561
3.45402668,0.0598041237,0.0479938487
3.45487578,0.0598717151,0.0479939067
3.45572893,0.0599393065,0.0479936535
3.45655612,0.0600068979,0.047993925
3.45739331,0.0600744893,0.047994108
3.45821173,0.0601420807,0.0479938213
3.45902434,0.060209672,0.0479939646
3.45983451,0.0602772634,0.0479935834
3.46062369,0.0603448548,0.0479939219
3.461415,0.0604124462,0.0479941965
3.46218647,0.0604800376,0.0479938426
3.46295206,0.060547629,0.0479940805
3.4637136,0.0606152205,0.0479937115
3.46445003,0.0606828119,0.0479938457
3.46518898,0.0607504033,0.0479941873
3.46590456,0.0608179947,0.0479938609
3.46660702,0.0608855861,0.0479939768
3.46730719,0.0609531775,0.0479936688
3.46797591,0.0610207689,0.0479939616
3.468646,0.0610883603,0.0479941202
3.46928884,0.0611559517,0.0479937999
3.4699158,0.0612235431,0.0479939799
3.47053971,0.0612911345,0.0479936322
3.47113064,0.0613587259,0.0479940287
3.47171813,0.0614263173,0.0479941233
3.47228059,0.0614939087,0.047993806
3.47282648,0.0615615001,0.0479939402
3.47336466,0.0616290915,0.047993684
3.473872,0.0616966829,0.0479939067
3.47437644,0.0617642743,0.0479941141
3.47485646,0.0618318657,0.0479936657
3.47532128,0.0618994571,0.0479940073
3.47578083,0.0619670485,0.0479936718
3.47621267,0.0620346399,0.0479938213
3.47664146,0.0621022313,0.0479942026
3.47704827,0.0621698227,0.0479937572
3.47744568,0.0622374141,0.047993986
3.47783783,0.0623050055,0.0479936352
3.47820295,0.0623725969,0.0479938853
3.47857266,0.0624401883,0.0479940348
3.47892206,0.0625077797,0.0479938121
3.47926145,0.0625753712,0.0479940958
3.47960169,0.0626429626,0.0479936718
3.47991865,0.062710554,0.0479938823
3.48024079,0.0627781454,0.0479940622
3.48054523,0.0628457368,0.0479939006
3.48084279,0.0629133282,0.0479940561
3.48114295,0.0629809196,0.0479936535
3.48142403,0.063048511,0.0479938548
3.48170908,0.0631161024,0.0479941507
3.48198168,0.0631836938,0.0479938396
3.48224772,0.0632512852,0.0479940134
3.48251994,0.0633188766,0.0479936962
3.48277323,0.063386468,0.047993928
3.4830314,0.0634540594,0.0479941355
3.48327942,0.0635216508,0.0479937725
3.48352409,0.0635892422,0.0479939524
3.48377501,0.0636568336,0.047993684
3.48400463,0.063724425,0.0479938975
3.48424609,0.0637920164,0.047994166
3.48447686,0.0638596078,0.0479937572
3.48470336,0.0639271993,0.0479939372
3.48493871,0.0639947907,0.0479936993
3.48515268,0.0640623821,0.047993806
3.48538315,0.0641299735,0.0479941263
3.48559643,0.0641975649,0.0479938487
3.48581026,0.0642651563,0.047993925
3.48603255,0.0643327477,0.0479936291
3.48623783,0.0644003391,0.0479938121
3.48645333,0.0644679305,0.0479940653
3.48665891,0.0645355219,0.0479937145
3.48686349,0.0646031133,0.0479940775
3.48707419,0.0646707047,0.0479936474
3.48726885,0.0647382961,0.0479938487
3.48747595,0.0648058874,0.0479941019
3.48767275,0.0648734788,0.0479937877
3.48786909,0.0649410702,0.0479939646
3.48807131,0.0650086616,0.0479937237
3.48826086,0.065076253,0.0479938121
3.48846148,0.0651438444,0.0479940989
3.4886495,0.0652114357,0.0479937969
3.48884118,0.0652790271,0.0479940134
3.48903943,0.0653466186,0.0479935986
3.48922089,0.06541421,0.0479938487
3.48941647,0.0654818014,0.047994169
3.48959869,0.0655493928,0.047993864
3.48978495,0.0656169842,0.0479940195
3.48997824,0.0656845755,0.0479936383
3.49015481,0.0657521669,0.0479939585
3.49034489,0.0658197583,0.0479940348
3.49052635,0.0658873497,0.0479937755
3.49070826,0.0659549411,0.0479939951
3.49089437,0.0660225324,0.0479936657
3.49106903,0.0660901238,0.0479938182
3.49125492,0.0661577152,0.0479941141
3.49143065,0.0662253065,0.0479937328
3.49160882,0.0662928979,0.0479940104
