Current(A),Test_Time(s),Voltage(V),Discharge_Capacity(Ah),dV/dQ(V/Ah),dQ/dV(Ah/V),Discharge_Energy(Wh),Power(W),Downsampled Voltage (V),Downsampled Capacity (Ah),dQ/dV from downsampled Voltage (Ah/V),dV/dQ from downsampled Cpacity (V/Ah),Downsampled Energy (Wh),Downsampled Power (W),dP/dE from downsampled Energy (W/Wh),dQ/dV from LEAN (Ah/V),Delta_V (V) in LEAN
-0.14999,12257.959,4.0726,0.31986,0.0,,1.3107,-0.61085,,,,,1.3107,-0.6108659440559443,0.006266282736861,,0.0049
-0.14999,12317.96,4.0724,0.32235,0.089847,0.0,1.3209,-0.61082,,,,,1.3209,-0.6108020279720283,0.0053704465469159,,0.0049
-0.14999,12377.959,4.0721,0.32485,,12.407,1.3311,-0.61077,,,,,1.3311,-0.6107563869463872,0.0037890214360842,,0.0049
-0.14999,12437.959,4.0719,0.32735,0.0,,1.3413,-0.61074,,,,,1.3413,-0.6107247319347322,0.0026364589515992,,0.0049
-0.14998,12497.959,4.0716,0.32985,,0.0,1.3514,-0.61066,,,,,1.3514,-0.6107027738927742,0.0018996703851286,,0.0049
-0.14999,12557.96,4.0715,0.33235,0.0,,1.3616,-0.61068,,,,,1.3616,-0.6106862237762257,0.0019790666848606,,0.0049
-0.14999,12617.959,4.0714,0.33485,,0.0,1.3718,-0.61067,,,,,1.3718,-0.610662400932403,0.0022327345856716,,0.0049
-0.15,12677.96,4.0712,0.33735,0.0,,1.382,-0.61068,,,,,1.382,-0.6106406759906781,0.0023724214473901,,0.0049
-0.15,12737.96,4.0708,0.33985,,0.0,1.3921,-0.61062,,,,,1.3921,-0.610614289044291,0.0024099430873469,,0.0049
-0.15,12797.959,4.0706,0.34235,0.0,,1.4023,-0.61059,,,,,1.4023,-0.6105917948717969,0.0026532291238225,,0.0049
-0.14999,12857.959,4.0705,0.34485,,0.0,1.4125,-0.61053,,,,,1.4125,-0.6105601631701651,0.0034598303019528,,0.0049
-0.14999,12917.959,4.0704,0.34734,0.0,,1.4226,-0.61052,,,,,1.4226,-0.6105216317016338,0.0035780803187854,,0.0049
-0.14999,12977.959,4.0702,0.34984,,0.0,1.4328,-0.61049,,,,,1.4328,-0.6104875757575778,0.0025435348964784,,0.0049
-0.15,13037.959,4.0699,0.35234,0.0,,1.443,-0.61049,4.0699,0.35234,-9.997500000001107,-0.0655384507798544,1.443,-0.6104697435897456,0.0022418757712934,,0.0049
-0.15,13097.959,4.0696,0.35484,,0.0,1.4532,-0.61044,,,,,1.4532,-0.6104418414918434,0.0022852501463859,,0.0049
-0.14999,13157.96,4.0695,0.35734,0.0,,1.4633,-0.61038,,,,,1.4633,-0.6104232634032655,0.0030163536158376,,0.0049
-0.15,13217.959,4.0694,0.35984,,0.0,1.4735,-0.61041,,,,,1.4735,-0.610380372960375,0.0038952877188194,,0.0049
-0.15,13277.959,4.0692,0.36234,0.0,,1.4837,-0.61038,,,,,1.4837,-0.6103437995338016,0.0036347785860648,,0.0049
-0.14999,13337.959,4.0688,0.36484,,0.0,1.4938,-0.61028,,,,,1.4938,-0.6103065967365989,0.0037507545641233,,0.0049
-0.15,13397.959,4.0686,0.36734,0.0,,1.504,-0.61029,,,,,1.504,-0.6102676456876478,0.0038552950317765,,0.0049
-0.14998,13457.959,4.0683,0.36984,,0.0,1.5142,-0.61016,,,,,1.5142,-0.6102279487179507,0.0039262967154449,,0.0049
-0.15,13517.959,4.0682,0.37233,0.0,,1.5243,-0.61023,,,,,1.5243,-0.6101879487179507,0.0036613711969728,,0.0049
