Current(A),Test_Time(s),Voltage(V),Discharge_Capacity(Ah),dV/dQ(V/Ah),dQ/dV(Ah/V),Discharge_Energy(Wh),Power(W),Downsampled Voltage (V),Downsampled Capacity (Ah),dQ/dV from downsampled Voltage (Ah/V),dV/dQ from downsampled Cpacity (V/Ah),Downsampled Energy (Wh),Downsampled Power (W),dP/dE from downsampled Energy (W/Wh),dQ/dV from LEAN (Ah/V),Delta_V (V) in LEAN
-0.15001,19283.9734,4.0225,0.61007,,,2.4924,-0.60342,4.0225,0.61007,-2.637444041098391,-0.3797777777778037,2.4924,-0.6034599067599087,0.0141009743913471,2.5650484389698263,0.005599999999999999
-0.15002,19343.9733,4.0215,0.61257,0.0,0.0,2.5024,-0.60331,,,,,2.5024,-0.6033152680652701,0.014551076806871,2.5650484389698263,0.005599999999999999
-0.15002,19403.973,4.0206,0.61507,0.3638300001621246,2.7037999629974365,2.5125,-0.60317,,,,,2.5125,-0.6031674125874147,0.0150102262809461,2.5650484389698263,0.005599999999999999
-0.15001,19463.9746,4.0197,0.61757,,,2.5225,-0.603,,,,,2.5225,-0.6030136363636385,0.0146680565875279,2.5650484389698263,0.005599999999999999
-0.15002,19523.9747,4.0188,0.62007,0.0,0.0,2.5326,-0.6029,,,,,2.5326,-0.6028727272727292,0.0138633737082045,2.5650484389698263,0.005599999999999999
-0.15002,19583.9735,4.0176,0.62257,,,2.5426,-0.60272,4.0176,0.62257,-2.596392458979913,-0.3853333333333353,2.5426,-0.6027349650349672,0.0142239149288023,2.5650484389698263,0.005599999999999999
-0.15003,19643.9735,4.0166,0.62507,0.0,0.0,2.5527,-0.60261,,,,,2.5527,-0.6025867365967387,0.0149184956383123,2.465726509542109,0.005599999999999999
-0.15001,19703.9736,4.0157,0.62757,,2.3907999992370605,2.5627,-0.6024,,,,,2.5627,-0.6024351515151536,0.0150310212422013,2.465726509542109,0.005599999999999999
-0.15002,19763.9745,4.0148,0.63007,0.0,,2.5728,-0.6023,,,,,2.5728,-0.6022846386946407,0.0149490302646846,2.465726509542109,0.005599999999999999
-0.15002,19823.9729,4.0138,0.63257,,0.0,2.5828,-0.60215,4.0138,0.63257,-2.538957767992017,-0.3950000000000102,2.5828,-0.6021346853146873,0.0149242424242466,2.465726509542109,0.005599999999999999
-0.15002,19883.9742,4.0126,0.63507,0.0,,2.5928,-0.60197,,,,,2.5928,-0.6019861538461557,0.0151600432144327,2.465726509542109,0.005599999999999999
-0.15002,19943.9727,4.0115,0.63757,,0.0,2.6029,-0.60181,,,,,2.6029,-0.6018299067599087,0.0155981092942738,2.4427531546744867,0.005599999999999999
