Current(A),Test_Time(s),Voltage(V),Discharge_Capacity(Ah),dV/dQ(V/Ah),dQ/dV(Ah/V),Discharge_Energy(Wh),Power(W),Downsampled Voltage (V),Downsampled Capacity (Ah),dQ/dV from downsampled Voltage (Ah/V),dV/dQ from downsampled Cpacity (V/Ah),Downsampled Energy (Wh),Downsampled Power (W),dP/dE from downsampled Energy (W/Wh),dQ/dV from LEAN (Ah/V),Delta_V (V) in LEAN
-0.15001,11311.219,4.0701,0.26495,,,1.0846,-0.61056,,,,,1.0846,-0.6105596503496508,0.0043204320431926,4.727266233826589,0.005599999999999999
-0.15001,11371.218,4.0699,0.26745,0.0,0.0,1.0947,-0.61053,,,,,1.0947,-0.6105160139860145,0.004189066901695,4.727266233826589,0.005599999999999999
-0.15001,11431.218,4.0694,0.26995,,,1.1049,-0.61045,,,,,1.1049,-0.6104746386946392,0.0039558480734953,4.727266233826589,0.005599999999999999
-0.15001,11491.219,4.0693,0.27245,0.0,0.0,1.1151,-0.61044,,,,,1.1151,-0.6104353146853152,0.0037828626274816,4.727266233826589,0.005599999999999999
-0.15001,11551.218,4.069,0.27495,,,1.1252,-0.61039,,,,,1.1252,-0.6103978321678326,0.0036134467379227,4.727266233826589,0.005599999999999999
-0.15001,11611.22,4.0689,0.27745,0.0,0.0,1.1354,-0.61038,,,,,1.1354,-0.6103619813519833,0.0035262123496693,4.727266233826589,0.005599999999999999
-0.15,11671.219,4.0687,0.27995,,,1.1456,-0.61031,,,,,1.1456,-0.6103258974358994,0.0029081556484911,4.727266233826589,0.005599999999999999
-0.15002,11731.218,4.0684,0.28245,0.0,0.0,1.1557,-0.61034,,,,,1.1557,-0.6103028205128225,0.0027660282244248,4.727266233826589,0.005599999999999999
-0.15001,11791.22,4.068,0.28494,,,1.1659,-0.61024,,,,,1.1659,-0.6102696503496524,0.0033970931029685,4.727266233826589,0.005599999999999999
-0.15001,11851.219,4.0677,0.28744,0.0,11.105,1.1761,-0.6102,,,,,1.1761,-0.6102335198135219,0.0039855569267395,5.556185029469885,0.005599999999999999
-0.15002,11911.219,4.0676,0.28994,,,1.1863,-0.61022,,,,,1.1863,-0.610188344988347,0.0045216761160737,5.556185029469885,0.005599999999999999
-0.15002,11971.218,4.0674,0.29244,0.0,0.0,1.1964,-0.61019,,,,,1.1964,-0.6101417482517503,0.0042226400158256,5.556185029469885,0.005599999999999999
-0.15001,12031.218,4.0669,0.29494,,,1.2066,-0.61008,,,,,1.2066,-0.6101027039627059,0.0037033228209715,5.556185029469885,0.005599999999999999
-0.15001,12091.218,4.0666,0.29744,0.0,0.0,1.2168,-0.61003,,,,,1.2168,-0.6100662004662024,0.0046414192719872,5.556185029469885,0.005599999999999999
-0.15001,12151.219,4.0663,0.29994,,,1.2269,-0.60999,,,,,1.2269,-0.6100086946386967,0.0058819074293126,5.556185029469885,0.005599999999999999
-0.15001,12211.218,4.0662,0.30244,0.0,0.0,1.2371,-0.60997,,,,,1.2371,-0.609946759906762,0.0055595258163769,5.556185029469885,0.005599999999999999
-0.15002,12271.22,4.0659,0.30494,,,1.2472,-0.60997,4.0659,0.30494,-6.578947368421014,-0.122492025296907,1.2472,-0.6098957342657364,0.0043395040081328,5.556185029469885,0.005599999999999999
-0.15,12331.218,4.0654,0.30744,0.0,0.0,1.2574,-0.60981,,,,,1.2574,-0.6098588111888134,0.0045054618584075,5.556185029469885,0.005599999999999999
-0.15,12391.219,4.065,0.30994,,,1.2676,-0.60975,,,,,1.2676,-0.6098038228438248,0.0057576101769072,5.556185029469885,0.005599999999999999
-0.15001,12451.218,4.0648,0.31244,0.0,0.0,1.2777,-0.60976,,,,,1.2777,-0.6097420046620067,0.0059099707755159,5.556185029469885,0.005599999999999999
-0.15001,12511.219,4.0645,0.31494,,,1.2879,-0.60972,,,,,1.2879,-0.6096838927738949,0.0053510213602976,5.556185029469885,0.005599999999999999
