Current(A),Test_Time(s),Voltage(V),Discharge_Capacity(Ah),dV/dQ(V/Ah),dQ/dV(Ah/V),Discharge_Energy(Wh),Power(W),Downsampled Voltage (V),Downsampled Capacity (Ah),dQ/dV from downsampled Voltage (Ah/V),dV/dQ from downsampled Cpacity (V/Ah),Downsampled Energy (Wh),Downsampled Power (W),dP/dE from downsampled Energy (W/Wh),dQ/dV from LEAN (Ah/V),Delta_V (V) in LEAN
-0.15002,14329.463,4.0691,0.40005,,13.23,1.6392,-0.61045,,,,,1.6392,-0.6104477622377623,0.0027625839506864,4.206964793974476,0.0049
-0.15002,14389.463,4.0689,0.40255,0.0,,1.6493,-0.61042,,,,,1.6493,-0.6104198601398604,0.0029560461117021,4.206964793974476,0.0049
-0.15002,14449.462,4.0685,0.40505,,0.0,1.6595,-0.61036,,,,,1.6595,-0.610387715617716,0.0033268202385805,4.206964793974476,0.0049
-0.15004,14509.463,4.0683,0.40755,0.0,,1.6697,-0.61041,,,,,1.6697,-0.6103519930069934,0.0036450477626956,4.206964793974476,0.0049
-0.15001,14569.462,4.0682,0.41005,,0.0,1.6799,-0.61027,,,,,1.6799,-0.610313356643357,0.0039186288843957,4.206964793974476,0.0049
-0.15002,14629.462,4.068,0.41255,0.0,,1.69,-0.61028,,,,,1.69,-0.6102724708624729,0.0040533656824308,4.206964793974476,0.0049
-0.15002,14689.463,4.0677,0.41505,,0.0,1.7002,-0.61024,,,,,1.7002,-0.6102310722610743,0.0040552584670194,4.206964793974476,0.0049
-0.15002,14749.464,4.0673,0.41755,0.0,,1.7104,-0.61018,,,,,1.7104,-0.6101897435897458,0.0043305889780249,5.126260087324313,0.0049
-0.15002,14809.464,4.067,0.42005,,0.0,1.7205,-0.61013,,,,,1.7205,-0.6101432167832188,0.0043863029282746,5.126260087324313,0.0049
-0.15002,14869.464,4.0669,0.42255,0.0,,1.7307,-0.61012,,,,,1.7307,-0.610100745920748,0.0045465971936557,5.126260087324313,0.0049
-0.15001,14929.463,4.0667,0.42506,,0.0,1.7409,-0.61005,,,,,1.7409,-0.6100504662004682,0.0051290140047548,5.126260087324313,0.0049
-0.15002,14989.464,4.0662,0.42756,0.0,,1.751,-0.61001,4.0662,0.42756,-6.2499999999994325,-0.1285714285714334,1.751,-0.6099966666666687,0.0048174706911865,5.126260087324313,0.0049
-0.15002,15049.462,4.0658,0.43006,,0.0,1.7612,-0.60995,,,,,1.7612,-0.6099527738927759,0.0042072306778138,5.126260087324313,0.0049
-0.15001,15109.462,4.0655,0.43256,0.0,,1.7714,-0.60987,,,,,1.7714,-0.6099108391608413,0.0044668389224789,5.126260087324313,0.0049
-0.15002,15169.463,4.0653,0.43506,,0.0,1.7815,-0.60988,,,,,1.7815,-0.60986216783217,0.0048318221475192,5.126260087324313,0.0049
-0.15001,15229.462,4.065,0.43756,0.0,,1.7917,-0.60979,,,,,1.7917,-0.6098127505827526,0.0049693770281997,5.126260087324313,0.0049
-0.15003,15289.464,4.0646,0.44006,,0.0,1.8019,-0.60981,,,,,1.8019,-0.6097607925407946,0.0051366620512816,5.126260087324313,0.0049
-0.15003,15349.462,4.064,0.44256,0.090839,8.7937,1.812,-0.60972,,,,,1.812,-0.6097084848484869,0.0054402462291207,5.126260087324313,0.0049
-0.15002,15409.462,4.0636,0.44506,,,1.8222,-0.60962,,,,,1.8222,-0.6096503030303051,0.0065599433246568,5.126260087324313,0.0049
-0.15002,15469.462,4.0632,0.44756,0.0,0.0,1.8324,-0.60956,,,,,1.8324,-0.6095746620046639,0.0072161116876188,5.126260087324313,0.0049
-0.15002,15529.462,4.0629,0.45006,,,1.8425,-0.60952,,,,,1.8425,-0.6095037762237783,0.0074241862364701,5.126260087324313,0.0049
