Current(A),Test_Time(s),Voltage(V),Discharge_Capacity(Ah),dV/dQ(V/Ah),dQ/dV(Ah/V),Discharge_Energy(Wh),Power(W),Downsampled Voltage (V),Downsampled Capacity (Ah),dQ/dV from downsampled Voltage (Ah/V),dV/dQ from downsampled Cpacity (V/Ah),Downsampled Energy (Wh),Downsampled Power (W),dP/dE from downsampled Energy (W/Wh),dQ/dV from LEAN (Ah/V),Delta_V (V) in LEAN
-0.14999,13096.735,4.0668,0.34739,0.0,0.0,1.4217,-0.60998,,,,,1.4217,-0.6099890209790212,0.002831821643691,5.296659506378091,0.005599999999999999
-0.14999,13156.735,4.0667,0.34989,,,1.4318,-0.60996,,,,,1.4318,-0.6099604195804199,0.0033069268855392,5.296659506378091,0.005599999999999999
-0.15,13216.736,4.0664,0.35239,0.0,0.0,1.442,-0.60996,,,,,1.442,-0.6099217948717952,0.0041878056583968,5.296659506378091,0.005599999999999999
-0.14999,13276.735,4.066,0.35489,,,1.4522,-0.60986,,,,,1.4522,-0.6098749883449887,0.0049271280247502,5.296659506378091,0.005599999999999999
-0.14999,13336.735,4.0656,0.35739,0.0,0.0,1.4623,-0.6098,,,,,1.4623,-0.6098218414918418,0.005455842042231,5.296659506378091,0.005599999999999999
-0.14999,13396.735,4.0653,0.35989,,,1.4725,-0.60975,,,,,1.4725,-0.6097641958041978,0.0057109641819472,5.296659506378091,0.005599999999999999
-0.14999,13456.737,4.0651,0.36239,0.0,0.0,1.4826,-0.60972,,,,,1.4826,-0.6097059207459228,0.006071399329496,5.296659506378091,0.005599999999999999
-0.14999,13516.734,4.0647,0.36489,,,1.4928,-0.60966,,,,,1.4928,-0.6096408857808878,0.0057772293066413,5.296659506378091,0.005599999999999999
-0.14999,13576.736,4.0641,0.36739,0.0,0.0,1.503,-0.60957,,,,,1.503,-0.6095880652680673,0.0055092309043658,5.296659506378091,0.005599999999999999
-0.14999,13636.734,4.0638,0.36989,,,1.5131,-0.60953,,,,,1.5131,-0.6095291142191162,0.0059651756807959,5.296659506378091,0.005599999999999999
-0.14999,13696.735,4.0634,0.37238,0.0,0.0,1.5233,-0.60947,,,,,1.5233,-0.6094669463869484,0.006451067392355,5.296659506378091,0.005599999999999999
-0.14998,13756.734,4.0631,0.37488,,7.4492,1.5334,-0.60938,,,,,1.5334,-0.6093982284382305,0.0063566947827879,5.296659506378091,0.005599999999999999
-0.14999,13816.736,4.0627,0.37738,0.0,,1.5436,-0.60936,,,,,1.5436,-0.6093379953379973,0.0063219054000853,5.296659506378091,0.005599999999999999
-0.14999,13876.735,4.0621,0.37988,,0.0,1.5537,-0.60927,4.0621,0.37988,-5.128205128205406,-0.1678702191748584,1.5537,-0.6092699766899787,0.0066641482372666,4.7885851553352845,0.005599999999999999
-0.14999,13936.736,4.0616,0.38238,0.0,,1.5639,-0.6092,,,,,1.5639,-0.6092027272727292,0.0067801128462257,4.7885851553352845,0.005599999999999999
-0.14999,13996.734,4.0611,0.38488,,0.0,1.574,-0.60912,,,,,1.574,-0.6091323776223796,0.0069984205696052,4.7885851553352845,0.005599999999999999
