Current(A),Test_Time(s),Voltage(V),Discharge_Capacity(Ah),dV/dQ(V/Ah),dQ/dV(Ah/V),Discharge_Energy(Wh),Power(W),Downsampled Voltage (V),Downsampled Capacity (Ah),dQ/dV from downsampled Voltage (Ah/V),dV/dQ from downsampled Cpacity (V/Ah),Downsampled Energy (Wh),Downsampled Power (W),dP/dE from downsampled Energy (W/Wh),dQ/dV from LEAN (Ah/V),Delta_V (V) in LEAN
-0.14999,14056.734,4.0608,0.38738,0.0,,1.5842,-0.60908,,,,,1.5842,-0.6090606526806547,0.0072929706763744,4.7885851553352845,0.005599999999999999
-0.14998,14116.736,4.0603,0.38988,,0.0,1.5943,-0.60896,,,,,1.5943,-0.6089843822843842,0.0073736990532538,4.7885851553352845,0.005599999999999999
-0.15,14176.737,4.0596,0.39238,0.0,,1.6045,-0.60894,,,,,1.6045,-0.6089110023310044,0.0072588940903699,4.7885851553352845,0.005599999999999999
-0.14999,14236.736,4.0591,0.39488,,0.0,1.6146,-0.60882,,,,,1.6146,-0.6088370396270416,0.0075067643179593,4.7885851553352845,0.005599999999999999
-0.14999,14296.735,4.0587,0.39738,0.0,,1.6248,-0.60876,,,,,1.6248,-0.6087585780885802,0.0075531501615451,4.7885851553352845,0.005599999999999999
-0.14999,14356.737,4.0582,0.39988,0.15972,0.0,1.6349,-0.60869,4.0582,0.39988,-4.623695769157962,-0.2221297808251279,1.6349,-0.608683682983685,0.0068834457393194,4.7885851553352845,0.005599999999999999
-0.14999,14416.735,4.0576,0.40238,,5.2428,1.6451,-0.6086,,,,,1.6451,-0.6086189510489531,0.0070168050396084,4.7885851553352845,0.005599999999999999
-0.15,14476.735,4.0569,0.40488,0.0,,1.6552,-0.60854,,,,,1.6552,-0.6085413752913774,0.0079554109257138,4.7885851553352845,0.005599999999999999
-0.15,14536.734,4.0563,0.40737,,0.0,1.6653,-0.60845,,,,,1.6653,-0.6084582517482537,0.008474163957878,4.189278384886036,0.005599999999999999
-0.15001,14596.735,4.0558,0.40987,0.0,,1.6755,-0.60841,,,,,1.6755,-0.6083693006993027,0.0089867275294928,4.189278384886036,0.005599999999999999
-0.15,14656.735,4.0553,0.41237,,0.0,1.6856,-0.6083,,,,,1.6856,-0.608275874125876,0.0094028766271883,4.189278384886036,0.005599999999999999
-0.14999,14716.735,4.0546,0.41487,0.0,,1.6958,-0.60815,,,,,1.6958,-0.6081783916083937,0.0095037658369783,4.189278384886036,0.005599999999999999
-0.14999,14776.735,4.0539,0.41737,,0.0,1.7059,-0.60804,4.0539,0.41737,-3.951400584667546,-0.2534694248184195,1.7059,-0.608082937062939,0.0095351842876638,4.189278384886036,0.005599999999999999
-0.15,14836.736,4.0533,0.41987,0.0,,1.716,-0.608,,,,,1.716,-0.6079857808857829,0.0105137436820577,4.189278384886036,0.005599999999999999
-0.14999,14896.736,4.0528,0.42237,,4.1728,1.7261,-0.60788,,,,,1.7261,-0.6078705594405615,0.0104018692665732,4.189278384886036,0.005599999999999999
-0.14999,14956.736,4.0522,0.42487,0.0,,1.7363,-0.60779,,,,,1.7363,-0.6077748251748273,0.008977823868463,4.189278384886036,0.005599999999999999
-0.15,15016.736,4.0514,0.42737,,0.0,1.7464,-0.60771,,,,,1.7464,-0.6076882284382304,0.0094959495949638,4.189278384886036,0.005599999999999999
-0.14999,15076.736,4.0506,0.42987,0.0,,1.7565,-0.60755,,,,,1.7565,-0.607583006993009,0.0107641533384068,3.7101986865786842,0.005599999999999999
-0.14998,15136.735,4.05,0.43237,,0.0,1.7666,-0.60742,4.05,0.43237,-3.753501407129463,-0.266760091923004,1.7666,-0.6074707925407946,0.0107048086392644,3.7101986865786842,0.005599999999999999
-0.15,15196.737,4.0495,0.43487,0.0,,1.7768,-0.60743,,,,,1.7768,-0.6073657808857829,0.0108172943099553,3.7101986865786842,0.005599999999999999
-0.14999,15256.735,4.0488,0.43737,,0.0,1.7869,-0.60728,,,,,1.7869,-0.6072513053613073,0.0111068799187634,3.7101986865786842,0.005599999999999999
-0.14998,15316.735,4.0479,0.43987,0.24604,3.6143,1.797,-0.6071,,,,,1.797,-0.6071414219114238,0.0105610561056117,3.7101986865786842,0.005599999999999999
-0.14999,15376.736,4.0472,0.44236,,,1.8071,-0.60704,,,,,1.8071,-0.607037972027974,0.0102021740635613,3.7101986865786842,0.005599999999999999
-0.14999,15436.735,4.0465,0.44486,0.0,0.0,1.8172,-0.60693,,,,,1.8172,-0.6069353379953399,0.0107780008770106,3.7101986865786842,0.005599999999999999
-0.14998,15496.737,4.0459,0.44736,,,1.8273,-0.6068,4.0459,0.44736,-3.5101169649952126,-0.2857761354665484,1.8273,-0.6068202564102584,0.010711002781182,3.7101986865786842,0.005599999999999999
-0.14999,15556.734,4.0452,0.44986,0.0,0.0,1.8375,-0.60674,,,,,1.8375,-0.6067180419580438,0.0096708002387444,3.3898669019243908,0.005599999999999999
-0.14999,15616.734,4.0445,0.45236,,,1.8476,-0.60663,,,,,1.8476,-0.6066238694638715,0.0098848346372975,3.3898669019243908,0.005599999999999999
-0.15,15676.735,4.0436,0.45486,0.0,0.0,1.8577,-0.60654,,,,,1.8577,-0.6065183682983704,0.0102517944102089,3.3898669019243908,0.005599999999999999
-0.14999,15736.736,4.0428,0.45736,,3.5966,1.8678,-0.60638,,,,,1.8678,-0.6064167832167853,0.0101675552170625,3.3898669019243908,0.005599999999999999
-0.14999,15796.736,4.0422,0.45986,0.0,,1.8779,-0.60629,4.0422,0.45986,-3.2940328992960914,-0.304000000000002,1.8779,-0.6063129836829857,0.011135728957516,3.3898669019243908,0.005599999999999999
-0.15,15856.735,4.0415,0.46236,,0.0,1.888,-0.60623,,,,,1.888,-0.6061918414918435,0.0123439267003568,3.3898669019243908,0.005599999999999999
-0.14999,15916.734,4.0408,0.46486,0.0,,1.8981,-0.60608,,,,,1.8981,-0.6060636363636385,0.0119654273119564,3.3898669019243908,0.005599999999999999
-0.14999,15976.737,4.04,0.46736,,0.0,1.9082,-0.60596,,,,,1.9082,-0.6059501398601419,0.0113803688061153,3.3898669019243908,0.005599999999999999
-0.14999,16036.736,4.0391,0.46986,0.0,,1.9183,-0.60582,,,,,1.9183,-0.605833752913755,0.0120012001200144,3.174553136296439,0.005599999999999999
-0.14998,16096.734,4.0383,0.47236,,0.0,1.9284,-0.60566,4.0383,0.47236,-3.1643370658875654,-0.3161297543837804,1.9284,-0.6057077156177176,0.0124385515474649,3.174553136296439,0.005599999999999999
-0.14998,16156.736,4.0377,0.47485,0.29428,3.2749,1.9385,-0.60557,,,,,1.9385,-0.6055824941724962,0.0120508204666549,3.174553136296439,0.005599999999999999
-0.15,16216.734,4.0369,0.47735,,,1.9486,-0.60554,,,,,1.9486,-0.6054642890442912,0.0120691670774419,3.174553136296439,0.005599999999999999
-0.14998,16276.736,4.036,0.47985,0.0,0.0,1.9586,-0.60532,,,,,1.9586,-0.6053399766899787,0.0121288745407319,3.174553136296439,0.005599999999999999
-0.14999,16336.737,4.0351,0.48235,,,1.9687,-0.60522,,,,,1.9687,-0.6052205594405615,0.011583466038914,3.174553136296439,0.005599999999999999
-0.14999,16396.736,4.0343,0.48485,0.0,0.0,1.9788,-0.6051,4.0343,0.48485,-3.051129500580913,-0.3281249524629572,1.9788,-0.6051059906759927,0.0121800641602654,3.039434550665374,0.005599999999999999
-0.14998,16456.735,4.0336,0.48735,,,1.9889,-0.60496,,,,,1.9889,-0.6049745221445242,0.0125320224330138,3.039434550665374,0.005599999999999999
-0.14998,16516.734,4.0328,0.48985,0.0,3.1042,1.999,-0.60484,,,,,1.999,-0.6048528438228458,0.0115673105772202,3.039434550665374,0.005599999999999999
-0.14999,16576.737,4.032,0.49235,,,2.0091,-0.60476,,,,,2.0091,-0.6047408624708644,0.0117180828300966,3.039434550665374,0.005599999999999999
-0.15,16636.736,4.0309,0.49485,0.0,0.0,2.0191,-0.60464,,,,,2.0191,-0.6046174358974378,0.0118937605586104,3.039434550665374,0.005599999999999999
-0.14999,16696.735,4.0301,0.49735,,,2.0292,-0.60447,4.0301,0.49735,-2.9750000000000085,-0.3361345614306685,2.0292,-0.60450188811189,0.011652703731908,3.039434550665374,0.005599999999999999
-0.15,16756.736,4.0294,0.49985,0.0,0.0,2.0393,-0.60441,,,,,2.0393,-0.6043820512820532,0.0125044463114427,3.039434550665374,0.005599999999999999
-0.14998,16816.737,4.0287,0.50235,,,2.0493,-0.60422,,,,,2.0493,-0.6042506759906779,0.0129327325384736,2.922623766912455,0.005599999999999999
-0.14999,16876.735,4.0278,0.50485,0.32667,3.0001,2.0594,-0.60413,,,,,2.0594,-0.6041221445221464,0.0128378222437639,2.922623766912455,0.005599999999999999
-0.15,16936.736,4.0268,0.50734,,,2.0695,-0.60402,,,,,2.0695,-0.6039913519813539,0.012965632843418,2.922623766912455,0.005599999999999999
-0.14999,16996.736,4.0259,0.50984,0.0,0.0,2.0795,-0.60384,4.0259,0.50984,-2.910173160173237,-0.3438946265950164,2.0795,-0.6038615384615404,0.0135225197605812,2.922623766912455,0.005599999999999999
-0.14998,17056.735,4.0253,0.51234,,,2.0896,-0.60371,,,,,2.0896,-0.6037194405594426,0.0135486625585592,2.922623766912455,0.005599999999999999
-0.14999,17116.734,4.0244,0.51484,0.0,0.0,2.0997,-0.60362,,,,,2.0997,-0.6035878554778575,0.0132014506846829,2.922623766912455,0.005599999999999999
-0.14998,17176.736,4.0234,0.51734,,,2.1097,-0.60343,,,,,2.1097,-0.6034541258741278,0.0130820357581171,2.922623766912455,0.005599999999999999
-0.14999,17236.734,4.0224,0.51984,0.0,2.8711,2.1198,-0.60332,4.0224,0.51984,-2.822420634920661,-0.3544444444444821,2.1198,-0.603324965034967,0.01272127545705,2.804969860704648,0.005599999999999999
-0.14999,17296.736,4.0215,0.52234,,,2.1298,-0.60318,,,,,2.1298,-0.6031984149184169,0.0130600004891476,2.804969860704648,0.005599999999999999
-0.14999,17356.734,4.0208,0.52484,0.0,0.0,2.1399,-0.60308,,,,,2.1399,-0.6030623776223796,0.0137463821008871,2.804969860704648,0.005599999999999999
-0.14999,17416.737,4.02,0.52734,,,2.1499,-0.60296,,,,,2.1499,-0.6029221678321699,0.0132319793403006,2.804969860704648,0.005599999999999999
-0.14999,17476.735,4.0189,0.52984,0.0,0.0,2.16,-0.60279,,,,,2.16,-0.6027965734265753,0.0125491116275853,2.804969860704648,0.005599999999999999
-0.14999,17536.735,4.0179,0.53234,0.35223,,2.17,-0.60264,4.0179,0.53234,-2.776234567901369,-0.3602002892175733,2.17,-0.6026699533799553,0.0131013986013961,2.804969860704648,0.005599999999999999
-0.14999,17596.734,4.017,0.53484,,2.7911,2.18,-0.60251,,,,,2.18,-0.6025345454545474,0.0135590607281201,2.7182596435561632,0.005599999999999999
-0.14999,17656.735,4.0163,0.53734,0.0,,2.1901,-0.6024,,,,,2.1901,-0.6023974125874145,0.0132838053036046,2.7182596435561632,0.005599999999999999
-0.15,17716.735,4.0154,0.53984,,0.0,2.2001,-0.60231,,,,,2.2001,-0.6022674825174845,0.0132367282652445,2.7182596435561632,0.005599999999999999
-0.15,17776.737,4.0143,0.54233,0.0,,2.2102,-0.60215,4.0143,0.54233,-2.7762345679013407,-0.3602002892176301,2.2102,-0.6021313053613074,0.0136209145598833,2.7182596435561632,0.005599999999999999
-0.14999,17836.736,4.0133,0.54483,,0.0,2.2202,-0.60195,,,,,2.2202,-0.6019937296037315,0.0143053613053574,2.7182596435561632,0.005599999999999999
-0.15,17896.735,4.0124,0.54733,0.0,2.7272,2.2302,-0.60186,,,,,2.2302,-0.6018451981352002,0.0147727272727209,2.7182596435561632,0.005599999999999999
-0.14999,17956.736,4.0117,0.54983,,,2.2402,-0.60171,,,,,2.2402,-0.6016982750582771,0.0146463444277955,2.654379430543903,0.005599999999999999
-0.14998,18016.735,4.0107,0.55233,0.0,0.0,2.2503,-0.60152,,,,,2.2503,-0.6015508158508178,0.0139763610115224,2.654379430543903,0.005599999999999999
-0.14999,18076.735,4.0098,0.55483,,,2.2603,-0.60143,4.0098,0.55483,-2.6985133516521813,-0.3711111111110767,2.2603,-0.6014172261072283,0.0133752913752864,2.654379430543903,0.005599999999999999
-0.14999,18136.736,4.0087,0.55733,0.0,0.0,2.2703,-0.60126,,,,,2.2703,-0.601283310023312,0.0144860139860192,2.654379430543903,0.005599999999999999
-0.15,18196.735,4.0077,0.55983,0.38087,2.6095,2.2803,-0.60116,,,,,2.2803,-0.601127505827508,0.0149533799533827,2.654379430543903,0.005599999999999999
-0.14999,18256.735,4.0069,0.56233,,,2.2903,-0.60099,,,,,2.2903,-0.6009842424242444,0.014246584934046,2.654379430543903,0.005599999999999999
-0.14999,18316.735,4.006,0.56483,0.0,0.0,2.3004,-0.60086,4.006,0.56483,-2.5982789140684446,-0.3849999999999625,2.3004,-0.6008411655011675,0.0146612250203155,2.6014488598032446,0.005599999999999999
-0.14998,18376.736,4.005,0.56733,,,2.3104,-0.60067,,,,,2.3104,-0.6006896503496524,0.0145419580419634,2.6014488598032446,0.005599999999999999
-0.14998,18436.736,4.0039,0.56983,0.0,0.0,2.3204,-0.6005,,,,,2.3204,-0.6005503263403282,0.0137447552447618,2.6014488598032446,0.005599999999999999
-0.15,18496.735,4.0029,0.57233,,2.5376,2.3304,-0.60044,,,,,2.3304,-0.6004147552447572,0.0139090909090882,2.6014488598032446,0.005599999999999999
-0.14999,18556.735,4.0021,0.57483,0.0,,2.3404,-0.60027,4.0021,0.57483,-2.501937929956213,-0.4002103103603645,2.3404,-0.6002721445221465,0.0144114219114221,2.6014488598032446,0.005599999999999999
-0.14999,18616.735,4.0012,0.57732,,0.0,2.3504,-0.60014,,,,,2.3504,-0.6001265268065288,0.0143694638694569,2.6014488598032446,0.005599999999999999
-0.15,18676.735,4.0001,0.57982,0.0,,2.3604,-0.60002,,,,,2.3604,-0.5999847552447574,0.0143624708624692,2.5521973688657758,0.005599999999999999
-0.15,18736.735,3.999,0.58232,,0.0,2.3704,-0.59985,,,,,2.3704,-0.5998392773892793,0.0146958041958136,2.5521973688657758,0.005599999999999999
-0.14998,18796.736,3.998,0.58482,0.38846,,2.3804,-0.59962,3.998,0.58482,-2.537784566386563,-0.39521281161106,2.3804,-0.5996908391608411,0.0146188811188707,2.5521973688657758,0.005599999999999999
-0.14999,18856.737,3.9972,0.58732,,2.6169,2.3904,-0.59954,,,,,2.3904,-0.5995468997669019,0.0151142191142135,2.5521973688657758,0.005599999999999999
-0.14999,18916.736,3.9963,0.58982,0.0,,2.4004,-0.59941,,,,,2.4004,-0.5993885547785568,0.0149316421527458,2.5521973688657758,0.005599999999999999
-0.15,18976.734,3.9952,0.59232,,0.0,2.4103,-0.59928,,,,,2.4103,-0.5992495804195825,0.0138276607070579,2.5521973688657758,0.005599999999999999
-0.15,19036.736,3.9942,0.59482,0.0,,2.4203,-0.59913,3.9942,0.59482,-2.5982789140683025,-0.3850000000000193,2.4203,-0.5991134265734286,0.0136118881118889,2.525732083495415,0.005599999999999999
-0.14999,19096.736,3.9931,0.59732,,0.0,2.4303,-0.59893,,,,,2.4303,-0.5989773426573447,0.0140687645687691,2.525732083495415,0.005599999999999999
-0.14999,19156.735,3.9922,0.59982,0.0,2.5976,2.4403,-0.59879,,,,,2.4403,-0.5988320512820532,0.0150885780885872,2.525732083495415,0.005599999999999999
-0.15001,19216.736,3.9914,0.60232,,,2.4503,-0.59875,,,,,2.4503,-0.598675571095573,0.0158303837001767,2.525732083495415,0.005599999999999999
-0.14999,19276.735,3.9903,0.60482,0.0,0.0,2.4602,-0.59851,3.9903,0.60482,-2.56282051282048,-0.3901952928416108,2.4602,-0.598517062937065,0.0152482422235635,2.525732083495415,0.005599999999999999
-0.15,19336.735,3.9892,0.60732,,,2.4702,-0.59838,,,,,2.4702,-0.5983722843822865,0.0146550116550123,2.5257320834953876,0.005599999999999999
-0.15,19396.736,3.9882,0.60981,0.0,0.0,2.4802,-0.59823,,,,,2.4802,-0.5982239627039647,0.0153014564238986,2.5257320834953876,0.005599999999999999
-0.14998,19456.735,3.9872,0.61231,0.38311,2.5262,2.4901,-0.598,,,,,2.4901,-0.5980678787878807,0.0163578924501734,2.5257320834953876,0.005599999999999999
-0.14999,19516.735,3.9864,0.61481,,,2.5001,-0.59792,3.9864,0.61481,-2.403998778998826,-0.4201802853378638,2.5001,-0.5978983216783237,0.0156550116550064,2.5257320834953876,0.005599999999999999
-0.15,19576.736,3.9854,0.61731,0.0,0.0,2.5101,-0.59781,,,,,2.5101,-0.5977547785547805,0.0140521020018482,2.5257320834953876,0.005599999999999999
-0.14999,19636.735,3.9842,0.61981,,,2.52,-0.59759,,,,,2.52,-0.5976186247086267,0.0140115144486934,2.5257320834953876,0.005599999999999999
-0.14999,19696.737,3.9833,0.62231,0.0,0.0,2.53,-0.59746,,,,,2.53,-0.5974758974358996,0.0143522731265903,2.552197368865703,0.005599999999999999
-0.15,19756.737,3.9819,0.62481,,2.4479,2.5399,-0.59729,3.9819,0.62481,-2.530864197530832,-0.4050000000000295,2.5399,-0.5973330303030324,0.0151767802777449,2.552197368865703,0.005599999999999999
-0.15,19816.735,3.9815,0.62731,0.0,,2.5499,-0.59723,,,,,2.5499,-0.5971737296037316,0.0158121532292447,2.552197368865703,0.005599999999999999
-0.15,19876.735,3.9805,0.62981,,0.0,2.5598,-0.59708,,,,,2.5598,-0.5970183449883469,0.0148566062636454,2.552197368865703,0.005599999999999999
-0.14998,19936.735,3.9793,0.63231,0.0,,2.5698,-0.59682,,,,,2.5698,-0.5968782517482537,0.0144436730046493,2.552197368865703,0.005599999999999999
-0.14999,19996.736,3.9783,0.63481,,0.0,2.5797,-0.59671,3.9783,0.63481,-2.6739829059829674,-0.3752027965934417,2.5797,-0.5967310023310044,0.0148588256911672,2.5941344987657864,0.005599999999999999
-0.14999,20056.735,3.9774,0.63731,0.39602,2.5944,2.5897,-0.59657,,,,,2.5897,-0.5965825641025662,0.0149664959678759,2.5941344987657864,0.005599999999999999
-0.14999,20116.735,3.9765,0.63981,,,2.5996,-0.59644,,,,,2.5996,-0.5964331934731953,0.0143097643097647,2.5941344987657864,0.005599999999999999
-0.15,20176.736,3.9755,0.6423,0.0,0.0,2.6095,-0.59633,,,,,2.6095,-0.5962992307692329,0.013082745317547,2.5941344987657864,0.005599999999999999
-0.15,20236.735,3.9744,0.6448,,,2.6195,-0.59616,3.9744,0.6448,-2.5806476569407693,-0.3875517954592737,2.6195,-0.5961729370629392,0.0141771959323371,2.5941344987657864,0.005599999999999999
-0.15,20296.736,3.9734,0.6473,0.0,0.0,2.6294,-0.59601,,,,,2.6294,-0.5960174125874146,0.0156177156177186,2.5941344987657864,0.005599999999999999
-0.15,20356.736,3.9726,0.6498,,2.5915,2.6393,-0.59589,,,,,2.6393,-0.5958637062937083,0.0155854869459304,2.620599784136183,0.005599999999999999
-0.14999,20416.734,3.9717,0.6523,0.0,,2.6493,-0.59572,,,,,2.6493,-0.5957072494172514,0.0151477067000129,2.620599784136183,0.005599999999999999
-0.14999,20476.734,3.9706,0.6548,,0.0,2.6592,-0.59555,,,,,2.6592,-0.5955621678321699,0.0145958418685658,2.620599784136183,0.005599999999999999
-0.14998,20536.736,3.9696,0.6573,0.0,,2.6691,-0.59536,3.9696,0.6573,-2.619466544267702,-0.3817777777777564,2.6691,-0.5954182517482537,0.0145652327470493,2.620599784136183,0.005599999999999999
-0.15,20596.736,3.9686,0.6598,,0.0,2.679,-0.59529,,,,,2.679,-0.5952737762237783,0.0143051927008102,2.620599784136183,0.005599999999999999
-0.14999,20656.737,3.9679,0.6623,0.38644,2.6138,2.689,-0.59515,,,,,2.689,-0.5951336363636384,0.0136047443073543,2.620599784136183,0.005599999999999999
-0.15,20716.736,3.9669,0.6648,,,2.6989,-0.59504,,,,,2.6989,-0.5950029603729623,0.0136928727837855,2.649857228285737,0.005599999999999999
-0.14999,20776.735,3.9658,0.6673,0.0,0.0,2.7088,-0.59483,3.9658,0.6673,-2.705227596017181,-0.3701752678140622,2.7088,-0.5948625174825194,0.0140495867768599,2.649857228285737,0.005599999999999999
-0.15,20836.735,3.9648,0.6698,,,2.7187,-0.59472,,,,,2.7187,-0.5947247785547805,0.0146323373596111,2.649857228285737,0.005599999999999999
-0.15,20896.737,3.9639,0.6723,0.0,0.0,2.7286,-0.59459,,,,,2.7286,-0.5945727972027991,0.0151338560429401,2.649857228285737,0.005599999999999999
-0.14999,20956.735,3.9631,0.6748,,,2.7385,-0.59443,,,,,2.7385,-0.5944251282051303,0.0147689011325304,2.649857228285737,0.005599999999999999
-0.14998,21016.735,3.9622,0.67729,0.0,2.6395,2.7484,-0.59425,3.9622,0.67729,-2.749708377518445,-0.3637538685862864,2.7484,-0.594280372960375,0.0142261778625467,2.649857228285737,0.005599999999999999
-0.15,21076.735,3.9611,0.67979,,,2.7583,-0.59417,,,,,2.7583,-0.5941434498834518,0.014074309528862,2.7219387233593726,0.005599999999999999
-0.14999,21136.735,3.9602,0.68229,0.0,0.0,2.7682,-0.59399,,,,,2.7682,-0.5940017016317035,0.0140024958206765,2.7219387233593726,0.005599999999999999
-0.14999,21196.735,3.9593,0.68479,,,2.7781,-0.59386,,,,,2.7781,-0.5938662004662025,0.0135845635845619,2.7219387233593726,0.005599999999999999
-0.14999,21256.736,3.9585,0.68729,0.0,0.0,2.788,-0.59374,,,,,2.788,-0.5937327272727292,0.0132243177697723,2.7219387233593726,0.005599999999999999
-0.14999,21316.737,3.9576,0.68979,0.37313,2.6728,2.7979,-0.5936,3.9576,0.68979,-2.751266643101289,-0.3635555555555072,2.7979,-0.593604358974361,0.0130182948364669,2.7219387233593726,0.005599999999999999
-0.15,21376.737,3.9565,0.69229,,,2.8078,-0.59348,,,,,2.8078,-0.5934749650349671,0.0131583904311263,2.7219387233593726,0.005599999999999999
-0.15,21436.736,3.9556,0.69479,0.0,0.0,2.8177,-0.59334,,,,,2.8177,-0.5933438228438247,0.0137305455487393,2.835913549764043,0.005599999999999999
-0.14999,21496.735,3.9549,0.69729,,,2.8276,-0.5932,,,,,2.8276,-0.5932031002331021,0.0136262816202119,2.835913549764043,0.005599999999999999
-0.15,21556.737,3.954,0.69979,0.0,0.0,2.8374,-0.5931,3.954,0.69979,-2.805164141414324,-0.3565681749490181,2.8374,-0.59307526806527,0.0129574705222417,2.835913549764043,0.005599999999999999
-0.15,21616.737,3.953,0.70229,,,2.8473,-0.59295,,,,,2.8473,-0.5929478554778573,0.0133114360387125,2.835913549764043,0.005599999999999999
-0.14999,21676.736,3.952,0.70479,0.0,2.8393,2.8572,-0.59276,,,,,2.8572,-0.5928117016317035,0.0134774316592469,2.835913549764043,0.005599999999999999
-0.15,21736.735,3.9512,0.70729,,,2.8671,-0.59268,,,,,2.8671,-0.5926810023310043,0.0134232770596405,2.835913549764043,0.005599999999999999
-0.15001,21796.736,3.9505,0.70978,0.0,0.0,2.877,-0.59261,,,,,2.877,-0.5925459207459227,0.0138066132001206,2.835913549764043,0.005599999999999999
-0.14999,21856.735,3.9496,0.71228,,,2.8868,-0.5924,3.9496,0.71228,-2.8964795008912603,-0.3454610162118285,2.8868,-0.5924090442890462,0.0133919737453176,2.933617207753152,0.005599999999999999
-0.14999,21916.736,3.9486,0.71478,0.0,0.0,2.8967,-0.59225,,,,,2.8967,-0.5922822144522165,0.0131077676532171,2.933617207753152,0.005599999999999999
-0.15,21976.736,3.9477,0.71728,0.35418,,2.9066,-0.59216,,,,,2.9066,-0.5921495104895125,0.0138520955120604,2.933617207753152,0.005599999999999999
-0.14999,22036.736,3.9469,0.71978,,2.8682,2.9164,-0.592,,,,,2.9164,-0.5920094172494194,0.0136693730404644,2.933617207753152,0.005599999999999999
-0.14999,22096.735,3.9462,0.72228,0.0,,2.9263,-0.59189,3.9462,0.72228,-2.9260752926962823,-0.3417777777777928,2.9263,-0.5918803496503515,0.0125134948359999,2.933617207753152,0.005599999999999999
-0.14999,22156.734,3.9454,0.72478,,0.0,2.9361,-0.59177,,,,,2.9361,-0.5917627972027992,0.0124127632170321,2.933617207753152,0.005599999999999999
-0.14999,22216.735,3.9443,0.72728,0.0,,2.946,-0.59161,,,,,2.946,-0.5916357342657362,0.0125909444091192,3.054063272740257,0.005599999999999999
-0.15,22276.736,3.9435,0.72978,,0.0,2.9559,-0.59153,,,,,2.9559,-0.5915134965034986,0.0121177103015028,3.054063272740257,0.005599999999999999
-0.15,22336.735,3.9427,0.73228,0.0,2.9823,2.9657,-0.59141,,,,,2.9657,-0.5913969696969718,0.0122043863457363,3.054063272740257,0.005599999999999999
