Current(A),Test_Time(s),Voltage(V),Charge_Capacity(Ah),dV/dQ(V/Ah),dQ/dV(Ah/V),Charge_Energy(Wh),Power(W),V_from_uniform_Q (V),Uniform_Q_grid (Ah),Q_from_uniform_V (Ah),Uniform_V_grid (V),V_from_uniform_t (V),Uniform_t_grid (h),P_from_uniform_E (W),Uniform_E_grid (Wh),Smoothed_V_from_Q (V),dV_dQ_interp_smooth (V/Ah),Smoothed_Q_from_V (Ah),dQ_dV_interp_smooth (Ah/v),Smoothed_P_from_E (W),dP_dE_interp_smooth (W/Wh)
0.14999,97271.5072,3.5716,0.72994,,0.0,2.4906,0.5357,3.6351980584269663,1.0223919101123595,0.9728313483146056,3.6253842696629213,3.6351999907418664,28.96986302059925,0.5467096700827263,3.7268249438202243,3.6351022621676794,0.2001155075415264,0.9733464584782386,5.01323892049497,0.5467138616185905,0.008161360461905465
0.14998,97331.5075,3.5723,0.73244,0.2746700048446655,,2.4995,0.53577,3.635698324821246,1.024891624106231,0.9767147752808977,3.6260887640449435,3.635699990614604,28.986529687152423,0.5468026647509793,3.7362424923391213,3.635604834267262,0.20005619410619424,0.9768471299615317,5.025406803836324,0.5467911411918205,0.008149240377100742
0.14999,97391.5071,3.5731,0.73494,,3.8292999267578125,2.5084,0.53593,3.6359989605720124,1.0273913381001023,0.9808762921348315,3.626793258426966,3.6359999963666767,29.003196353705594,0.5469,3.7456600408580183,3.636113870514399,0.20003309010320258,0.9803888438193558,5.049716426393073,0.5468672650210917,0.008116097790058618
0.14998,97451.508,3.5736,0.73744,0.0,,2.5174,0.53597,3.6364982104187944,1.0298910520939735,0.9838305457463871,3.6274977528089885,3.6364999947744208,29.019863020258764,0.5469076904443871,3.7550775893769153,3.6366183349968173,0.20001783766054881,0.9839603466842756,5.050824485483908,0.546943521398033,0.00813054303739269
0.14999,97511.5081,3.5741,0.73994,,0.0,2.5263,0.53608,3.637097783861083,1.0323907660878449,0.9869212359550561,3.628202247191011,3.6370999857254205,29.03652968681194,0.5470008310341344,3.7644951378958122,3.637108642052213,0.19939241736796554,0.987531365360901,5.040457635885525,0.5470203446241024,0.008150520435044828
0.14999,97571.5065,3.5748,0.74244,0.0,,2.5352,0.53618,3.637697715219612,1.034890480081716,0.9912021348314586,3.6289067415730334,3.637699980721305,29.053196353365113,0.5470970764291888,3.7739126864147083,3.637600002207364,0.19924118985166306,0.991088851700171,5.052778129881955,0.5470965122038222,0.008152585856260774
0.14999,97631.5073,3.5754,0.74494,,0.0,2.5442,0.53627,3.6380984310520943,1.0373901940755874,0.9949568164794006,3.629611235955056,3.638099997811314,29.069863019918284,0.5472014081424194,3.7833302349336053,3.638102118599451,0.1992071996686402,0.9946441568361096,5.074998096821322,0.547174201847238,0.008213947585194448
0.14997,97691.5062,3.5762,0.74744,0.0,,2.5531,0.53632,3.638597981613892,1.0398899080694588,0.9979886516853921,3.6303157303370783,3.6385999980941404,29.086529686471458,0.5472633551094729,3.7927477834525023,3.638609507259339,0.19940374740634503,0.9982111045808757,5.060608686881861,0.5472540781752386,0.008249452944980362
0.14998,97751.5077,3.5768,0.74994,,0.0,2.5621,0.53645,3.6389983395301324,1.04238962206333,1.001903398876404,3.631020224719101,3.639000001993681,29.103196353024625,0.5473224468789637,3.8021653319713993,3.6391111475579074,0.19983008093822896,1.0017669815153565,5.039569217494613,0.547331771079813,0.008316417096331574
0.14998,97811.5061,3.5773,0.75244,0.0,,2.571,0.53652,3.6396970140960163,1.0448893360572014,1.005836329588014,3.6317247191011233,3.6396999949889843,29.1198630195778,0.5473912216323003,3.8115828804902963,3.6396013691751623,0.2004006820095201,1.0053141509438188,5.049714480398682,0.5474082252206893,0.008331742360993655
0.14999,97871.5067,3.5779,0.75493,,3.9684998989105225,2.5799,0.53665,3.6401978100102146,1.0473890500510725,1.0085757624398073,3.632429213483146,3.640199990584039,29.13652968613097,0.5474891237077529,3.8210004290091932,3.640091355415195,0.2002124196083228,1.008849295781452,5.061599251189473,0.547485472571748,0.008308314896815994
0.14999,97931.5062,3.5787,0.75743,0.0,,2.5889,0.53677,3.6406977528089888,1.049888764044944,1.0119856741573012,3.633133707865168,3.6406999964138156,29.153196352684144,0.5475509868099658,3.8304179775280893,3.640593897879077,0.19888946337409674,1.0124044804353098,5.037857981691517,0.5475651140302018,0.008287277375356839
0.14998,97991.5073,3.5793,0.75993,,0.0,2.5978,0.53682,3.640998617364658,1.0523884780388153,1.0163091760299614,3.633838202247191,3.6409999938463535,29.16986301923732,0.5476390789435284,3.8398355260469863,3.6410993846172954,0.1985225258974257,1.0159755948455254,5.032871552372972,0.5476434300892439,0.008351483643985802
0.14999,98051.5075,3.5799,0.76243,0.0,,2.6068,0.53695,3.6414976384065376,1.0548881920326865,1.0196134831460664,3.634542696629213,3.641500006688346,29.186529685790486,0.5477406212888235,3.8492530745658833,3.6415991278170683,0.19987613500761015,1.0195293785772912,5.04754762475419,0.5477224183973638,0.008393742672399618
0.14999,98111.5082,3.5804,0.76493,,0.0,2.6157,0.53702,3.642097097446374,1.0573879060265579,1.0226359550561783,3.635247191011236,3.6420999966844274,29.20319635234366,0.5478057856974485,3.8586706230847803,3.6420890674188025,0.19905998360275046,1.023065829231046,5.032767132751969,0.5478013951681894,0.008543919183417348
0.14999,98171.507,3.581,0.76743,,,2.6247,0.53711,3.642697028804903,1.059887620020429,1.02699737827715,3.635951685393258,3.642699984680592,29.21986301889683,0.5478690790069725,3.8680881716036772,3.6425817405737644,0.19884152340842398,1.0266131184621368,5.007425982317398,0.5478831888616814,0.008577490211433725
0.14998,98231.5082,3.5818,0.76993,0.0,0.0,2.6336,0.5372,3.643097973442288,1.0623873340143004,1.03055074906367,3.6366561797752808,3.6430999904507844,29.236529685450005,0.547955796001751,3.877505720122574,3.6430867765651174,0.19881438668523543,1.0301443444649627,5.017019243678836,0.5479639332146523,0.008647293453244276
0.15,98291.5064,3.5825,0.77243,0.25143998861312866,,2.6426,0.53738,3.6434979276813073,1.0648870480081716,1.0334861423220951,3.637360674157303,3.6435000088932505,29.253196352003176,0.548057871297242,3.8869232686414703,3.6435985710595724,0.19904177997738337,1.0336984584462328,5.027677379218492,0.5480474266403096,0.008729575129385214
0.14999,98351.5065,3.5831,0.77493,,3.9941000938415527,2.6516,0.53743,3.6439973524004086,1.067386762002043,1.037182303370785,3.6380651685393257,3.643999998890046,29.26986301855635,0.5481298757827419,3.8963408171603673,3.6440961837755106,0.1998136343233723,1.0372520414953654,5.0084261163306945,0.5481295517787187,0.008644809341426751
0.14999,98411.5064,3.5836,0.77743,0.0,,2.6605,0.5375,3.6446962132788556,1.0698864759959144,1.040960393258426,3.638769662921348,3.644700006386438,29.28652968510952,0.5482079856323452,3.9057583656792643,3.6445890462285764,0.2005090367853848,1.040784359194674,5.004460569605575,0.5482084654182858,0.008672991350710868
0.14998,98471.508,3.5842,0.77993,,0.0,2.6695,0.53756,3.645197237997957,1.0723861899897855,1.04409341894061,3.6394741573033706,3.6451999922167677,29.30319635166269,0.5483090598436736,3.9151759141981612,3.6450881793042242,0.2010959408685027,1.0443196495547762,5.029327982715953,0.5482884603568848,0.00871497323121645
0.14998,98531.508,3.5849,0.78243,0.0,,2.6784,0.53766,3.645597744637385,1.074885903983657,1.047293258426964,3.640178651685393,3.6455999897706164,29.319863018215866,0.548363172445532,3.9245934627170582,3.6455950027208806,0.20117694399584352,1.0478465430026254,5.023038212485011,0.5483701855771734,0.008758430041393206
0.14999,98591.5065,3.5856,0.78493,,0.0,2.6874,0.5378,3.6459976988764042,1.077385617977528,1.0514262172284639,3.6408831460674156,3.645999993767728,29.33652968476904,0.548425481417459,3.934011011235955,3.646103755660822,0.2023892072230451,1.0513727498700953,5.00629214364071,0.5484540602947631,0.008755667545445822
0.14999,98651.5071,3.5862,0.78743,0.0,,2.6964,0.53789,3.64649706639428,1.0798853319713995,1.0552651685393235,3.641587640449438,3.6464999938729794,29.35319635132221,0.5485148446062975,3.9434285597548513,3.646612788290323,0.20344788462982066,1.0548938273305752,5.011668249754949,0.5485388278815668,0.00879097485325403
