Current(A),Test_Time(s),Voltage(V),Discharge_Capacity(Ah),dV/dQ(V/Ah),dQ/dV(Ah/V),Discharge_Energy(Wh),Power(W)
-0.15,15917.959,4.0491,0.47229,0.0,0.0,1.9302,-0.60737
-0.14999,15977.959,4.0482,0.47479,,,1.9403,-0.60719
-0.15,16037.959,4.0474,0.47729,0.0,0.0,1.9504,-0.60711
-0.14999,16097.959,4.0467,0.47979,,3.5616,1.9605,-0.60696
-0.14999,16157.959,4.0461,0.48229,0.0,,1.9707,-0.60687
-0.14999,16217.96,4.0454,0.48479,,0.0,1.9808,-0.60677
-0.14999,16277.959,4.0445,0.48729,0.0,,1.9909,-0.60663
-0.15,16337.958,4.0437,0.48979,,0.0,2.001,-0.60656
-0.14999,16397.959,4.0429,0.49229,0.0,,2.0111,-0.60639
-0.15,16457.959,4.0423,0.49478,0.29031,0.0,2.0212,-0.60635
-0.14999,16517.959,4.0415,0.49728,,3.3084,2.0313,-0.60618
-0.15,16577.959,4.0408,0.49978,0.0,,2.0414,-0.60612
-0.15,16637.959,4.0398,0.50228,,0.0,2.0515,-0.60597
-0.14999,16697.959,4.039,0.50478,0.0,,2.0616,-0.60581
-0.15,16757.96,4.0383,0.50728,,0.0,2.0717,-0.60575
-0.14999,16817.959,4.0376,0.50978,0.0,,2.0818,-0.6056
-0.14999,16877.96,4.0367,0.51228,,3.1158,2.0919,-0.60546
-0.14999,16937.959,4.0357,0.51478,0.0,,2.1019,-0.60531
-0.14999,16997.96,4.0349,0.51728,,0.0,2.112,-0.60519
-0.15001,17057.959,4.0342,0.51978,0.0,,2.1221,-0.60517
-0.15,17117.96,4.0334,0.52227,,0.0,2.1322,-0.60501
-0.15,17177.959,4.0324,0.52477,,,2.1423,-0.60486
-0.14999,17237.96,4.0315,0.52727,0.33046,2.9384,2.1523,-0.60468
-0.15,17297.959,4.0306,0.52977,,,2.1624,-0.60459
-0.15,17357.959,4.0299,0.53227,0.0,0.0,2.1725,-0.60449
-0.14999,17417.96,4.0291,0.53477,,,2.1826,-0.60432
-0.14999,17477.959,4.0281,0.53727,0.0,0.0,2.1926,-0.60417
-0.15,17537.959,4.0271,0.53977,,,2.2027,-0.60407
-0.15,17597.96,4.0262,0.54227,0.0,2.8966,2.2128,-0.60393
-0.14997,17657.96,4.0255,0.54477,,,2.2228,-0.6037
-0.14999,17717.959,4.0246,0.54727,0.0,0.0,2.2329,-0.60365
-0.15,17777.959,4.0236,0.54977,,,2.2429,-0.60354
-0.14999,17837.959,4.0226,0.55226,0.0,0.0,2.253,-0.60335
-0.14999,17897.96,4.0216,0.55476,0.35447,2.7375,2.263,-0.6032
-0.15,17957.959,4.0209,0.55726,,,2.2731,-0.60314
-0.14999,18017.959,4.0199,0.55976,0.0,0.0,2.2831,-0.60294
-0.14999,18077.959,4.0189,0.56226,,,2.2932,-0.60279
-0.14999,18137.959,4.0178,0.56476,0.0,0.0,2.3032,-0.60263
-0.14999,18197.96,4.0169,0.56726,,2.6607,2.3133,-0.60249
-0.15,18257.959,4.0161,0.56976,0.0,,2.3233,-0.60242
-0.15,18317.959,4.0152,0.57226,,0.0,2.3333,-0.60228
-0.15,18377.959,4.0142,0.57476,0.0,,2.3434,-0.60213
-0.14999,18437.959,4.0131,0.57726,,0.0,2.3534,-0.60192
-0.15,18497.959,4.012,0.57976,0.38035,,2.3634,-0.6018
-0.15,18557.96,4.0111,0.58225,,2.5757,2.3735,-0.60167
-0.14999,18617.96,4.0103,0.58475,0.0,,2.3835,-0.6015
-0.15001,18677.96,4.0093,0.58725,,0.0,2.3935,-0.60144
-0.15,18737.959,4.008,0.58975,0.0,,2.4035,-0.6012
-0.14999,18797.959,4.007,0.59225,,0.0,2.4135,-0.60101
-0.14999,18857.959,4.0062,0.59475,0.0,2.5029,2.4235,-0.60089
-0.15,18917.959,4.0052,0.59725,,,2.4336,-0.60078
-0.14999,18977.959,4.0042,0.59975,0.0,0.0,2.4436,-0.60059
-0.14999,19037.96,4.003,0.60225,,,2.4536,-0.60041
-0.15,19097.96,4.002,0.60475,0.40113,0.0,2.4636,-0.6003
-0.14999,19157.959,4.0011,0.60725,,2.4574,2.4736,-0.60012
-0.14999,19217.959,4.0001,0.60975,0.0,,2.4836,-0.59997
-0.14998,19277.958,3.999,0.61224,,0.0,2.4936,-0.59977
-0.14999,19337.96,3.9979,0.61474,0.0,,2.5036,-0.59965
-0.14999,19397.96,3.9969,0.61724,,2.4073,2.5136,-0.5995
-0.14999,19457.959,3.996,0.61974,0.0,,2.5235,-0.59936
-0.15,19517.959,3.9949,0.62224,,0.0,2.5335,-0.59924
-0.15,19577.959,3.9937,0.62474,0.0,,2.5435,-0.59906
-0.15,19637.96,3.9927,0.62724,,0.0,2.5535,-0.59891
-0.14998,19697.959,3.9916,0.62974,0.41559,2.4236,2.5635,-0.59866
-0.15,19757.959,3.9908,0.63224,,,2.5734,-0.59862
-0.15,19817.96,3.9898,0.63474,0.0,0.0,2.5834,-0.59847
-0.14999,19877.959,3.9885,0.63724,,,2.5934,-0.59824
-0.15001,19937.96,3.9874,0.63973,0.0,0.0,2.6033,-0.59815
-0.14999,19997.959,3.9865,0.64223,,2.4019,2.6133,-0.59794
-0.14999,20057.96,3.9856,0.64473,0.0,,2.6233,-0.5978
-0.15,20117.959,3.9846,0.64723,,0.0,2.6332,-0.59769
-0.15,20177.959,3.9834,0.64973,0.0,,2.6432,-0.59751
-0.14999,20237.959,3.9823,0.65223,,0.0,2.6531,-0.59731
-0.14999,20297.958,3.9814,0.65473,0.41457,2.4263,2.6631,-0.59717
-0.14999,20357.959,3.9805,0.65723,,,2.673,-0.59704
-0.14999,20417.959,3.9794,0.65973,0.0,0.0,2.683,-0.59687
-0.14999,20477.959,3.9782,0.66223,,,2.6929,-0.59669
-0.15,20537.96,3.9772,0.66473,0.0,0.0,2.7029,-0.59658
-0.14999,20597.959,3.9762,0.66722,,2.4442,2.7128,-0.59639
-0.15,20657.96,3.9754,0.66972,0.0,,2.7227,-0.59631
-0.14998,20717.96,3.9744,0.67222,,0.0,2.7327,-0.59608
-0.14999,20777.959,3.9732,0.67472,0.0,,2.7426,-0.59594
-0.15,20837.959,3.9722,0.67722,,0.0,2.7525,-0.59583
-0.15,20897.959,3.9714,0.67972,0.40431,2.4902,2.7625,-0.59571
-0.14999,20957.96,3.9704,0.68222,,,2.7724,-0.59552
-0.15,21017.96,3.9693,0.68472,0.0,0.0,2.7823,-0.5954
-0.15,21077.96,3.9682,0.68722,,,2.7922,-0.59523
-0.15,21137.96,3.9673,0.68972,0.0,0.0,2.8021,-0.5951
-0.14999,21197.959,3.9665,0.69222,,2.5365,2.8121,-0.59494
-0.15,21257.959,3.9655,0.69471,0.0,,2.822,-0.59483
-0.15,21317.96,3.9643,0.69721,,0.0,2.8319,-0.59465
-0.15,21377.959,3.9634,0.69971,0.0,,2.8418,-0.59451
-0.14999,21437.959,3.9625,0.70221,,0.0,2.8517,-0.59434
-0.14999,21497.959,3.9617,0.70471,0.38964,2.6093,2.8616,-0.59422
-0.14999,21557.959,3.9608,0.70721,,,2.8715,-0.59408
-0.14999,21617.959,3.9597,0.70971,0.0,0.0,2.8814,-0.59392
-0.14999,21677.958,3.9587,0.71221,,,2.8913,-0.59377
-0.14999,21737.96,3.9577,0.71471,0.0,0.0,2.9012,-0.59362
-0.14999,21797.96,3.957,0.71721,,2.6764,2.9111,-0.59351
-0.14999,21857.959,3.9561,0.71971,0.0,,2.9209,-0.59338
-0.15,21917.96,3.955,0.7222,,0.0,2.9308,-0.59325
-0.14999,21977.96,3.9541,0.7247,0.0,,2.9407,-0.59308
-0.15,22037.959,3.9533,0.7272,,0.0,2.9506,-0.593
-0.14999,22097.958,3.9525,0.7297,0.0,,2.9605,-0.59284
-0.14999,22157.96,3.9516,0.7322,0.36826,2.7611,2.9704,-0.5927
-0.15,22217.959,3.9505,0.7347,,,2.9802,-0.59258
-0.14999,22277.959,3.9497,0.7372,0.0,0.0,2.9901,-0.59242
-0.15,22337.959,3.9488,0.7397,,,3.0,-0.59232
-0.14999,22397.959,3.9481,0.7422,0.0,0.0,3.0098,-0.59218
-0.14999,22457.96,3.9473,0.7447,,,3.0197,-0.59206
-0.14998,22517.96,3.9462,0.7472,0.0,2.8542,3.0296,-0.59185
-0.14999,22577.96,3.9453,0.7497,,,3.0394,-0.59176
-0.15001,22637.96,3.9445,0.7522,0.0,0.0,3.0493,-0.59171
-0.15,22697.959,3.9439,0.75469,,,3.0591,-0.59159
-0.15,22757.959,3.943,0.75719,0.0,0.0,3.069,-0.59145
-0.14999,22817.959,3.9421,0.75969,0.34404,,3.0789,-0.59128
-0.14999,22877.96,3.9411,0.76219,,2.9866,3.0887,-0.59113
-0.14998,22937.96,3.9404,0.76469,0.0,,3.0986,-0.59098
-0.14999,22997.959,3.9397,0.76719,,0.0,3.1084,-0.59092
-0.14999,23057.96,3.9389,0.76969,0.0,,3.1182,-0.5908
-0.15,23117.959,3.9381,0.77219,,0.0,3.1281,-0.59072
-0.15,23177.959,3.9372,0.77469,0.0,,3.1379,-0.59058
-0.14999,23237.96,3.9364,0.77719,,3.0998,3.1478,-0.59042
-0.14999,23297.959,3.9357,0.77969,0.0,,3.1576,-0.59032
-0.15,23357.96,3.9349,0.78219,,0.0,3.1674,-0.59024
-0.15,23417.959,3.9342,0.78469,0.0,,3.1773,-0.59013
-0.14999,23477.96,3.9334,0.78718,,0.0,3.1871,-0.58997
-0.15,23537.959,3.9325,0.78968,0.0,,3.1969,-0.58988
-0.14999,23597.959,3.9317,0.79218,0.31563,3.2294,3.2068,-0.58972
-0.15,23657.96,3.931,0.79468,,,3.2166,-0.58965
-0.14999,23717.96,3.9304,0.79718,0.0,0.0,3.2264,-0.58952
-0.14999,23777.959,3.9297,0.79968,,,3.2362,-0.58942
-0.14999,23837.959,3.9288,0.80218,0.0,0.0,3.2461,-0.58928
-0.15,23897.959,3.9281,0.80468,,,3.2559,-0.58922
-0.15,23957.96,3.9273,0.80718,0.0,0.0,3.2657,-0.5891
-0.15,24017.96,3.9268,0.80968,,3.3921,3.2755,-0.58902
-0.15,24077.96,3.9261,0.81218,0.0,,3.2853,-0.58892
-0.15,24137.96,3.9253,0.81468,,0.0,3.2951,-0.5888
-0.14999,24197.959,3.9245,0.81718,0.0,,3.3049,-0.58864
-0.14999,24257.959,3.9238,0.81967,,0.0,3.3147,-0.58853
-0.14999,24317.959,3.9233,0.82217,0.0,,3.3246,-0.58846
-0.14999,24377.959,3.9226,0.82467,,0.0,3.3344,-0.58835
-0.14999,24437.96,3.9219,0.82717,0.28803,3.5686,3.3442,-0.58825
-0.15,24497.96,3.921,0.82967,,,3.354,-0.58815
-0.15,24557.96,3.9203,0.83217,0.0,0.0,3.3638,-0.58805
-0.14999,24617.959,3.9199,0.83467,,,3.3736,-0.58795
-0.14999,24677.959,3.9192,0.83717,0.0,0.0,3.3834,-0.58784
-0.15,24737.959,3.9186,0.83967,,,3.3931,-0.58779
-0.14999,24797.96,3.9177,0.84217,0.0,0.0,3.4029,-0.58762
-0.14999,24857.959,3.917,0.84467,,,3.4127,-0.58751
-0.14999,24917.96,3.9164,0.84717,0.0,3.7491,3.4225,-0.58742
-0.14999,24977.96,3.9159,0.84967,,,3.4323,-0.58735
-0.15,25037.96,3.9153,0.85216,0.0,0.0,3.4421,-0.5873
-0.15,25097.96,3.9144,0.85466,,,3.4519,-0.58716
-0.14999,25157.959,3.9139,0.85716,0.0,0.0,3.4617,-0.58705
-0.14998,25217.959,3.9133,0.85966,,,3.4714,-0.58692
-0.15,25277.96,3.9128,0.86216,0.0,0.0,3.4812,-0.58692
-0.14998,25337.959,3.9121,0.86466,0.2614,,3.491,-0.58674
-0.15001,25397.96,3.9114,0.86716,,3.919,3.5008,-0.58675
-0.14999,25457.959,3.9107,0.86966,0.0,,3.5105,-0.58657
-0.14999,25517.959,3.9101,0.87216,,0.0,3.5203,-0.58648
-0.15,25577.959,3.9096,0.87466,0.0,,3.5301,-0.58644
-0.14999,25637.959,3.909,0.87716,,0.0,3.5399,-0.58631
-0.15,25697.96,3.9082,0.87966,0.0,,3.5496,-0.58623
-0.15,25757.96,3.9076,0.88216,,0.0,3.5594,-0.58614
-0.15,25817.959,3.907,0.88466,0.0,,3.5692,-0.58605
-0.14999,25877.959,3.9066,0.88715,,4.0623,3.5789,-0.58595
-0.14998,25937.959,3.906,0.88965,0.0,,3.5887,-0.58582
-0.14998,25997.959,3.9052,0.89215,,0.0,3.5985,-0.5857
-0.14999,26057.96,3.9046,0.89465,0.0,,3.6082,-0.58565
-0.14999,26117.96,3.9041,0.89715,,0.0,3.618,-0.58558
-0.14999,26177.959,3.9036,0.89965,0.0,,3.6277,-0.5855
-0.15,26237.959,3.903,0.90215,,0.0,3.6375,-0.58545
-0.14999,26297.959,3.9021,0.90465,0.0,,3.6472,-0.58528
-0.15,26357.959,3.9016,0.90715,0.24468,4.0468,3.657,-0.58524
-0.14999,26417.96,3.901,0.90965,,,3.6667,-0.58511
-0.15,26477.959,3.9006,0.91215,0.0,0.0,3.6765,-0.58509
-0.14999,26537.96,3.8999,0.91465,,,3.6862,-0.58495
-0.14999,26597.96,3.8991,0.91715,0.0,0.0,3.696,-0.58483
-0.15001,26657.959,3.8985,0.91965,,,3.7057,-0.58481
-0.14999,26717.959,3.898,0.92214,0.0,0.0,3.7155,-0.58466
-0.14999,26777.959,3.8975,0.92464,,,3.7252,-0.58459
-0.14999,26837.96,3.8968,0.92714,0.0,4.1052,3.7349,-0.58448
-0.15,26897.96,3.8961,0.92964,,,3.7447,-0.58442
-0.15,26957.96,3.8954,0.93214,0.0,0.0,3.7544,-0.58431
-0.14999,27017.959,3.8947,0.93464,,,3.7642,-0.58417
-0.15,27077.959,3.8943,0.93714,0.0,0.0,3.7739,-0.58415
-0.14999,27137.96,3.8937,0.93964,,,3.7836,-0.58402
-0.15,27197.959,3.8929,0.94214,0.0,0.0,3.7934,-0.58394
-0.15,27257.96,3.8922,0.94464,,,3.8031,-0.58383
-0.15,27317.959,3.8915,0.94714,0.24895,3.9854,3.8128,-0.58373
-0.14999,27377.96,3.8911,0.94964,,,3.8225,-0.58363
-0.14999,27437.96,3.8904,0.95214,0.0,0.0,3.8323,-0.58352
-0.15,27497.96,3.8895,0.95463,,,3.842,-0.58343
-0.15,27557.959,3.8889,0.95713,0.0,0.0,3.8517,-0.58334
-0.15,27617.959,3.8883,0.95963,,,3.8614,-0.58325
-0.14999,27677.959,3.8877,0.96213,0.0,0.0,3.8711,-0.58312
-0.15,27737.959,3.887,0.96463,,,3.8808,-0.58305
-0.14999,27797.959,3.8862,0.96713,0.0,3.6907,3.8906,-0.58289
-0.15,27857.96,3.8854,0.96963,,,3.9003,-0.58281
-0.15,27917.96,3.8847,0.97213,0.0,0.0,3.91,-0.58271
-0.15,27977.96,3.8842,0.97463,,,3.9197,-0.58263
-0.15,28037.959,3.8834,0.97713,0.0,0.0,3.9294,-0.58251
-0.15,28097.959,3.8827,0.97963,,,3.9391,-0.58241
-0.14999,28157.959,3.8817,0.98213,0.2789,3.4499,3.9488,-0.58222
-0.14999,28217.959,3.881,0.98463,,,3.9585,-0.58211
-0.15,28277.96,3.8802,0.98712,0.0,0.0,3.9682,-0.58203
-0.14999,28337.959,3.8796,0.98962,,,3.9779,-0.5819
-0.14999,28397.959,3.8788,0.99212,0.0,0.0,3.9876,-0.58178
-0.15,28457.959,3.8779,0.99462,,,3.9973,-0.58169
-0.14999,28517.96,3.877,0.99712,0.0,,4.007,-0.58151
-0.15,28577.96,3.8762,0.99962,,3.1231,4.0167,-0.58143
-0.14999,28637.96,3.8755,1.0021,0.0,,4.0264,-0.58129
-0.15,28697.959,3.8748,1.0046,,0.0,4.036,-0.58122
-0.15,28757.959,3.8739,1.0071,0.0,,4.0457,-0.58109
-0.14999,28817.959,3.8729,1.0096,,0.0,4.0554,-0.5809
-0.15,28877.959,3.872,1.0121,0.32368,,4.0651,-0.5808
-0.15,28937.959,3.8711,1.0146,,3.0315,4.0748,-0.58067
-0.15,28997.96,3.8704,1.0171,0.0,,4.0844,-0.58056
-0.15,29057.96,3.8695,1.0196,,0.0,4.0941,-0.58043
-0.15,29117.959,3.8684,1.0221,0.0,,4.1038,-0.58026
-0.15,29177.959,3.8675,1.0246,,0.0,4.1134,-0.58013
-0.15,29237.959,3.8667,1.0271,0.0,2.7679,4.1231,-0.58001
-0.14998,29297.959,3.8659,1.0296,,,4.1328,-0.57981
-0.14999,29357.96,3.8648,1.0321,0.0,0.0,4.1424,-0.57968
-0.15,29417.959,3.8638,1.0346,,,4.1521,-0.57957
-0.14999,29477.959,3.8628,1.0371,0.0,0.0,4.1617,-0.57938
-0.14999,29537.959,3.862,1.0396,0.36707,,4.1714,-0.57926
-0.14999,29597.959,3.8611,1.0421,,2.6643,4.181,-0.57913
-0.14999,29657.959,3.8601,1.0446,0.0,,4.1907,-0.57898
-0.14998,29717.959,3.859,1.0471,,0.0,4.2003,-0.57877
-0.15,29777.959,3.8581,1.0496,0.0,,4.21,-0.57872
-0.15,29837.96,3.8573,1.0521,,0.0,4.2196,-0.5786
-0.14999,29897.959,3.8563,1.0546,0.0,2.5864,4.2293,-0.57841
-0.14999,29957.959,3.8551,1.0571,,,4.2389,-0.57823
-0.15,30017.959,3.8542,1.0596,0.0,0.0,4.2485,-0.57813
-0.14999,30077.959,3.8532,1.0621,,,4.2582,-0.57794
-0.14999,30137.959,3.8523,1.0646,0.0,0.0,4.2678,-0.57781
-0.14999,30197.959,3.8513,1.0671,0.38893,2.5382,4.2774,-0.57766
-0.14999,30257.959,3.8502,1.0696,,,4.287,-0.57749
-0.15,30317.959,3.8492,1.0721,0.0,0.0,4.2967,-0.57738
-0.14999,30377.959,3.8483,1.0746,,,4.3063,-0.57721
-0.15,30437.959,3.8475,1.0771,0.0,0.0,4.3159,-0.57713
-0.14999,30497.96,3.8464,1.0796,,2.5336,4.3255,-0.57692
-0.15,30557.96,3.8453,1.0821,0.0,,4.3351,-0.5768
-0.15,30617.959,3.8443,1.0846,,0.0,4.3447,-0.57665
-0.15,30677.96,3.8434,1.0871,0.0,,4.3543,-0.57651
-0.14999,30737.96,3.8425,1.0896,,0.0,4.3639,-0.57634
-0.15,30797.96,3.8415,1.0921,0.3932,2.5451,4.3735,-0.57623
-0.14999,30857.959,3.8404,1.0946,,,4.3831,-0.57602
-0.14999,30917.96,3.8395,1.0971,0.0,0.0,4.3927,-0.57589
-0.14999,30977.959,3.8385,1.0996,,,4.4023,-0.57574
-0.15,31037.959,3.8377,1.1021,0.0,0.0,4.4119,-0.57566
-0.14999,31097.96,3.8368,1.1046,,2.6173,4.4215,-0.57548
-0.14999,31157.959,3.8356,1.1071,0.0,,4.4311,-0.5753
-0.15,31217.959,3.8346,1.1096,,0.0,4.4407,-0.57519
-0.14999,31277.96,3.8338,1.1121,0.0,,4.4503,-0.57503
-0.15,31337.959,3.8329,1.1146,,0.0,4.4598,-0.57494
-0.14999,31397.959,3.832,1.1171,0.38295,,4.4694,-0.57476
-0.14999,31457.96,3.8309,1.1196,,2.6344,4.479,-0.5746
-0.15,31517.959,3.83,1.1221,0.0,,4.4886,-0.5745
-0.15,31577.96,3.8292,1.1246,,0.0,4.4981,-0.57438
-0.14999,31637.96,3.8282,1.1271,0.0,,4.5077,-0.57419
-0.15,31697.96,3.8273,1.1296,,0.0,4.5173,-0.5741
-0.15,31757.96,3.8262,1.1321,0.0,2.6884,4.5268,-0.57393
-0.14999,31817.959,3.8253,1.1346,,,4.5364,-0.57376
-0.15,31877.959,3.8246,1.1371,0.0,0.0,4.546,-0.57369
-0.14999,31937.959,3.8237,1.1396,,,4.5555,-0.57352
-0.15,31997.96,3.8226,1.1421,0.0,0.0,4.5651,-0.57339
-0.15,32057.959,3.8217,1.1446,0.36973,2.7154,4.5746,-0.57326
-0.14999,32117.96,3.8207,1.1471,,,4.5842,-0.57307
-0.15001,32177.959,3.82,1.1496,0.0,0.0,4.5937,-0.57304
-0.15,32237.959,3.8191,1.1521,,,4.6033,-0.57287
-0.14999,32297.96,3.818,1.1546,0.0,0.0,4.6128,-0.57266
-0.14999,32357.96,3.8171,1.1571,,,4.6224,-0.57253
-0.15,32417.959,3.8163,1.1596,0.0,2.764,4.6319,-0.57245
-0.14999,32477.96,3.8156,1.1621,,,4.6414,-0.5723
-0.14999,32537.959,3.8146,1.1646,0.0,0.0,4.651,-0.57215
-0.15,32597.959,3.8136,1.1671,,,4.6605,-0.57204
-0.15,32657.959,3.8126,1.1696,0.0,0.0,4.67,-0.57189
-0.14999,32717.959,3.8118,1.1721,0.36086,,4.6796,-0.57173
-0.14999,32777.96,3.8108,1.1746,,2.7808,4.6891,-0.57158
-0.15,32837.959,3.8101,1.1771,0.0,,4.6986,-0.57152
-0.15,32897.959,3.8093,1.1796,,0.0,4.7081,-0.5714
-0.14999,32957.959,3.8083,1.1821,0.0,,4.7176,-0.57121
-0.14999,33017.96,3.8073,1.1846,,0.0,4.7272,-0.57106
-0.14999,33077.959,3.8064,1.1871,0.0,2.8245,4.7367,-0.57092
-0.15,33137.959,3.8057,1.1896,,,4.7462,-0.57086
-0.15,33197.959,3.8049,1.1921,0.0,0.0,4.7557,-0.57074
-0.14998,33257.959,3.804,1.1946,,,4.7652,-0.57052
-0.14999,33317.96,3.8029,1.1971,0.0,0.0,4.7747,-0.5704
-0.14998,33377.959,3.802,1.1996,0.35667,,4.7842,-0.57022
-0.15,33437.959,3.8011,1.2021,,2.8031,4.7937,-0.57017
-0.15,33497.959,3.8005,1.2046,0.0,,4.8032,-0.57008
-0.14999,33557.96,3.7996,1.2071,,0.0,4.8127,-0.5699
-0.14999,33617.959,3.7985,1.2096,0.0,,4.8222,-0.56974
-0.14999,33677.96,3.7977,1.2121,,0.0,4.8317,-0.56962
-0.14999,33737.959,3.797,1.2145,0.0,,4.8412,-0.56951
-0.15,33797.959,3.7961,1.217,,2.8788,4.8507,-0.56942
-0.14999,33857.959,3.7953,1.2195,0.0,,4.8602,-0.56926
-0.14999,33917.959,3.7943,1.222,,0.0,4.8696,-0.56911
-0.14999,33977.96,3.7934,1.2245,0.0,,4.8791,-0.56897
-0.14999,34037.96,3.7927,1.227,,0.0,4.8886,-0.56887
-0.15,34097.959,3.7919,1.2295,0.34346,,4.8981,-0.56879
-0.15,34157.959,3.791,1.232,,2.9725,4.9076,-0.56865
-0.15,34217.96,3.79,1.2345,0.0,,4.917,-0.5685
-0.15,34277.96,3.7892,1.237,,0.0,4.9265,-0.56838
-0.14999,34337.96,3.7884,1.2395,0.0,,4.936,-0.56822
-0.15,34397.96,3.7877,1.242,,0.0,4.9454,-0.56816
-0.14999,34457.96,3.7867,1.2445,0.0,2.9432,4.9549,-0.56797
-0.15,34517.959,3.7858,1.247,,,4.9644,-0.56787
-0.14999,34577.959,3.785,1.2495,0.0,0.0,4.9738,-0.56771
-0.15,34637.959,3.7842,1.252,,,4.9833,-0.56763
-0.14999,34697.959,3.7834,1.2545,0.0,0.0,4.9927,-0.56747
-0.14999,34757.96,3.7825,1.257,,,5.0022,-0.56734
