Current(A),Test_Time(s),Voltage(V),Discharge_Capacity(Ah),dV/dQ(V/Ah),dQ/dV(Ah/V),Discharge_Energy(Wh),Power(W)
-0.14999,12257.959,4.0726,0.31986,0.0,,1.3107,-0.61085
-0.14999,12317.96,4.0724,0.32235,0.089847,0.0,1.3209,-0.61082
-0.14999,12377.959,4.0721,0.32485,,12.407,1.3311,-0.61077
-0.14999,12437.959,4.0719,0.32735,0.0,,1.3413,-0.61074
-0.14998,12497.959,4.0716,0.32985,,0.0,1.3514,-0.61066
-0.14999,12557.96,4.0715,0.33235,0.0,,1.3616,-0.61068
-0.14999,12617.959,4.0714,0.33485,,0.0,1.3718,-0.61067
-0.15,12677.96,4.0712,0.33735,0.0,,1.382,-0.61068
-0.15,12737.96,4.0708,0.33985,,0.0,1.3921,-0.61062
-0.15,12797.959,4.0706,0.34235,0.0,,1.4023,-0.61059
-0.14999,12857.959,4.0705,0.34485,,0.0,1.4125,-0.61053
-0.14999,12917.959,4.0704,0.34734,0.0,,1.4226,-0.61052
-0.14999,12977.959,4.0702,0.34984,,0.0,1.4328,-0.61049
-0.15,13037.959,4.0699,0.35234,0.0,,1.443,-0.61049
-0.15,13097.959,4.0696,0.35484,,0.0,1.4532,-0.61044
-0.14999,13157.96,4.0695,0.35734,0.0,,1.4633,-0.61038
-0.15,13217.959,4.0694,0.35984,,0.0,1.4735,-0.61041
-0.15,13277.959,4.0692,0.36234,0.0,,1.4837,-0.61038
-0.14999,13337.959,4.0688,0.36484,,0.0,1.4938,-0.61028
-0.15,13397.959,4.0686,0.36734,0.0,,1.504,-0.61029
-0.14998,13457.959,4.0683,0.36984,,0.0,1.5142,-0.61016
-0.15,13517.959,4.0682,0.37233,0.0,,1.5243,-0.61023
-0.14999,13577.959,4.068,0.37483,,0.0,1.5345,-0.61016
-0.14999,13637.959,4.0676,0.37733,0.0,,1.5447,-0.6101
-0.15,13697.959,4.0673,0.37983,,0.0,1.5548,-0.6101
-0.15,13757.96,4.0671,0.38233,0.0,11.777,1.565,-0.61007
-0.14999,13817.96,4.0669,0.38483,,,1.5752,-0.60999
-0.14999,13877.959,4.0667,0.38733,0.0,0.0,1.5853,-0.60996
-0.15,13937.959,4.0662,0.38983,,,1.5955,-0.60993
-0.14999,13997.959,4.0659,0.39233,0.0,0.0,1.6057,-0.60984
-0.15,14057.959,4.0656,0.39483,,,1.6158,-0.60984
-0.14999,14117.96,4.0654,0.39732,0.0,0.0,1.626,-0.60977
-0.14999,14177.96,4.065,0.39982,,,1.6361,-0.60971
-0.14999,14237.959,4.0644,0.40232,0.0,0.0,1.6463,-0.60962
-0.15001,14297.96,4.0641,0.40482,,,1.6564,-0.60966
-0.14999,14357.959,4.0638,0.40732,0.0,0.0,1.6666,-0.60953
-0.14999,14417.959,4.0635,0.40982,,,1.6768,-0.60948
-0.15,14477.959,4.0631,0.41232,0.0,0.0,1.6869,-0.60947
-0.15,14537.959,4.0624,0.41482,,,1.6971,-0.60936
-0.15,14597.959,4.062,0.41732,0.10506,7.0112,1.7072,-0.6093
-0.15,14657.96,4.0616,0.41982,,,1.7174,-0.60924
-0.14999,14717.959,4.0612,0.42231,0.0,0.0,1.7275,-0.60914
-0.14999,14777.959,4.0607,0.42481,,,1.7377,-0.60906
-0.14999,14837.959,4.06,0.42731,0.0,0.0,1.7478,-0.60896
-0.14999,14897.959,4.0595,0.42981,,,1.758,-0.60888
-0.15,14957.959,4.059,0.43231,0.0,0.0,1.7681,-0.60885
-0.15001,15017.96,4.0586,0.43481,,,1.7782,-0.60883
-0.14998,15077.96,4.058,0.43731,0.0,0.0,1.7884,-0.60862
-0.14999,15137.96,4.0573,0.43981,,,1.7985,-0.60855
-0.14999,15197.959,4.0567,0.44231,0.0,4.7764,1.8087,-0.60846
-0.15,15257.96,4.0562,0.4448,,,1.8188,-0.60843
-0.15,15317.96,4.0557,0.4473,0.0,0.0,1.8289,-0.60836
-0.14999,15377.959,4.055,0.4498,,,1.8391,-0.60821
-0.14999,15437.96,4.0543,0.4523,0.0,0.0,1.8492,-0.6081
-0.15,15497.96,4.0536,0.4548,,,1.8593,-0.60804
-0.14999,15557.959,4.0531,0.4573,0.0,0.0,1.8694,-0.60792
-0.15,15617.959,4.0525,0.4598,,,1.8796,-0.60788
-0.14999,15677.96,4.0516,0.4623,0.22531,4.0026,1.8897,-0.6077
-0.15001,15737.959,4.0509,0.4648,,,1.8998,-0.60768
-0.14999,15797.96,4.0503,0.46729,0.0,0.0,1.91,-0.6075
-0.14999,15857.96,4.0498,0.46979,,,1.9201,-0.60743
