Current(A),Test_Time(s),Voltage(V),Discharge_Capacity(Ah),dV/dQ(V/Ah),dQ/dV(Ah/V),Discharge_Energy(Wh),Power(W)
-0.15002,14329.463,4.0691,0.40005,,13.23,1.6392,-0.61045
-0.15002,14389.463,4.0689,0.40255,0.0,,1.6493,-0.61042
-0.15002,14449.462,4.0685,0.40505,,0.0,1.6595,-0.61036
-0.15004,14509.463,4.0683,0.40755,0.0,,1.6697,-0.61041
-0.15001,14569.462,4.0682,0.41005,,0.0,1.6799,-0.61027
-0.15002,14629.462,4.068,0.41255,0.0,,1.69,-0.61028
-0.15002,14689.463,4.0677,0.41505,,0.0,1.7002,-0.61024
-0.15002,14749.464,4.0673,0.41755,0.0,,1.7104,-0.61018
-0.15002,14809.464,4.067,0.42005,,0.0,1.7205,-0.61013
-0.15002,14869.464,4.0669,0.42255,0.0,,1.7307,-0.61012
-0.15001,14929.463,4.0667,0.42506,,0.0,1.7409,-0.61005
-0.15002,14989.464,4.0662,0.42756,0.0,,1.751,-0.61001
-0.15002,15049.462,4.0658,0.43006,,0.0,1.7612,-0.60995
-0.15001,15109.462,4.0655,0.43256,0.0,,1.7714,-0.60987
-0.15002,15169.463,4.0653,0.43506,,0.0,1.7815,-0.60988
-0.15001,15229.462,4.065,0.43756,0.0,,1.7917,-0.60979
-0.15003,15289.464,4.0646,0.44006,,0.0,1.8019,-0.60981
-0.15003,15349.462,4.064,0.44256,0.090839,8.7937,1.812,-0.60972
-0.15002,15409.462,4.0636,0.44506,,,1.8222,-0.60962
-0.15002,15469.462,4.0632,0.44756,0.0,0.0,1.8324,-0.60956
-0.15002,15529.462,4.0629,0.45006,,,1.8425,-0.60952
-0.15002,15589.462,4.0624,0.45256,0.0,0.0,1.8527,-0.60944
-0.15002,15649.462,4.0618,0.45506,,,1.8628,-0.60935
-0.15002,15709.463,4.0612,0.45756,0.0,0.0,1.873,-0.60926
-0.15002,15769.462,4.0609,0.46006,,,1.8831,-0.60922
-0.15002,15829.462,4.0604,0.46256,0.0,0.0,1.8933,-0.60914
-0.15002,15889.463,4.0599,0.46506,,,1.9034,-0.60907
-0.15001,15949.464,4.0591,0.46756,0.0,0.0,1.9136,-0.60891
-0.15003,16009.464,4.0586,0.47006,,5.1734,1.9237,-0.60891
-0.15002,16069.464,4.0581,0.47256,0.0,,1.9339,-0.6088
-0.15002,16129.463,4.0576,0.47506,,0.0,1.944,-0.60872
-0.15002,16189.462,4.0569,0.47756,0.0,,1.9542,-0.60862
-0.15002,16249.462,4.0562,0.48006,,0.0,1.9643,-0.60851
-0.15002,16309.462,4.0555,0.48256,0.0,,1.9745,-0.60841
-0.15002,16369.463,4.055,0.48506,,0.0,1.9846,-0.60833
-0.15002,16429.462,4.0544,0.48756,0.0,,1.9947,-0.60824
-0.15003,16489.465,4.0537,0.49006,0.21581,4.08,2.0049,-0.60818
-0.15003,16549.464,4.0528,0.49256,,,2.015,-0.60804
-0.15002,16609.464,4.0522,0.49506,0.0,0.0,2.0251,-0.60791
-0.15001,16669.463,4.0516,0.49756,,,2.0353,-0.60778
-0.15003,16729.463,4.051,0.50006,0.0,0.0,2.0454,-0.60777
-0.15001,16789.463,4.0502,0.50257,,,2.0555,-0.60757
-0.15002,16849.464,4.0493,0.50507,0.0,0.0,2.0657,-0.60748
-0.15002,16909.464,4.0485,0.50757,,3.5503,2.0758,-0.60736
-0.15002,16969.463,4.0479,0.51007,0.0,,2.0859,-0.60727
-0.15003,17029.463,4.0472,0.51257,,0.0,2.096,-0.6072
-0.15002,17089.462,4.0465,0.51507,0.0,,2.1061,-0.60706
-0.15002,17149.462,4.0456,0.51757,,0.0,2.1163,-0.60692
-0.15002,17209.464,4.0448,0.52007,0.0,,2.1264,-0.6068
-0.15002,17269.463,4.0441,0.52257,0.29322,3.2836,2.1365,-0.6067
-0.15003,17329.463,4.0434,0.52507,,,2.1466,-0.60663
-0.15002,17389.463,4.0425,0.52757,0.0,0.0,2.1567,-0.60646
-0.15003,17449.462,4.0416,0.53007,,,2.1668,-0.60636
-0.15002,17509.463,4.0408,0.53257,0.0,0.0,2.1769,-0.6062
-0.15002,17569.463,4.0402,0.53507,,,2.187,-0.60611
-0.15004,17629.464,4.0393,0.53757,0.0,0.0,2.1971,-0.60606
-0.15002,17689.463,4.0385,0.54007,,3.0813,2.2072,-0.60586
-0.15002,17749.462,4.0375,0.54257,0.0,,2.2173,-0.60571
-0.15002,17809.464,4.0367,0.54507,,0.0,2.2274,-0.60559
-0.15002,17869.464,4.036,0.54757,0.0,,2.2375,-0.60548
-0.15002,17929.463,4.0351,0.55007,,0.0,2.2476,-0.60535
-0.15002,17989.463,4.0342,0.55257,0.32895,,2.2577,-0.60521
-0.15002,18049.462,4.0333,0.55507,,2.9906,2.2678,-0.60508
-0.15002,18109.463,4.0324,0.55757,0.0,,2.2778,-0.60494
-0.15003,18169.463,4.0316,0.56007,,0.0,2.2879,-0.60486
-0.15002,18229.462,4.0309,0.56257,,,2.298,-0.60472
