Current(A),Test_Time(s),Voltage(V),Discharge_Capacity(Ah),dV/dQ(V/Ah),dQ/dV(Ah/V),Discharge_Energy(Wh),Power(W)
-0.15002,18289.462,4.03,0.56507,0.0,0.0,2.3081,-0.60458
-0.15003,18349.462,4.0289,0.56757,,2.8199,2.3182,-0.60446
-0.15002,18409.462,4.0281,0.57007,0.0,,2.3282,-0.6043
-0.15002,18469.463,4.0273,0.57257,,0.0,2.3383,-0.60418
-0.15002,18529.462,4.0265,0.57507,0.0,,2.3484,-0.60406
-0.15002,18589.462,4.0254,0.57758,,0.0,2.3584,-0.60389
-0.15002,18649.463,4.0245,0.58008,0.0,,2.3685,-0.60376
-0.15001,18709.464,4.0236,0.58258,0.35141,2.8452,2.3786,-0.60358
-0.15002,18769.463,4.0229,0.58508,,,2.3886,-0.60352
-0.15001,18829.465,4.0219,0.58758,0.0,0.0,2.3987,-0.60333
-0.15003,18889.464,4.021,0.59008,,,2.4087,-0.60327
-0.15003,18949.462,4.0199,0.59258,0.0,0.0,2.4188,-0.60311
-0.15002,19009.464,4.0189,0.59508,,2.7253,2.4288,-0.60292
-0.15002,19069.463,4.0182,0.59758,0.0,,2.4389,-0.60281
-0.15002,19129.463,4.0172,0.60008,,0.0,2.4489,-0.60266
-0.15002,19189.464,4.0163,0.60258,0.0,,2.459,-0.60253
-0.15002,19249.463,4.0153,0.60508,,0.0,2.469,-0.60238
-0.15002,19309.462,4.0142,0.60758,0.37747,,2.479,-0.60221
-0.15001,19369.462,4.0132,0.61008,,2.6021,2.4891,-0.60202
-0.15003,19429.463,4.0122,0.61258,0.0,,2.4991,-0.60195
-0.15001,19489.463,4.0113,0.61508,,0.0,2.5091,-0.60174
-0.15001,19549.464,4.0103,0.61758,,,2.5192,-0.60159
-0.15003,19609.463,4.0091,0.62008,0.0,0.0,2.5292,-0.60149
-0.15001,19669.462,4.0081,0.62258,,2.5031,2.5392,-0.60126
-0.15004,19729.462,4.0071,0.62508,0.0,,2.5492,-0.60123
-0.15002,19789.462,4.0063,0.62758,,0.0,2.5593,-0.60103
-0.15001,19849.462,4.0052,0.63008,0.0,,2.5693,-0.60082
-0.15002,19909.464,4.0042,0.63258,0.40215,2.4473,2.5793,-0.60071
-0.15001,19969.462,4.003,0.63508,,,2.5893,-0.60049
-0.15003,20029.465,4.002,0.63758,0.0,0.0,2.5993,-0.60042
-0.15002,20089.463,4.001,0.64008,,,2.6093,-0.60023
-0.15001,20149.463,4.0001,0.64258,0.0,0.0,2.6193,-0.60006
-0.15002,20209.463,3.999,0.64508,,2.4244,2.6293,-0.59993
-0.15002,20269.465,3.9979,0.64758,0.0,,2.6393,-0.59976
-0.15003,20329.464,3.9968,0.65008,,0.0,2.6493,-0.59964
-0.15001,20389.463,3.9957,0.65259,0.0,,2.6593,-0.59939
-0.15001,20449.462,3.9949,0.65509,,0.0,2.6693,-0.59927
-0.15003,20509.465,3.9938,0.65759,0.41592,2.3976,2.6793,-0.59919
-0.15002,20569.464,3.9926,0.66009,,,2.6893,-0.59897
-0.15002,20629.464,3.9915,0.66259,0.0,0.0,2.6992,-0.5988
-0.15001,20689.462,3.9905,0.66509,,,2.7092,-0.59861
-0.15003,20749.463,3.9896,0.66759,0.0,0.0,2.7192,-0.59856
-0.15002,20809.464,3.9886,0.67009,,2.3997,2.7292,-0.59837
-0.15002,20869.462,3.9874,0.67259,0.0,,2.7391,-0.59819
-0.15002,20929.464,3.9863,0.67509,,0.0,2.7491,-0.59802
-0.15002,20989.462,3.9853,0.67759,0.0,,2.7591,-0.59787
-0.15002,21049.463,3.9845,0.68009,,0.0,2.769,-0.59775
-0.15002,21109.462,3.9834,0.68259,0.41646,2.3998,2.779,-0.59759
-0.15001,21169.463,3.9822,0.68509,,,2.789,-0.59737
-0.15001,21229.463,3.9812,0.68759,0.0,0.0,2.7989,-0.59722
-0.15002,21289.464,3.9802,0.69009,,,2.8089,-0.59711
-0.15002,21349.465,3.9793,0.69259,0.0,0.0,2.8188,-0.59697
-0.15002,21409.464,3.9782,0.69509,,2.4203,2.8288,-0.59681
-0.15001,21469.463,3.977,0.69759,0.0,,2.8387,-0.59659
-0.15002,21529.462,3.976,0.70009,,0.0,2.8487,-0.59648
-0.15002,21589.463,3.9751,0.70259,0.0,,2.8586,-0.59634
-0.15002,21649.462,3.9742,0.70509,0.40975,0.0,2.8685,-0.59621
-0.15001,21709.462,3.9732,0.70759,,2.4648,2.8785,-0.59602
-0.15001,21769.463,3.972,0.71009,0.0,,2.8884,-0.59584
-0.15002,21829.462,3.971,0.71259,,0.0,2.8983,-0.59573
-0.15003,21889.463,3.9702,0.71509,0.0,,2.9083,-0.59565
-0.15002,21949.463,3.9692,0.71759,,0.0,2.9182,-0.59546
-0.15002,22009.462,3.968,0.72009,0.0,2.5202,2.9281,-0.59528
-0.15002,22069.464,3.9671,0.72259,,,2.938,-0.59514
-0.15001,22129.464,3.9661,0.72509,0.0,0.0,2.9479,-0.59495
-0.15002,22189.464,3.9653,0.72759,,,2.9579,-0.59487
-0.15002,22249.463,3.9643,0.7301,0.0,0.0,2.9678,-0.59472
-0.15002,22309.464,3.9634,0.7326,0.39404,2.5581,2.9777,-0.59459
-0.15002,22369.462,3.9623,0.7351,,,2.9876,-0.59442
-0.15002,22429.463,3.9613,0.7376,0.0,0.0,2.9975,-0.59427
-0.15001,22489.463,3.9605,0.7401,,,3.0074,-0.59411
-0.15002,22549.463,3.9596,0.7426,0.0,0.0,3.0173,-0.59402
-0.15001,22609.464,3.9585,0.7451,,2.6366,3.0272,-0.59381
-0.15002,22669.462,3.9576,0.7476,0.0,,3.0371,-0.59372
-0.15001,22729.465,3.9567,0.7501,,0.0,3.047,-0.59354
-0.15002,22789.464,3.9559,0.7526,0.0,,3.0569,-0.59346
-0.15003,22849.463,3.955,0.7551,,0.0,3.0668,-0.59337
-0.15003,22909.462,3.954,0.7576,0.37319,2.7346,3.0767,-0.59322
-0.15003,22969.463,3.953,0.7601,,,3.0865,-0.59307
-0.15001,23029.462,3.9523,0.7626,0.0,0.0,3.0964,-0.59288
-0.15003,23089.462,3.9514,0.7651,,,3.1063,-0.59283
-0.15001,23149.464,3.9505,0.7676,0.0,0.0,3.1162,-0.59261
-0.15002,23209.464,3.9497,0.7701,,,3.1261,-0.59253
-0.15002,23269.462,3.9486,0.7726,0.0,2.8179,3.1359,-0.59237
-0.15002,23329.462,3.9477,0.7751,,,3.1458,-0.59223
-0.15002,23389.463,3.9469,0.7776,0.0,0.0,3.1557,-0.59211
-0.15002,23449.462,3.9462,0.7801,,,3.1656,-0.59201
-0.15002,23509.464,3.9454,0.7826,0.0,0.0,3.1754,-0.59189
-0.15003,23569.464,3.9444,0.7851,,,3.1853,-0.59178
-0.15002,23629.462,3.9435,0.7876,0.34647,2.9523,3.1951,-0.5916
-0.15003,23689.463,3.9427,0.7901,,,3.205,-0.59152
-0.15002,23749.464,3.9421,0.7926,0.0,0.0,3.2149,-0.59139
-0.15002,23809.463,3.9413,0.7951,,,3.2247,-0.59127
-0.15002,23869.463,3.9403,0.7976,0.0,0.0,3.2346,-0.59112
-0.15003,23929.462,3.9394,0.8001,,,3.2444,-0.59103
-0.15003,23989.464,3.9386,0.80261,0.0,3.0053,3.2543,-0.59091
-0.15001,24049.462,3.938,0.8051,,,3.2641,-0.59074
-0.15002,24109.464,3.9373,0.80761,0.0,0.0,3.274,-0.59067
-0.15002,24169.464,3.9364,0.81011,,,3.2838,-0.59054
-0.15001,24229.464,3.9356,0.81261,0.0,0.0,3.2936,-0.59038
-0.15002,24289.464,3.9348,0.81511,,,3.3035,-0.5903
-0.15001,24349.463,3.9342,0.81761,0.31824,0.0,3.3133,-0.59017
-0.15002,24409.464,3.9334,0.82011,,3.288,3.3232,-0.59009
-0.15002,24469.465,3.9326,0.82261,0.0,,3.333,-0.58997
-0.15002,24529.463,3.9317,0.82511,,0.0,3.3428,-0.58983
-0.15002,24589.465,3.931,0.82761,0.0,,3.3527,-0.58973
-0.15001,24649.462,3.9305,0.83011,,0.0,3.3625,-0.58961
-0.15002,24709.463,3.9297,0.83261,0.0,,3.3723,-0.58953
-0.15002,24769.462,3.9288,0.83511,,3.3929,3.3821,-0.5894
-0.15002,24829.462,3.9281,0.83761,0.0,,3.392,-0.58929
-0.15002,24889.465,3.9274,0.84011,,0.0,3.4018,-0.58919
-0.15001,24949.463,3.9269,0.84261,0.0,,3.4116,-0.58907
-0.15003,25009.464,3.9262,0.84511,,0.0,3.4214,-0.58905
-0.15003,25069.463,3.9253,0.84761,,,3.4312,-0.58891
-0.15002,25129.462,3.9246,0.85011,0.0,0.0,3.441,-0.58877
-0.15002,25189.462,3.924,0.85261,0.28794,,3.4509,-0.58868
-0.15002,25249.463,3.9234,0.85511,,3.5675,3.4607,-0.58859
-0.15002,25309.463,3.9227,0.85761,0.0,,3.4705,-0.58848
-0.15003,25369.464,3.9219,0.86011,,0.0,3.4803,-0.5884
-0.15003,25429.462,3.9213,0.86261,0.0,,3.4901,-0.58831
-0.15001,25489.464,3.9208,0.86511,,0.0,3.4999,-0.58816
-0.15002,25549.463,3.9201,0.86761,0.0,,3.5097,-0.58809
-0.15002,25609.463,3.9195,0.87011,,0.0,3.5195,-0.588
-0.15002,25669.463,3.9187,0.87261,0.0,3.706,3.5293,-0.58788
-0.15002,25729.463,3.918,0.87511,,,3.5391,-0.58778
-0.15001,25789.464,3.9175,0.87761,0.0,0.0,3.5489,-0.58766
-0.15002,25849.463,3.917,0.88012,,,3.5587,-0.58763
-0.15003,25909.463,3.9163,0.88262,0.0,0.0,3.5685,-0.58756
-0.15002,25969.464,3.9155,0.88512,,,3.5783,-0.5874
-0.15003,26029.463,3.9149,0.88762,0.0,0.0,3.5881,-0.58735
-0.15003,26089.464,3.9145,0.89012,,,3.5978,-0.58729
-0.15002,26149.462,3.9139,0.89262,0.26076,4.0196,3.6076,-0.58716
-0.15003,26209.462,3.9131,0.89512,,,3.6174,-0.58708
-0.15001,26269.462,3.9125,0.89762,0.0,0.0,3.6272,-0.58691
-0.15002,26329.463,3.9119,0.90012,,,3.637,-0.58686
-0.15002,26389.463,3.9115,0.90262,0.0,0.0,3.6468,-0.5868
-0.15002,26449.462,3.9109,0.90512,,,3.6565,-0.58671
-0.15002,26509.464,3.9102,0.90762,0.0,0.0,3.6663,-0.58661
-0.15002,26569.463,3.9096,0.91012,,,3.6761,-0.58652
-0.15002,26629.462,3.9089,0.91262,0.0,0.0,3.6859,-0.58641
-0.15001,26689.462,3.9086,0.91512,,4.2717,3.6956,-0.58633
-0.15002,26749.462,3.908,0.91762,0.0,,3.7054,-0.58628
-0.15001,26809.462,3.9072,0.92012,,0.0,3.7152,-0.58612
-0.15002,26869.463,3.9066,0.92262,0.0,,3.725,-0.58607
-0.15002,26929.462,3.9062,0.92512,,0.0,3.7347,-0.58601
-0.15002,26989.464,3.9057,0.92762,0.0,,3.7445,-0.58593
-0.15002,27049.462,3.9051,0.93012,,0.0,3.7542,-0.58584
-0.15003,27109.462,3.9043,0.93262,0.0,,3.764,-0.58576
-0.15003,27169.464,3.9038,0.93512,0.23022,4.3725,3.7738,-0.58569
-0.15002,27229.464,3.9034,0.93762,,,3.7835,-0.58559
-0.15002,27289.464,3.9029,0.94012,0.0,0.0,3.7933,-0.58551
-0.15001,27349.462,3.9023,0.94262,,,3.803,-0.58538
-0.15003,27409.462,3.9015,0.94512,0.0,0.0,3.8128,-0.58534
-0.15002,27469.463,3.901,0.94762,,,3.8226,-0.58523
-0.15001,27529.465,3.9004,0.95012,0.0,0.0,3.8323,-0.5851
-0.15002,27589.462,3.9001,0.95262,,,3.8421,-0.58509
-0.15003,27649.464,3.8995,0.95513,0.0,0.0,3.8518,-0.58504
-0.15003,27709.464,3.8988,0.95763,,4.325,3.8616,-0.58494
-0.15002,27769.464,3.8981,0.96013,0.0,,3.8713,-0.58479
-0.15001,27829.463,3.8976,0.96263,,0.0,3.8811,-0.58468
-0.15002,27889.463,3.8972,0.96513,0.0,,3.8908,-0.58466
-0.15002,27949.463,3.8966,0.96763,,0.0,3.9005,-0.58457
-0.15002,28009.463,3.8959,0.97013,0.0,,3.9103,-0.58446
-0.15002,28069.462,3.8953,0.97263,,0.0,3.92,-0.58437
-0.15002,28129.463,3.8947,0.97513,0.0,,3.9298,-0.58428
-0.15002,28189.462,3.8943,0.97763,,0.0,3.9395,-0.58422
-0.15002,28249.464,3.8938,0.98013,0.2268,4.48,3.9492,-0.58415
-0.15002,28309.462,3.8931,0.98263,,,3.959,-0.58404
-0.15001,28369.463,3.8924,0.98513,0.0,0.0,3.9687,-0.5839
-0.15,28429.464,3.8919,0.98763,,,3.9784,-0.58379
-0.15003,28489.464,3.8914,0.99013,0.0,0.0,3.9882,-0.58383
-0.15003,28549.464,3.8908,0.99263,,,3.9979,-0.58374
-0.15003,28609.463,3.8901,0.99513,0.0,0.0,4.0076,-0.58363
-0.15002,28669.464,3.8895,0.99763,,,4.0174,-0.5835
-0.15002,28729.463,3.8889,1.0001,0.0,0.0,4.0271,-0.58341
-0.15002,28789.464,3.8884,1.0026,,4.2673,4.0368,-0.58334
-0.15001,28849.463,3.8878,1.0051,0.0,,4.0465,-0.58321
-0.15002,28909.463,3.8871,1.0076,,0.0,4.0562,-0.58314
-0.15001,28969.462,3.8864,1.0101,0.0,,4.066,-0.583
-0.15002,29029.463,3.8858,1.0126,,0.0,4.0757,-0.58295
-0.15003,29089.462,3.8854,1.0151,0.0,,4.0854,-0.58293
-0.15002,29149.463,3.8847,1.0176,,0.0,4.0951,-0.58278
-0.15003,29209.463,3.8839,1.0201,0.24253,,4.1048,-0.5827
-0.15002,29269.463,3.8833,1.0226,,4.0371,4.1145,-0.58257
-0.15002,29329.462,3.8826,1.0251,0.0,,4.1242,-0.58247
-0.15002,29389.462,3.882,1.0276,,0.0,4.1339,-0.58238
-0.15002,29449.463,3.8815,1.0301,0.0,,4.1437,-0.5823
-0.15002,29509.464,3.8808,1.0326,,0.0,4.1534,-0.5822
-0.15003,29569.462,3.88,1.0351,0.0,,4.1631,-0.58212
-0.15002,29629.462,3.8793,1.0376,,0.0,4.1728,-0.58197
-0.15002,29689.463,3.8786,1.0401,0.0,3.7624,4.1825,-0.58187
-0.15002,29749.462,3.8781,1.0426,,,4.1922,-0.58179
-0.15003,29809.464,3.8774,1.0451,0.0,0.0,4.2018,-0.58173
-0.15002,29869.462,3.8766,1.0476,,,4.2115,-0.58157
-0.15001,29929.462,3.8758,1.0501,0.0,0.0,4.2212,-0.58141
-0.15003,29989.465,3.8751,1.0526,,,4.2309,-0.58138
-0.15001,30049.463,3.8745,1.0551,0.0,0.0,4.2406,-0.58121
-0.15003,30109.462,3.8737,1.0576,0.27345,3.4518,4.2503,-0.58117
-0.15002,30169.464,3.8729,1.0601,,,4.26,-0.58101
-0.15002,30229.464,3.872,1.0626,0.0,0.0,4.2697,-0.58088
-0.15002,30289.465,3.8712,1.0651,,,4.2793,-0.58076
-0.15002,30349.463,3.8707,1.0676,0.0,0.0,4.289,-0.58068
-0.15002,30409.462,3.8699,1.0701,,,4.2987,-0.58056
-0.15002,30469.464,3.8691,1.0726,0.0,0.0,4.3084,-0.58044
-0.15002,30529.463,3.868,1.0751,,3.2215,4.318,-0.58028
-0.15002,30589.465,3.8672,1.0776,0.0,,4.3277,-0.58016
-0.15002,30649.462,3.8665,1.0801,,0.0,4.3374,-0.58005
-0.15001,30709.463,3.8657,1.0826,0.0,,4.3471,-0.57989
-0.15002,30769.464,3.8648,1.0851,,0.0,4.3567,-0.5798
-0.15001,30829.464,3.8638,1.0876,0.32448,2.9106,4.3664,-0.57961
-0.15002,30889.462,3.8629,1.0901,,,4.376,-0.57951
-0.15002,30949.462,3.8621,1.0926,0.0,0.0,4.3857,-0.57939
-0.15002,31009.462,3.8612,1.0951,,,4.3954,-0.57926
-0.15003,31069.464,3.8601,1.0976,0.0,0.0,4.405,-0.57913
-0.15002,31129.463,3.8592,1.1001,,,4.4147,-0.57896
-0.15,31189.463,3.8582,1.1026,0.0,2.7268,4.4243,-0.57873
-0.15002,31249.462,3.8573,1.1051,,,4.4339,-0.57867
-0.15002,31309.465,3.8564,1.1076,0.0,0.0,4.4436,-0.57854
-0.15002,31369.462,3.8552,1.1101,,,4.4532,-0.57836
-0.15003,31429.463,3.8541,1.1126,0.0,0.0,4.4629,-0.57823
-0.15002,31489.463,3.8532,1.1151,0.38118,2.5256,4.4725,-0.57806
-0.15002,31549.462,3.8523,1.1176,,,4.4821,-0.57792
-0.15001,31609.463,3.8512,1.1201,0.0,0.0,4.4918,-0.57772
-0.15002,31669.462,3.8499,1.1226,,,4.5014,-0.57756
-0.15002,31729.464,3.8489,1.1251,0.0,0.0,4.511,-0.57741
-0.15002,31789.462,3.848,1.1276,,2.3431,4.5206,-0.57728
-0.15003,31849.462,3.8468,1.1301,0.0,,4.5303,-0.57714
-0.15003,31909.463,3.8457,1.1326,,0.0,4.5399,-0.57697
-0.15002,31969.464,3.8444,1.1351,0.0,,4.5495,-0.57674
-0.15002,32029.462,3.8433,1.1376,0.43473,2.2689,4.5591,-0.57657
-0.15003,32089.464,3.8422,1.1402,,,4.5687,-0.57645
-0.15002,32149.464,3.8411,1.1427,0.0,0.0,4.5783,-0.57624
-0.15002,32209.462,3.8401,1.1452,,,4.5879,-0.57609
-0.15002,32269.462,3.839,1.1477,0.0,2.1991,4.5975,-0.57593
-0.15002,32329.464,3.8377,1.1502,,,4.6071,-0.57573
-0.15001,32389.463,3.8365,1.1527,0.0,,4.6167,-0.57551
-0.15002,32449.464,3.8355,1.1552,,0.0,4.6263,-0.5754
-0.15001,32509.465,3.8344,1.1577,0.0,,4.6359,-0.5752
-0.15003,32569.464,3.8332,1.1602,0.45429,2.1344,4.6455,-0.57509
-0.15002,32629.465,3.8319,1.1627,,,4.6551,-0.57486
-0.15002,32689.462,3.8308,1.1652,0.0,0.0,4.6646,-0.5747
-0.15002,32749.462,3.8298,1.1677,,,4.6742,-0.57455
-0.15002,32809.463,3.8288,1.1702,0.0,2.2623,4.6838,-0.5744
-0.15003,32869.463,3.8276,1.1727,,,4.6934,-0.57425
-0.15002,32929.463,3.8264,1.1752,0.0,0.0,4.7029,-0.57404
-0.15001,32989.465,3.8253,1.1777,,,4.7125,-0.57383
-0.15002,33049.464,3.8241,1.1802,0.0,0.0,4.7221,-0.57369
-0.15003,33109.465,3.8232,1.1827,0.4485,2.276,4.7316,-0.57359
-0.15002,33169.464,3.8221,1.1852,,,4.7412,-0.57339
-0.15002,33229.462,3.821,1.1877,0.0,0.0,4.7507,-0.57323
-0.15002,33289.463,3.8198,1.1902,,,4.7603,-0.57305
-0.15002,33349.462,3.8189,1.1927,0.0,0.0,4.7698,-0.57291
-0.15001,33409.464,3.818,1.1952,,2.3555,4.7794,-0.57274
-0.15002,33469.464,3.8169,1.1977,0.0,,4.7889,-0.57261
-0.15002,33529.464,3.8157,1.2002,,0.0,4.7985,-0.57243
-0.15002,33589.462,3.8147,1.2027,0.0,,4.808,-0.57228
-0.15002,33649.463,3.8138,1.2052,0.41916,2.4378,4.8176,-0.57215
-0.15002,33709.463,3.8129,1.2077,,,4.8271,-0.57201
-0.15003,33769.464,3.8119,1.2102,0.0,0.0,4.8366,-0.5719
-0.15002,33829.462,3.8107,1.2127,,,4.8461,-0.57168
-0.15002,33889.462,3.8098,1.2152,0.0,0.0,4.8557,-0.57155
-0.15002,33949.464,3.809,1.2177,,2.5153,4.8652,-0.57143
-0.15002,34009.464,3.808,1.2202,0.0,,4.8747,-0.57128
-0.15001,34069.465,3.8069,1.2227,,,4.8842,-0.57107
-0.15002,34129.462,3.8059,1.2252,0.0,0.0,4.8938,-0.57096
-0.15002,34189.462,3.8049,1.2277,,,4.9033,-0.57081
-0.15002,34249.462,3.8042,1.2302,0.38864,0.0,4.9128,-0.57071
-0.15002,34309.462,3.8032,1.2327,,2.646,4.9223,-0.57056
-0.15002,34369.463,3.8022,1.2352,0.0,,4.9318,-0.57041
-0.15003,34429.464,3.8012,1.2377,,0.0,4.9413,-0.57029
-0.15002,34489.464,3.8002,1.2402,0.0,,4.9508,-0.57011
-0.15001,34549.465,3.7995,1.2427,,0.0,4.9603,-0.56996
-0.15003,34609.462,3.7987,1.2452,,2.6702,4.9698,-0.56992
-0.15003,34669.462,3.7975,1.2477,0.0,,4.9793,-0.56974
-0.15002,34729.462,3.7966,1.2502,,0.0,4.9888,-0.56957
-0.15002,34789.463,3.7958,1.2527,0.0,,4.9983,-0.56945
-0.15002,34849.462,3.795,1.2552,,0.0,5.0078,-0.56933
-0.15001,34909.463,3.7941,1.2577,0.36716,,5.0173,-0.56915
-0.15001,34969.465,3.7931,1.2602,,2.8046,5.0268,-0.569
-0.15003,35029.462,3.7922,1.2627,0.0,,5.0362,-0.56894
-0.15001,35089.462,3.7914,1.2652,,0.0,5.0457,-0.56875
-0.15002,35149.463,3.7907,1.2677,0.0,,5.0552,-0.56868
-0.15003,35209.464,3.7897,1.2702,,0.0,5.0647,-0.56857
-0.15002,35269.462,3.7887,1.2727,0.0,,5.0741,-0.56838
-0.15003,35329.462,3.7879,1.2752,,2.8732,5.0836,-0.5683
-0.15001,35389.463,3.787,1.2777,0.0,,5.0931,-0.56809
-0.15001,35449.464,3.7863,1.2802,,0.0,5.1026,-0.56798
-0.15001,35509.463,3.7855,1.2827,0.0,,5.112,-0.56786
-0.15001,35569.464,3.7844,1.2852,,0.0,5.1215,-0.5677
-0.15001,35629.462,3.7836,1.2877,0.34174,2.9283,5.131,-0.56758
-0.15002,35689.462,3.7828,1.2902,,,5.1404,-0.5675
-0.15003,35749.462,3.7821,1.2927,0.0,0.0,5.1499,-0.56743
-0.15002,35809.464,3.7812,1.2952,,,5.1593,-0.56726
-0.15002,35869.462,3.7803,1.2977,0.0,0.0,5.1688,-0.56712
-0.15002,35929.464,3.7794,1.3002,,,5.1782,-0.56699
-0.15003,35989.464,3.7786,1.3027,0.0,2.9738,5.1877,-0.5669
-0.15002,36049.462,3.7779,1.3052,,,5.1971,-0.56676
-0.15002,36109.462,3.7771,1.3077,0.0,0.0,5.2066,-0.56664
-0.15002,36169.465,3.7761,1.3102,,,5.216,-0.56649
-0.15002,36229.462,3.7752,1.3127,0.0,0.0,5.2254,-0.56636
-0.15002,36289.463,3.7745,1.3152,,,5.2349,-0.56625
-0.15002,36349.462,3.7738,1.3177,0.33261,3.0336,5.2443,-0.56615
-0.15002,36409.463,3.773,1.3202,,,5.2538,-0.56603
-0.15002,36469.463,3.772,1.3227,0.0,0.0,5.2632,-0.56588
-0.15002,36529.462,3.7711,1.3252,,,5.2726,-0.56574
-0.15002,36589.462,3.7704,1.3277,0.0,0.0,5.2821,-0.56564
