Current(A),Test_Time(s),Voltage(V),Charge_Capacity(Ah),dV/dQ(V/Ah),dQ/dV(Ah/V),Charge_Energy(Wh),Power(W)
0.14999,977.665,4.2037,0.0292,-5.0442,-0.13021,0.12334,0.63051
0.14146,977.672,4.2037,0.0292,-5.0442,-0.13021,0.12334,0.59466
0.14999,77234.422,3.0868,0.02999,4.8927,0.2104,0.08991,0.46299
0.14997,77294.422,3.0981,0.03249,4.534,0.22082,0.09764,0.46462
0.14998,77354.422,3.1089,0.03499,4.3423,0.23189,0.1054,0.46627
0.14999,77414.423,3.1193,0.03749,4.2111,0.24085,0.11318,0.46786
0.14998,77474.422,3.1294,0.03999,4.0237,0.25024,0.12099,0.46935
0.14998,77534.423,3.1391,0.04248,3.8987,0.26153,0.12882,0.4708
0.14998,77594.423,3.1484,0.04498,3.7563,0.26998,0.13668,0.4722
0.14998,77654.422,3.1572,0.04748,,0.27465,0.14456,0.47352
0.14998,77714.422,3.166,0.04998,3.5943,0.28701,0.15246,0.47484
0.14999,77774.423,3.1745,0.05248,3.4711,0.29576,0.16038,0.47614
0.14998,77834.423,3.1827,0.05498,3.3436,0.30273,0.16832,0.47734
0.14998,77894.422,3.1905,0.05748,3.2193,0.3129,0.17629,0.47851
0.14998,77954.423,3.1981,0.05998,3.099,0.32618,0.18427,0.47965
0.14999,78014.422,3.2056,0.06248,,0.33462,0.19227,0.48081
0.14999,78074.423,3.213,0.06498,2.9824,0.34538,0.20029,0.48192
0.14999,78134.422,3.2201,0.06747,2.8506,0.35438,0.20833,0.48298
0.14998,78194.422,3.2269,0.06997,,0.36392,0.21638,0.48397
0.14999,78254.423,3.2333,0.07247,2.7497,0.37965,0.22446,0.48496
0.14998,78314.423,3.2398,0.07497,2.6095,0.3835,0.23255,0.48591
0.14999,78374.422,3.2462,0.07747,,0.39787,0.24065,0.4869
0.14999,78434.422,3.2523,0.07997,2.5152,0.40062,0.24877,0.48781
0.14998,78494.422,3.2582,0.08247,2.4296,0.4188,0.2569,0.48866
0.14998,78554.422,3.264,0.08497,,0.42737,0.26505,0.48953
0.14999,78614.422,3.2697,0.08747,2.3188,0.43415,0.27322,0.49042
0.14998,78674.423,3.2755,0.08997,,0.44248,0.2814,0.49126
0.14997,78734.422,3.281,0.09246,2.2381,0.45168,0.28959,0.49205
0.14998,78794.422,3.2861,0.09496,,0.45847,0.29779,0.49285
0.14998,78854.422,3.2914,0.09746,2.1579,0.46875,0.30601,0.49364
0.14997,78914.422,3.2966,0.09996,,0.47925,0.31425,0.49439
0.14998,78974.422,3.3018,0.10246,2.0682,0.4899,0.32249,0.4952
0.14997,79034.423,3.3067,0.10496,,0.4999,0.33075,0.49591
0.14998,79094.423,3.3114,0.10746,1.993,0.50972,0.33902,0.49664
0.14998,79154.423,3.3161,0.10996,,0.51704,0.3473,0.49735
0.14998,79214.422,3.3208,0.11246,1.9062,0.53152,0.35559,0.49805
0.14999,79274.422,3.3255,0.11496,,0.54306,0.36389,0.49879
0.14998,79334.422,3.3299,0.11745,1.8211,0.55498,0.37221,0.49942
0.14997,79394.422,3.3342,0.11995,,0.56705,0.38054,0.50003
0.14998,79454.423,3.3384,0.12245,1.7439,0.58211,0.38887,0.50069
0.14998,79514.422,3.3427,0.12495,,,0.39722,0.50134
0.14999,79574.422,3.3468,0.12745,0.0,0.59935,0.40558,0.50199
0.14998,79634.422,3.3507,0.12995,1.647,0.61914,0.41395,0.50254
0.14998,79694.423,3.3544,0.13245,,0.64002,0.42233,0.50309
0.14998,79754.422,3.3582,0.13495,1.5316,0.66846,0.43072,0.50366
0.14999,79814.423,3.3618,0.13745,,,0.43911,0.50424
0.14998,79874.423,3.3652,0.13995,0.0,0.71415,0.44752,0.50471
0.14998,79934.423,3.3683,0.14244,1.3586,0.7717,0.45593,0.50518
0.14998,79994.423,3.3712,0.14494,,,0.46435,0.50561
0.14999,80054.423,3.3739,0.14744,0.0,0.87152,0.47278,0.50605
0.14999,80114.422,3.3766,0.14994,,,0.48122,0.50646
0.14998,80174.422,3.3788,0.15244,1.0741,1.0188,0.48966,0.50675
0.14998,80234.423,3.3807,0.15494,,,0.4981,0.50704
0.14998,80294.422,3.3826,0.15744,0.0,0.0,0.50656,0.50732
0.14998,80354.422,3.3845,0.15994,,1.2362,0.51501,0.50761
0.14998,80414.422,3.3862,0.16244,0.0,,0.52347,0.50786
0.14999,80474.422,3.3878,0.16494,0.73277,0.0,0.53194,0.50814
0.14998,80534.422,3.389,0.16743,,1.5258,0.5404,0.50828
0.14999,80594.423,3.3904,0.16993,0.0,,0.54887,0.50853
0.14998,80654.423,3.3917,0.17243,,0.0,0.55735,0.50869
0.14999,80714.423,3.3931,0.17493,0.0,,0.56583,0.50893
0.14999,80774.423,3.3943,0.17743,,1.8973,0.57431,0.50911
0.14998,80834.423,3.3953,0.17993,,,0.58279,0.50923
0.14997,80894.422,3.3964,0.18243,0.0,0.0,0.59128,0.50936
0.14998,80954.423,3.3975,0.18493,,,0.59977,0.50956
0.14999,81014.422,3.3986,0.18743,0.48946,2.2664,0.60826,0.50976
0.14998,81074.423,3.3996,0.18993,,,0.61675,0.50987
0.14998,81134.422,3.4004,0.19242,0.0,0.0,0.62525,0.50999
0.14998,81194.423,3.4014,0.19492,,,0.63375,0.51014
0.14998,81254.422,3.4025,0.19742,0.0,0.0,0.64225,0.51031
0.14998,81314.422,3.4033,0.19992,,2.5912,0.65075,0.51043
0.14998,81374.422,3.4041,0.20242,0.0,,0.65926,0.51055
0.14999,81434.423,3.405,0.20492,,0.0,0.66777,0.51072
0.14998,81494.422,3.4058,0.20742,0.0,,0.67628,0.5108
0.14998,81554.423,3.4069,0.20992,,0.0,0.68479,0.51097
0.14999,81614.423,3.4077,0.21242,0.0,,0.6933,0.51112
0.14998,81674.422,3.4083,0.21492,0.3678,2.8782,0.70182,0.51118
0.14998,81734.422,3.4092,0.21741,,,0.71034,0.51131
0.14998,81794.423,3.41,0.21991,0.0,0.0,0.71886,0.51143
0.14998,81854.422,3.4109,0.22241,,,0.72738,0.51157
0.14998,81914.422,3.4118,0.22491,0.0,0.0,0.7359,0.5117
0.14999,81974.422,3.4124,0.22741,,,0.74443,0.51183
0.14999,82034.422,3.4131,0.22991,0.0,3.1496,0.75296,0.51193
0.14999,82094.422,3.4139,0.23241,,,0.76149,0.51205
0.14998,82154.422,3.4148,0.23491,0.0,0.0,0.77002,0.51215
0.14998,82214.422,3.4155,0.2374,,,0.77855,0.51226
0.14999,82274.423,3.4163,0.2399,0.0,0.0,0.78709,0.51241
0.14998,82334.423,3.4168,0.2424,,,0.79562,0.51245
0.14998,82394.423,3.4176,0.2449,0.0,0.0,0.80416,0.51257
0.14998,82454.422,3.4185,0.2474,0.30867,3.3846,0.8127,0.51271
0.14999,82514.422,3.4192,0.2499,,,0.82125,0.51285
0.14999,82574.423,3.4199,0.2524,0.0,0.0,0.82979,0.51295
0.14999,82634.423,3.4204,0.2549,,,0.83834,0.51303
0.14998,82694.422,3.4211,0.25739,0.0,0.0,0.84689,0.5131
0.14999,82754.422,3.4218,0.25989,,,0.85544,0.51324
