Current(A),Test_Time(s),Voltage(V),Discharge_Capacity(Ah),dV/dQ(V/Ah),dQ/dV(Ah/V),Discharge_Energy(Wh),Power(W)
-0.15002,14543.9737,4.0704,0.41255,,,1.692,-0.61064
-0.15001,14603.9754,4.0702,0.41505,0.0,0.0,1.7022,-0.61057
-0.15002,14663.9747,4.07,0.41755,,,1.7124,-0.61058
-0.15003,14723.9728,4.0696,0.42005,0.0,0.0,1.7225,-0.61056
-0.15001,14783.9752,4.0694,0.42255,,,1.7327,-0.61045
-0.15002,14843.9728,4.0692,0.42505,0.0,0.0,1.7429,-0.61046
-0.15001,14903.9729,4.0691,0.42755,,,1.7531,-0.61041
-0.15001,14963.9728,4.0689,0.43005,,0.0,1.7632,-0.61038
-0.15002,15023.9736,4.0687,0.43255,0.0,,1.7734,-0.61039
-0.15001,15083.9735,4.0682,0.43505,,0.0,1.7836,-0.61027
-0.15002,15143.9733,4.068,0.43755,0.0,,1.7938,-0.61028
-0.15001,15203.9726,4.0678,0.44005,,0.0,1.8039,-0.61021
-0.15002,15263.9738,4.0677,0.44255,0.0,,1.8141,-0.61024
-0.15002,15323.9731,4.0674,0.44505,,0.0,1.8243,-0.61019
-0.15002,15383.973,4.067,0.44755,0.0,,1.8344,-0.61013
-0.15001,15443.9728,4.0666,0.45005,,0.0,1.8446,-0.61003
-0.15002,15503.9727,4.0663,0.45255,0.0,,1.8548,-0.61003
-0.15002,15563.9735,4.0662,0.45505,,11.043000221252441,1.8649,-0.61001
-0.15001,15623.9752,4.066,0.45755,0.0,,1.8751,-0.60994
-0.15002,15683.9726,4.0654,0.46005,,0.0,1.8853,-0.60989
-0.15002,15743.9754,4.0651,0.46255,0.0,,1.8954,-0.60985
-0.15002,15803.9747,4.0647,0.46505,,0.0,1.9056,-0.60979
-0.15002,15863.9735,4.0645,0.46755,0.0,,1.9158,-0.60976
-0.15002,15923.9728,4.0641,0.47005,,0.0,1.9259,-0.6097
-0.15001,15983.9744,4.0636,0.47255,0.0,,1.9361,-0.60958
-0.15002,16043.9736,4.0631,0.47505,,0.0,1.9462,-0.60955
-0.15001,16103.9743,4.0627,0.47755,0.0,,1.9564,-0.60945
-0.15002,16163.9732,4.0624,0.48005,,0.0,1.9666,-0.60944
-0.15002,16223.9738,4.062,0.48255,0.0,,1.9767,-0.60938
-0.15003,16283.9746,4.0614,0.48506,0.11269000172615051,6.313600063323975,1.9869,-0.60933
-0.15001,16343.9745,4.0607,0.48756,,,1.997,-0.60915
-0.15001,16403.9728,4.0603,0.49006,0.0,0.0,2.0072,-0.60909
-0.15001,16463.9729,4.0599,0.49256,,,2.0173,-0.60903
-0.15001,16523.9728,4.0594,0.49506,0.0,0.0,2.0275,-0.60895
-0.15002,16583.9725,4.0586,0.49756,,,2.0376,-0.60887
-0.15001,16643.974,4.0577,0.50006,0.0,0.0,2.0478,-0.6087
-0.15001,16703.9745,4.0575,0.50256,,,2.0579,-0.60867
-0.15002,16763.9738,4.057,0.50506,0.0,0.0,2.0681,-0.60863
-0.15002,16823.9729,4.0564,0.50756,,,2.0782,-0.60854
-0.15001,16883.9734,4.0556,0.51006,0.0,4.585899829864502,2.0883,-0.60838
-0.15002,16943.9757,4.0549,0.51256,,,2.0985,-0.60832
-0.15002,17003.9741,4.0542,0.51506,0.0,0.0,2.1086,-0.60821
-0.15001,17063.974,4.0536,0.51756,,,2.1188,-0.60808
-0.15001,17123.9749,4.053,0.52006,0.0,0.0,2.1289,-0.60799
-0.15001,17183.9735,4.0523,0.52256,,,2.139,-0.60789
-0.15001,17243.9732,4.0514,0.52506,0.2473600059747696,0.0,2.1492,-0.60775
-0.15002,17303.9748,4.0508,0.52756,,3.5596001148223877,2.1593,-0.6077
-0.15001,17363.9725,4.0501,0.53006,0.0,,2.1694,-0.60756
-0.15001,17423.9747,4.0494,0.53256,,0.0,2.1795,-0.60745
-0.15,17483.9732,4.0485,0.53506,0.0,,2.1897,-0.60728
-0.15002,17543.9733,4.0476,0.53756,,0.0,2.1998,-0.60722
-0.15002,17603.9741,4.0469,0.54006,0.0,,2.2099,-0.60712
-0.15002,17663.9732,4.0462,0.54256,,3.3541998863220215,2.22,-0.60701
-0.15002,17723.9747,4.0454,0.54506,0.0,,2.2301,-0.60689
-0.15002,17783.9727,4.0446,0.54756,,0.0,2.2402,-0.60677
-0.15002,17843.9744,4.0437,0.55006,0.0,,2.2504,-0.60664
-0.15002,17903.9736,4.0428,0.55256,,0.0,2.2605,-0.6065
-0.15001,17963.9734,4.0422,0.55506,0.0,,2.2706,-0.60637
-0.15002,18023.9731,4.0414,0.55756,0.3069300055503845,0.0,2.2807,-0.60629
-0.15003,18083.9732,4.0404,0.56006,,3.0715999603271484,2.2908,-0.60618
-0.15002,18143.9745,4.0396,0.56256,0.0,,2.3009,-0.60602
-0.15001,18203.9735,4.0386,0.56506,,0.0,2.311,-0.60583
-0.15002,18263.9751,4.038,0.56756,0.0,,2.3211,-0.60578
-0.15001,18323.9732,4.0371,0.57006,,0.0,2.3312,-0.60561
-0.15002,18383.9732,4.0361,0.57256,0.0,2.7567999362945557,2.3413,-0.6055
-0.15001,18443.9733,4.0351,0.57506,,,2.3514,-0.60531
-0.15002,18503.974,4.0343,0.57756,0.0,0.0,2.3614,-0.60523
-0.15001,18563.9745,4.0336,0.58007,,,2.3715,-0.60508
-0.15002,18623.9732,4.0328,0.58257,0.0,0.0,2.3816,-0.605
-0.15001,18683.9729,4.0318,0.58507,,,2.3917,-0.60481
-0.15002,18743.9728,4.0307,0.58757,0.3517400026321411,3.0116000175476074,2.4018,-0.60469
-0.15001,18803.9747,4.0299,0.59007,,,2.4119,-0.60453
-0.15002,18863.9737,4.0291,0.59257,0.0,0.0,2.4219,-0.60445
-0.15002,18923.9733,4.0282,0.59507,,,2.432,-0.60431
-0.15002,18983.9749,4.0272,0.59757,0.0,0.0,2.4421,-0.60416
-0.15001,19043.9731,4.0262,0.60007,,,2.4521,-0.60397
-0.15002,19103.9749,4.0253,0.60257,0.0,2.6714000701904297,2.4622,-0.60388
-0.15003,19163.973,4.0245,0.60507,,,2.4723,-0.6038
-0.15002,19223.9728,4.0236,0.60757,0.0,0.0,2.4823,-0.60362
-0.15001,19283.9734,4.0225,0.61007,,,2.4924,-0.60342
-0.15002,19343.9733,4.0215,0.61257,0.0,0.0,2.5024,-0.60331
-0.15002,19403.973,4.0206,0.61507,0.36383000016212463,2.7037999629974365,2.5125,-0.60317
-0.15001,19463.9746,4.0197,0.61757,,,2.5225,-0.603
-0.15002,19523.9747,4.0188,0.62007,0.0,0.0,2.5326,-0.6029
-0.15002,19583.9735,4.0176,0.62257,,,2.5426,-0.60272
-0.15003,19643.9735,4.0166,0.62507,0.0,0.0,2.5527,-0.60261
-0.15001,19703.9736,4.0157,0.62757,,2.3907999992370605,2.5627,-0.6024
-0.15002,19763.9745,4.0148,0.63007,0.0,,2.5728,-0.6023
-0.15002,19823.9729,4.0138,0.63257,,0.0,2.5828,-0.60215
-0.15002,19883.9742,4.0126,0.63507,0.0,,2.5928,-0.60197
-0.15002,19943.9727,4.0115,0.63757,,0.0,2.6029,-0.60181
-0.15002,20003.9741,4.0107,0.64007,0.4038800001144409,2.5617001056671143,2.6129,-0.60169
-0.15002,20063.9735,4.0097,0.64257,,,2.6229,-0.60154
-0.15001,20123.9732,4.0086,0.64507,0.0,0.0,2.6329,-0.60133
-0.15001,20183.9727,4.0075,0.64757,,,2.643,-0.60117
-0.15001,20243.9725,4.0064,0.65007,0.0,0.0,2.653,-0.601
-0.15001,20303.9749,4.0055,0.65257,,2.49399995803833,2.663,-0.60087
-0.15001,20363.9738,4.0045,0.65507,0.0,,2.673,-0.60072
-0.15002,20423.9753,4.0034,0.65757,,0.0,2.683,-0.60059
-0.15002,20483.9746,4.0022,0.66007,0.0,,2.693,-0.60041
-0.15001,20543.9737,4.0012,0.66257,0.4212000072002411,0.0,2.703,-0.60022
-0.15002,20603.9734,4.0003,0.66507,,2.4077000617980957,2.713,-0.60013
-0.15001,20663.9756,3.9993,0.66757,0.0,,2.723,-0.59993
-0.15001,20723.9731,3.9981,0.67007,,0.0,2.733,-0.59975
-0.15001,20783.9731,3.997,0.67257,0.0,,2.743,-0.59959
-0.15002,20843.9738,3.9961,0.67507,,0.0,2.753,-0.59949
-0.15001,20903.9736,3.995,0.67757,0.0,2.38070011138916,2.763,-0.59929
-0.15001,20963.973,3.994,0.68007,,,2.773,-0.59914
-0.15001,21023.9727,3.9927,0.68258,0.0,0.0,2.783,-0.59894
-0.15002,21083.9728,3.9917,0.68508,,,2.793,-0.59883
-0.15002,21143.9741,3.9907,0.68758,0.4114300012588501,2.3134000301361084,2.803,-0.59868
-0.15002,21203.9731,3.9898,0.69008,,,2.8129,-0.59855
-0.15002,21263.9731,3.9888,0.69258,0.0,0.0,2.8229,-0.5984
-0.15001,21323.9737,3.9875,0.69508,,,2.8329,-0.59816
-0.15002,21383.9726,3.9865,0.69758,0.0,0.0,2.8428,-0.59805
-0.15001,21443.9739,3.9855,0.70008,,2.430500030517578,2.8528,-0.59786
-0.15002,21503.9757,3.9846,0.70258,0.0,,2.8628,-0.59777
-0.15002,21563.973,3.9835,0.70508,,0.0,2.8727,-0.5976
-0.15002,21623.9741,3.9823,0.70758,0.0,,2.8827,-0.59742
-0.15002,21683.9727,3.9813,0.71008,0.4222699999809265,0.0,2.8926,-0.59727
-0.15001,21743.9746,3.9803,0.71258,,2.4047999382019043,2.9026,-0.59708
-0.15003,21803.9729,3.9794,0.71508,0.0,,2.9126,-0.59703
-0.15001,21863.9744,3.9783,0.71758,,0.0,2.9225,-0.59678
-0.15001,21923.9754,3.9771,0.72008,,,2.9324,-0.5966
-0.15001,21983.973,3.9761,0.72258,0.0,0.0,2.9424,-0.59645
-0.15001,22043.9736,3.9753,0.72508,,2.428100109100342,2.9523,-0.59633
-0.15001,22103.975,3.9743,0.72758,0.0,,2.9623,-0.59618
-0.15002,22163.9742,3.9733,0.73008,,0.0,2.9722,-0.59607
-0.15001,22223.9733,3.9721,0.73258,0.0,,2.9821,-0.59585
-0.15002,22283.9728,3.971,0.73508,0.40160998702049255,0.0,2.9921,-0.59573
-0.15001,22343.9734,3.9701,0.73758,,2.474400043487549,3.002,-0.59555
-0.15002,22403.9733,3.9693,0.74008,0.0,,3.0119,-0.59547
-0.15002,22463.9731,3.9683,0.74258,,0.0,3.0218,-0.59532
-0.15001,22523.9744,3.9671,0.74508,0.0,,3.0318,-0.5951
-0.15002,22583.9738,3.9662,0.74758,,0.0,3.0417,-0.59501
-0.15002,22643.9737,3.9651,0.75008,0.0,2.4932000637054443,3.0516,-0.59484
-0.15001,22703.9732,3.9644,0.75258,,,3.0615,-0.5947
-0.15002,22763.9733,3.9634,0.75508,,0.0,3.0714,-0.59459
-0.15001,22823.9739,3.9623,0.75758,0.0,,3.0813,-0.59438
-0.15002,22883.975,3.9613,0.76008,,0.0,3.0912,-0.59427
-0.15002,22943.9735,3.9604,0.76258,0.39041998982429504,2.646199941635132,3.1011,-0.59414
-0.15001,23003.974,3.9596,0.76508,,,3.111,-0.59398
-0.15001,23063.9739,3.9587,0.76758,0.0,0.0,3.1209,-0.59384
-0.15001,23123.9729,3.9576,0.77008,,,3.1308,-0.59368
-0.15002,23183.9745,3.9566,0.77258,0.0,0.0,3.1407,-0.59357
-0.15002,23243.973,3.9557,0.77508,,2.690700054168701,3.1506,-0.59343
-0.15002,23303.973,3.9548,0.77759,0.0,,3.1605,-0.5933
-0.15001,23363.9742,3.9541,0.78009,,0.0,3.1704,-0.59315
-0.15003,23423.9733,3.9532,0.78259,0.0,,3.1803,-0.5931
-0.15002,23483.9731,3.9521,0.78509,,0.0,3.1902,-0.59289
-0.15002,23543.9738,3.9512,0.78759,0.0,,3.2,-0.59276
-0.15001,23603.9727,3.9505,0.79009,0.3645400106906891,2.778700113296509,3.2099,-0.59261
-0.15001,23663.9742,3.9497,0.79259,,,3.2198,-0.59249
-0.15001,23723.9747,3.9488,0.79509,0.0,0.0,3.2297,-0.59236
-0.15002,23783.9744,3.9478,0.79759,,,3.2395,-0.59225
-0.15001,23843.9736,3.9469,0.80009,0.0,0.0,3.2494,-0.59207
-0.15002,23903.9735,3.946,0.80259,,,3.2593,-0.59198
-0.15001,23963.9727,3.9454,0.80509,0.0,2.9000000953674316,3.2691,-0.59185
-0.15002,24023.9743,3.9446,0.80759,,,3.279,-0.59177
-0.15002,24083.9742,3.9435,0.81009,0.0,0.0,3.2889,-0.5916
-0.15003,24143.9728,3.9427,0.81259,,,3.2987,-0.59152
-0.15002,24203.9736,3.9419,0.81509,0.0,0.0,3.3086,-0.59136
-0.15001,24263.9726,3.9413,0.81759,,,3.3184,-0.59123
-0.15002,24323.9729,3.9403,0.82009,0.3379899859428406,2.8982999324798584,3.3283,-0.59112
-0.15001,24383.9749,3.9395,0.82259,,,3.3381,-0.59096
-0.15002,24443.9743,3.9386,0.82509,0.0,0.0,3.348,-0.59087
-0.15002,24503.9736,3.938,0.82759,,,3.3578,-0.59078
-0.15001,24563.9726,3.9372,0.83009,0.0,0.0,3.3677,-0.59062
-0.15001,24623.9726,3.9364,0.83259,,,3.3775,-0.5905
-0.15001,24683.9742,3.9355,0.83509,0.0,3.2869999408721924,3.3874,-0.59036
-0.15002,24743.9736,3.9347,0.83759,,,3.3972,-0.59028
-0.15001,24803.9744,3.9341,0.84009,0.0,0.0,3.407,-0.59015
-0.15002,24863.9738,3.9334,0.84259,,,3.4169,-0.59009
-0.15002,24923.9739,3.9327,0.84509,0.0,0.0,3.4267,-0.58998
-0.15002,24983.9753,3.9318,0.84759,,,3.4365,-0.58985
-0.15001,25043.9731,3.931,0.85009,0.31661999225616455,0.0,3.4464,-0.58969
-0.15002,25103.9729,3.9304,0.85259,,3.3208999633789062,3.4562,-0.58964
-0.15001,25163.9729,3.9298,0.85509,0.0,,3.466,-0.58951
-0.15002,25223.974,3.929,0.85759,,0.0,3.4758,-0.58943
-0.15002,25283.9729,3.9281,0.86009,0.0,,3.4857,-0.58929
-0.15002,25343.973,3.9273,0.86259,,0.0,3.4955,-0.58917
-0.15002,25403.9739,3.9268,0.86509,0.0,,3.5053,-0.5891
-0.15002,25463.9732,3.9262,0.86759,,0.0,3.5151,-0.58901
-0.15001,25523.9737,3.9254,0.87009,0.0,3.4725000858306885,3.5249,-0.58885
-0.15001,25583.9745,3.9246,0.87259,,,3.5348,-0.58873
-0.15002,25643.9747,3.9239,0.8751,0.0,0.0,3.5446,-0.58866
-0.15001,25703.9735,3.9234,0.8776,,,3.5544,-0.58855
-0.15,25763.9742,3.9227,0.8801,0.0,0.0,3.5642,-0.58841
-0.15002,25823.9726,3.922,0.8826,,,3.574,-0.58838
-0.15001,25883.9726,3.9212,0.8851,0.0,0.0,3.5838,-0.58822
-0.15002,25943.9736,3.9206,0.8876,0.27553999423980713,3.5869998931884766,3.5936,-0.58817
-0.15001,26003.9728,3.9201,0.8901,,,3.6034,-0.58805
-0.15002,26063.9737,3.9194,0.8926,0.0,0.0,3.6132,-0.58799
-0.15002,26123.9751,3.9186,0.8951,,,3.623,-0.58787
-0.15002,26183.9734,3.918,0.8976,0.0,0.0,3.6328,-0.58778
-0.15002,26243.9741,3.9173,0.9001,,,3.6426,-0.58767
-0.15001,26303.9758,3.9169,0.9026,0.0,0.0,3.6524,-0.58757
-0.15001,26363.9747,3.9163,0.9051,,,3.6622,-0.58748
-0.15001,26423.9747,3.9155,0.9076,0.0,4.033899784088135,3.672,-0.58736
-0.15002,26483.9738,3.9148,0.9101,,,3.6818,-0.5873
