Current(A),Test_Time(s),Voltage(V),Charge_Capacity(Ah),dV/dQ(V/Ah),dQ/dV(Ah/V),Charge_Energy(Wh),Power(W)
0.15,1350.906,4.2001,0.06462,0.0,0.0,0.27207,0.63002
0.1487,1350.915,4.2001,0.06462,0.0,0.0,0.27207,0.62455
0.14997,76246.488,3.2519,0.06497,2.7191,0.38011,0.20374,0.48769
0.14999,76306.488,3.2583,0.06747,2.6053,0.38904,0.21188,0.48871
0.14998,76366.489,3.2647,0.06997,,0.3941,0.22003,0.48964
0.14997,76426.488,3.2708,0.07247,2.5068,0.4039,0.22819,0.49052
0.14998,76486.488,3.2766,0.07497,2.4011,0.42111,0.23638,0.49142
0.14998,76546.489,3.2823,0.07747,,0.43017,0.24457,0.49228
0.14998,76606.487,3.2881,0.07996,2.3082,0.43837,0.25278,0.49315
0.14997,76666.488,3.2937,0.08246,,0.44708,0.261,0.49396
0.14997,76726.487,3.2991,0.08496,2.2127,0.45717,0.26924,0.49477
0.14998,76786.488,3.3044,0.08746,,0.46658,0.27749,0.49559
0.14998,76846.488,3.3094,0.08996,2.1255,0.47722,0.28575,0.49634
0.14998,76906.486,3.3145,0.09246,,0.48809,0.29403,0.49711
0.14998,76966.489,3.3195,0.09496,2.0262,0.49924,0.30232,0.49786
0.14998,77026.487,3.3244,0.09746,,0.51229,0.31062,0.49859
0.14998,77086.488,3.3289,0.09996,1.9421,0.51884,0.31893,0.49927
0.14999,77146.486,3.3336,0.10245,,0.53319,0.32726,0.50001
0.14997,77206.487,3.3381,0.10495,1.8492,0.55016,0.3356,0.50061
0.14998,77266.488,3.3426,0.10745,,0.56064,0.34394,0.50132
0.14997,77326.486,3.347,0.10995,1.7632,0.57706,0.3523,0.50195
0.14997,77386.486,3.3511,0.11245,,,0.36067,0.50256
0.14997,77446.486,3.3551,0.11495,0.0,0.59221,0.36905,0.50316
0.14998,77506.487,3.3592,0.11745,1.6663,0.6102,0.37744,0.50381
0.14997,77566.489,3.3632,0.11995,,0.63267,0.38584,0.50438
0.14998,77626.487,3.3668,0.12244,1.5512,0.65688,0.39424,0.50495
0.14998,77686.487,3.3704,0.12494,,,0.40266,0.50549
0.14998,77746.489,3.3738,0.12744,0.0,0.69208,0.41109,0.506
0.14997,77806.487,3.3773,0.12994,1.4078,0.73304,0.41952,0.50649
0.14998,77866.487,3.3804,0.13244,,,0.42797,0.50699
0.14998,77926.487,3.3832,0.13494,0.0,0.8037,0.43642,0.50741
0.14997,77986.486,3.3859,0.13744,1.1854,,0.44488,0.50778
0.14998,78046.488,3.3884,0.13994,,0.8957,0.45334,0.50819
0.14999,78106.488,3.3909,0.14244,0.0,,0.46181,0.5086
0.14998,78166.488,3.393,0.14493,,1.0401,0.47029,0.50888
