Current(A),Test_Time(s),Voltage(V),Discharge_Capacity(Ah),dV/dQ(V/Ah),dQ/dV(Ah/V),Discharge_Energy(Wh),Power(W)
-0.15001,11311.219,4.0701,0.26495,,,1.0846,-0.61056
-0.15001,11371.218,4.0699,0.26745,0.0,0.0,1.0947,-0.61053
-0.15001,11431.218,4.0694,0.26995,,,1.1049,-0.61045
-0.15001,11491.219,4.0693,0.27245,0.0,0.0,1.1151,-0.61044
-0.15001,11551.218,4.069,0.27495,,,1.1252,-0.61039
-0.15001,11611.22,4.0689,0.27745,0.0,0.0,1.1354,-0.61038
-0.15,11671.219,4.0687,0.27995,,,1.1456,-0.61031
-0.15002,11731.218,4.0684,0.28245,0.0,0.0,1.1557,-0.61034
-0.15001,11791.22,4.068,0.28494,,,1.1659,-0.61024
-0.15001,11851.219,4.0677,0.28744,0.0,11.105,1.1761,-0.6102
-0.15002,11911.219,4.0676,0.28994,,,1.1863,-0.61022
-0.15002,11971.218,4.0674,0.29244,0.0,0.0,1.1964,-0.61019
-0.15001,12031.218,4.0669,0.29494,,,1.2066,-0.61008
-0.15001,12091.218,4.0666,0.29744,0.0,0.0,1.2168,-0.61003
-0.15001,12151.219,4.0663,0.29994,,,1.2269,-0.60999
-0.15001,12211.218,4.0662,0.30244,0.0,0.0,1.2371,-0.60997
-0.15002,12271.22,4.0659,0.30494,,,1.2472,-0.60997
-0.15,12331.218,4.0654,0.30744,0.0,0.0,1.2574,-0.60981
-0.15,12391.219,4.065,0.30994,,,1.2676,-0.60975
-0.15001,12451.218,4.0648,0.31244,0.0,0.0,1.2777,-0.60976
-0.15001,12511.219,4.0645,0.31494,,,1.2879,-0.60972
-0.15001,12571.22,4.0641,0.31744,0.0,0.0,1.298,-0.60966
-0.15,12631.218,4.0635,0.31994,,,1.3082,-0.60953
-0.15001,12691.218,4.0632,0.32244,0.0,0.0,1.3184,-0.60952
-0.15002,12751.219,4.0628,0.32494,0.10665,7.6008,1.3285,-0.6095
-0.15001,12811.221,4.0625,0.32744,,,1.3387,-0.60942
-0.15,12871.219,4.0621,0.32994,0.0,0.0,1.3488,-0.60932
-0.15001,12931.218,4.0614,0.33244,,,1.359,-0.60925
-0.15001,12991.219,4.061,0.33494,0.0,0.0,1.3691,-0.60919
-0.15001,13051.22,4.0605,0.33744,,,1.3793,-0.60912
-0.15001,13111.218,4.0602,0.33994,0.0,0.0,1.3894,-0.60907
-0.15001,13171.218,4.0598,0.34243,,,1.3996,-0.60901
-0.15001,13231.219,4.0592,0.34493,0.0,0.0,1.4097,-0.60892
-0.15001,13291.22,4.0585,0.34743,,,1.4199,-0.60882
-0.15002,13351.218,4.058,0.34993,0.0,0.0,1.43,-0.60878
-0.15001,13411.219,4.0576,0.35243,,5.2614,1.4402,-0.60868
-0.15001,13471.218,4.0571,0.35493,0.0,,1.4503,-0.60861
-0.15001,13531.218,4.0565,0.35743,,0.0,1.4604,-0.60852
-0.15002,13591.219,4.0558,0.35993,0.0,,1.4706,-0.60845
-0.15001,13651.218,4.0552,0.36243,,0.0,1.4807,-0.60832
-0.15,13711.218,4.0547,0.36493,0.0,,1.4908,-0.60821
-0.15001,13771.22,4.0542,0.36743,,0.0,1.501,-0.60817
-0.15001,13831.218,4.0536,0.36993,0.0,,1.5111,-0.60808
-0.15001,13891.219,4.0528,0.37243,0.20705,4.3285,1.5212,-0.60796
-0.15001,13951.219,4.0522,0.37493,,,1.5314,-0.60787
-0.15001,14011.217,4.0517,0.37743,0.0,0.0,1.5415,-0.6078
-0.15,14071.219,4.0511,0.37993,,,1.5516,-0.60767
-0.15001,14131.22,4.0505,0.38243,0.0,0.0,1.5618,-0.60762
-0.15001,14191.218,4.0496,0.38493,,,1.5719,-0.60748
-0.15001,14251.219,4.049,0.38743,0.0,0.0,1.582,-0.60739
-0.15002,14311.218,4.0484,0.38993,,,1.5921,-0.60734
-0.15,14371.219,4.0479,0.39243,0.0,3.9102,1.6022,-0.60719
-0.15001,14431.218,4.0472,0.39492,,,1.6124,-0.60712
-0.15001,14491.218,4.0463,0.39742,0.0,0.0,1.6225,-0.60699
-0.15001,14551.219,4.0457,0.39992,,,1.6326,-0.6069
-0.15002,14611.219,4.045,0.40242,0.0,0.0,1.6427,-0.60683
-0.15,14671.218,4.0444,0.40492,,,1.6528,-0.60666
-0.15,14731.218,4.0437,0.40742,0.0,0.0,1.6629,-0.60656
-0.15,14791.217,4.0428,0.40992,0.26583,3.6212,1.673,-0.60642
-0.15001,14851.218,4.0421,0.41242,,,1.6831,-0.60636
-0.15001,14911.218,4.0415,0.41492,0.0,,1.6932,-0.60627
-0.15002,14971.218,4.0409,0.41742,,0.0,1.7033,-0.60622
-0.15001,15031.219,4.0401,0.41992,0.0,,1.7134,-0.60606
-0.15001,15091.22,4.0392,0.42242,,0.0,1.7235,-0.60592
-0.15002,15151.217,4.0384,0.42492,0.0,,1.7336,-0.60584
-0.15001,15211.219,4.0379,0.42742,,3.4181,1.7437,-0.60573
-0.15,15271.219,4.0372,0.42992,0.0,,1.7538,-0.60558
-0.15,15331.22,4.0364,0.43241,,0.0,1.7639,-0.60546
