Current(A),Test_Time(s),Voltage(V),Charge_Capacity(Ah),dV/dQ(V/Ah),dQ/dV(Ah/V),Charge_Energy(Wh),Power(W)
0.14996,1129.154,4.1999,0.03634,0.0,0.0,0.15262,0.62982
0.1853,1129.163,4.2004,0.03634,0.0,0.0,0.15262,0.77833
0.14999,79181.452,3.1042,0.0375,4.3309,0.23283,0.1125,0.4656
0.14998,79241.451,3.1144,0.04,4.1722,0.24283,0.12027,0.4671
0.14999,79301.451,3.1242,0.0425,4.0199,0.25043,0.12807,0.4686
0.14999,79361.453,3.1337,0.045,3.8503,0.26,0.13589,0.47002
0.15,79421.451,3.1431,0.0475,3.7377,0.27107,0.14374,0.47147
0.14999,79481.451,3.152,0.05,3.5661,0.28334,0.15161,0.47277
0.15,79541.452,3.1605,0.0525,,0.28746,0.1595,0.47408
0.15,79601.452,3.1688,0.055,3.4493,0.2997,0.16741,0.47532
0.14999,79661.451,3.1769,0.0575,3.3137,0.3105,0.17534,0.4765
0.14999,79721.453,3.1849,0.06,3.2006,0.31846,0.18329,0.4777
0.14998,79781.452,3.1925,0.0625,3.0891,0.32705,0.19126,0.47881
0.14999,79841.453,3.1998,0.065,,0.3334,0.19925,0.47994
0.14998,79901.451,3.2069,0.0675,2.9611,0.34588,0.20726,0.48097
0.14999,79961.453,3.214,0.07,2.865,0.35438,0.21529,0.48207
0.15,80021.452,3.2209,0.0725,2.7398,0.36084,0.22333,0.48314
0.14999,80081.451,3.2276,0.075,,0.37355,0.23139,0.48411
0.14999,80141.452,3.234,0.0775,2.6523,0.381,0.23947,0.48507
0.14998,80201.451,3.2402,0.08,,0.39252,0.24756,0.48597
0.15,80261.452,3.2464,0.0825,2.5453,0.40491,0.25567,0.48696
0.15,80321.452,3.2526,0.085,2.448,0.41084,0.26379,0.48789
0.14999,80381.453,3.2585,0.0875,,0.42308,0.27193,0.48874
0.14999,80441.451,3.2642,0.09,2.3636,0.42839,0.28008,0.4896
0.14999,80501.454,3.2698,0.0925,,0.43415,0.28825,0.49044
0.15,80561.452,3.2753,0.095,2.2692,0.45205,0.29643,0.4913
0.14999,80621.451,3.2809,0.0975,,0.4514,0.30462,0.4921
0.14998,80681.451,3.2862,0.1,2.1758,0.46687,0.31283,0.49286
0.14998,80741.451,3.2912,0.1025,2.0949,0.4747,0.32105,0.49361
0.14999,80801.453,3.2962,0.105,,0.48418,0.32929,0.4944
0.14999,80861.453,3.3013,0.10749,2.0187,0.49257,0.33753,0.49516
0.14999,80921.451,3.3062,0.10999,,0.5001,0.34579,0.4959
0.14999,80981.454,3.311,0.11249,1.9256,0.51629,0.35406,0.49662
0.14999,81041.452,3.3155,0.11499,,0.52781,0.36235,0.49729
0.14999,81101.451,3.32,0.11749,0.0,0.53805,0.37064,0.49797
0.14999,81161.452,3.3246,0.11999,1.8423,0.5483,0.37895,0.49866
0.14999,81221.452,3.3291,0.12249,,0.56264,0.38726,0.49933
0.14999,81281.453,3.3334,0.12499,1.7578,0.57613,0.39559,0.49998
0.14999,81341.452,3.3374,0.12749,,0.59454,0.40393,0.50058
0.14999,81401.452,3.3415,0.12999,1.6787,0.60544,0.41228,0.50119
0.14999,81461.453,3.3455,0.13249,,,0.42063,0.50179
0.14998,81521.453,3.3495,0.13499,0.0,0.63337,0.429,0.50236
0.14999,81581.452,3.3532,0.13749,1.5645,0.65189,0.43738,0.50295
0.14999,81641.452,3.3567,0.13999,,0.68799,0.44577,0.50347
0.14998,81701.452,3.3601,0.14249,0.0,,0.45416,0.50395
0.14999,81761.451,3.3634,0.14499,1.4258,0.73743,0.46257,0.50448
0.14999,81821.451,3.3666,0.14749,,,0.47098,0.50496
0.14999,81881.452,3.3694,0.14999,0.0,0.80688,0.4794,0.50538
0.15,81941.454,3.3719,0.15249,1.1726,0.93236,0.48782,0.50579
0.14999,82001.452,3.3741,0.15499,,,0.49626,0.50608
0.14999,82061.451,3.3762,0.15749,0.0,0.0,0.50469,0.5064
0.14999,82121.452,3.3783,0.15999,,1.1177,0.51314,0.50671
0.14998,82181.453,3.3802,0.16249,0.0,,0.52158,0.50696
0.14999,82241.452,3.3818,0.16499,0.82762,1.3853,0.53004,0.50724
0.15,82301.453,3.3832,0.16749,,,0.53849,0.50748
0.14999,82361.453,3.3847,0.16999,0.0,0.0,0.54695,0.50767
0.14999,82421.451,3.3862,0.17249,,,0.55541,0.5079
0.14998,82481.453,3.3875,0.17499,0.0,1.737,0.56388,0.50806
0.14999,82541.453,3.3887,0.17749,,,0.57235,0.50827
0.14999,82601.452,3.3897,0.17999,0.0,0.0,0.58082,0.50842
0.14998,82661.452,3.3908,0.18249,0.53443,,0.5893,0.50855
0.14999,82721.451,3.392,0.18499,,2.1299,0.59778,0.50877
0.14999,82781.452,3.3931,0.18749,0.0,,0.60626,0.50893
0.15,82841.451,3.3941,0.18999,,0.0,0.61474,0.50912
0.14999,82901.453,3.3949,0.19249,0.0,,0.62323,0.5092
0.15,82961.453,3.3959,0.19499,,0.0,0.63171,0.50939
0.14999,83021.451,3.397,0.19749,0.0,2.5161,0.6402,0.50952
0.14999,83081.453,3.3979,0.19999,,,0.6487,0.50965
0.14999,83141.453,3.3987,0.20249,0.0,0.0,0.65719,0.50977
0.15,83201.452,3.3995,0.20499,,,0.66569,0.50993
0.14998,83261.454,3.4004,0.20749,0.0,0.0,0.67419,0.50999
0.14998,83321.452,3.4014,0.20999,0.38027,,0.68269,0.51014
0.15,83381.453,3.4022,0.21249,,2.8427,0.69119,0.51033
0.14999,83441.452,3.4028,0.21499,0.0,,0.6997,0.51039
0.14999,83501.451,3.4037,0.21749,,0.0,0.70821,0.51052
0.14999,83561.451,3.4044,0.21999,0.0,,0.71672,0.51063
0.14999,83621.454,3.4054,0.22249,,0.0,0.72523,0.51078
0.14999,83681.453,3.4062,0.22499,0.0,,0.73374,0.5109
0.14998,83741.451,3.4068,0.22749,,3.1847,0.74226,0.51095
0.14998,83801.453,3.4075,0.22999,0.0,,0.75077,0.51106
0.14999,83861.452,3.4082,0.23249,,0.0,0.75929,0.5112
0.15,83921.453,3.4091,0.23499,0.0,,0.76781,0.51137
0.14999,83981.452,3.4099,0.23749,,0.0,0.77634,0.51145
0.14999,84041.452,3.4105,0.23999,0.0,,0.78486,0.51154
0.14999,84101.452,3.4112,0.24249,0.30805,0.0,0.79339,0.51165
0.14999,84161.451,3.4119,0.24498,,3.3706,0.80192,0.51175
0.14998,84221.452,3.4127,0.24748,0.0,,0.81045,0.51184
0.14999,84281.451,3.4134,0.24998,,0.0,0.81898,0.51198
0.14998,84341.451,3.4141,0.25248,0.0,,0.82751,0.51205
0.14998,84401.453,3.4146,0.25498,,0.0,0.83605,0.51212
0.14998,84461.451,3.4153,0.25748,0.0,,0.84458,0.51223
0.14999,84521.453,3.4162,0.25998,,0.0,0.85312,0.5124
0.14999,84581.451,3.4169,0.26248,0.0,3.6539,0.86166,0.5125
0.14999,84641.453,3.4174,0.26498,,,0.87021,0.51258
0.14999,84701.452,3.4181,0.26748,0.0,0.0,0.87875,0.51268
0.15,84761.453,3.4187,0.26998,,,0.88729,0.51281
0.15,84821.453,3.4194,0.27248,0.0,0.0,0.89584,0.51291
0.15,84881.451,3.4202,0.27498,,,0.90439,0.51303
0.14999,84941.452,3.4208,0.27748,0.0,0.0,0.91294,0.51309
0.14999,85001.451,3.4213,0.27998,0.27207,,0.92149,0.51316
0.14999,85061.452,3.4219,0.28248,,3.8185,0.93005,0.51325
0.14999,85121.452,3.4227,0.28498,0.0,,0.9386,0.51337
0.14998,85181.452,3.4233,0.28748,,0.0,0.94716,0.51343
0.14999,85241.453,3.424,0.28998,0.0,,0.95572,0.51357
0.14998,85301.453,3.4245,0.29248,,0.0,0.96428,0.51361
0.15,85361.452,3.4251,0.29498,0.0,,0.97284,0.51377
0.14998,85421.453,3.4258,0.29748,,0.0,0.9814,0.5138
0.14998,85481.452,3.4265,0.29998,0.0,,0.98997,0.51391
0.14999,85541.452,3.4272,0.30248,,3.9115,0.99853,0.51405
0.14998,85601.453,3.4277,0.30498,0.0,,1.0071,0.51409
0.14998,85661.452,3.4283,0.30748,,0.0,1.0157,0.51418
0.14999,85721.452,3.4289,0.30998,0.0,,1.0242,0.5143
0.14999,85781.452,3.4297,0.31248,,0.0,1.0328,0.51442
0.14999,85841.452,3.4303,0.31498,0.0,,1.0414,0.51451
0.14999,85901.452,3.4308,0.31748,0.25375,0.0,1.05,0.51459
0.14998,85961.452,3.4314,0.31998,,,1.0585,0.51464
0.14998,86021.453,3.4321,0.32248,0.0,3.9635,1.0671,0.51475
0.14998,86081.452,3.4329,0.32498,,,1.0757,0.51487
0.14998,86141.453,3.4335,0.32748,0.0,0.0,1.0843,0.51496
0.14998,86201.453,3.434,0.32998,,,1.0929,0.51503
0.14998,86261.452,3.4346,0.33248,0.0,0.0,1.1014,0.51512
0.14999,86321.452,3.4354,0.33498,,,1.11,0.51528
