Current(A),Test_Time(s),Voltage(V),Charge_Capacity(Ah),dV/dQ(V/Ah),dQ/dV(Ah/V),Charge_Energy(Wh),Power(W)
0.14998,86381.453,3.4361,0.33748,0.0,0.0,1.1186,0.51535
0.14999,86441.451,3.4367,0.33998,,,1.1272,0.51547
0.14998,86501.452,3.4372,0.34248,0.0,3.8869,1.1358,0.51551
0.14998,86561.451,3.4379,0.34498,,,1.1444,0.51562
0.14998,86621.452,3.4386,0.34748,0.0,0.0,1.153,0.51572
0.14999,86681.453,3.4394,0.34998,,,1.1616,0.51588
0.14998,86741.454,3.44,0.35248,,0.0,1.1702,0.51593
0.14999,86801.452,3.4406,0.35498,0.0,,1.1788,0.51606
0.14998,86861.451,3.4412,0.35748,0.26025,0.0,1.1874,0.51611
0.15,86921.453,3.4419,0.35998,,3.7518,1.196,0.51629
0.14999,86981.451,3.4428,0.36248,0.0,,1.2046,0.51639
0.14999,87041.452,3.4435,0.36497,,0.0,1.2132,0.51649
0.14998,87101.453,3.444,0.36747,0.0,,1.2218,0.51653
0.14998,87161.452,3.4447,0.36997,,0.0,1.2304,0.51664
0.14999,87221.451,3.4454,0.37247,0.0,,1.239,0.51678
0.14999,87281.452,3.4463,0.37497,,0.0,1.2477,0.51691
0.14999,87341.453,3.447,0.37747,0.0,3.5269,1.2563,0.51702
0.14999,87401.452,3.4476,0.37997,,,1.2649,0.51711
0.14999,87461.451,3.4484,0.38247,0.0,0.0,1.2735,0.51723
0.14998,87521.452,3.4492,0.38497,,,1.2821,0.51731
0.14999,87581.451,3.4501,0.38747,0.0,0.0,1.2907,0.51748
0.14998,87641.452,3.4508,0.38997,,,1.2994,0.51755
0.15,87701.453,3.4514,0.39247,0.28923,0.0,1.308,0.51771
0.14998,87761.452,3.4522,0.39497,,3.3201,1.3166,0.51776
0.14999,87821.452,3.4531,0.39747,0.0,,1.3253,0.51793
0.14999,87881.452,3.454,0.39997,,0.0,1.3339,0.51807
0.14998,87941.452,3.4548,0.40247,0.0,,1.3425,0.51815
0.14999,88001.451,3.4555,0.40497,,0.0,1.3512,0.51829
0.14997,88061.452,3.4562,0.40747,0.0,,1.3598,0.51833
0.14998,88121.452,3.4571,0.40997,,3.0941,1.3684,0.5185
0.14998,88181.452,3.4579,0.41247,0.0,,1.3771,0.51862
0.14999,88241.453,3.4589,0.41497,,0.0,1.3857,0.5188
0.14999,88301.451,3.4598,0.41747,0.0,,1.3944,0.51894
0.14999,88361.453,3.4607,0.41997,,0.0,1.403,0.51907
0.14999,88421.454,3.4614,0.42247,0.32935,,1.4117,0.51918
0.14998,88481.451,3.4623,0.42497,,2.8903,1.4203,0.51928
0.14997,88541.452,3.4633,0.42747,0.0,,1.429,0.51939
0.14998,88601.451,3.4643,0.42997,,0.0,1.4377,0.51958
0.15,88661.451,3.4652,0.43247,0.0,,1.4463,0.51978
0.14999,88721.451,3.466,0.43497,,0.0,1.455,0.51987
0.14999,88781.451,3.4668,0.43747,0.0,2.7318,1.4636,0.51999
0.14999,88841.452,3.468,0.43997,,,1.4723,0.52017
0.14999,88901.452,3.4689,0.44247,0.0,0.0,1.481,0.5203
0.14999,88961.453,3.4698,0.44497,,,1.4897,0.52044
0.14999,89021.451,3.4707,0.44747,0.0,0.0,1.4983,0.52057
0.14999,89081.452,3.4716,0.44997,0.36973,2.6375,1.507,0.52071
0.14999,89141.453,3.4728,0.45247,,,1.5157,0.52089
0.14999,89201.451,3.4737,0.45497,0.0,0.0,1.5244,0.52102
0.14999,89261.451,3.4747,0.45747,,,1.5331,0.52117
0.14997,89321.451,3.4755,0.45997,0.0,0.0,1.5417,0.52122
0.14998,89381.451,3.4766,0.46247,,,1.5504,0.52142
0.14999,89441.452,3.4777,0.46497,0.0,2.5457,1.5591,0.52162
0.14998,89501.451,3.4787,0.46747,,,1.5678,0.52174
0.14999,89561.452,3.4795,0.46997,0.0,0.0,1.5765,0.52189
0.14997,89621.451,3.4806,0.47247,,,1.5852,0.52199
0.14998,89681.453,3.4816,0.47496,0.39492,0.0,1.5939,0.52217
0.14998,89741.452,3.4827,0.47746,,2.4934,1.6026,0.52234
0.14998,89801.452,3.4838,0.47996,0.0,,1.6113,0.5225
0.14998,89861.451,3.4846,0.48246,,0.0,1.62,0.52262
0.14998,89921.452,3.4856,0.48496,0.0,,1.6287,0.52277
0.14999,89981.452,3.4867,0.48746,,0.0,1.6375,0.52297
0.14998,90041.452,3.4878,0.48996,0.0,2.4732,1.6462,0.5231
0.14999,90101.452,3.4889,0.49246,,,1.6549,0.5233
0.14998,90161.453,3.4897,0.49496,0.0,0.0,1.6636,0.52339
0.14999,90221.452,3.4907,0.49746,,,1.6723,0.52357
0.14999,90281.452,3.4918,0.49996,0.40805,2.4405,1.6811,0.52374
0.14998,90341.453,3.4929,0.50246,,,1.6898,0.52387
0.14997,90401.451,3.4939,0.50496,0.0,0.0,1.6985,0.52398
0.14999,90461.453,3.4948,0.50746,,,1.7073,0.52419
0.14998,90521.453,3.4959,0.50996,0.0,0.0,1.716,0.52432
0.15,90581.453,3.4969,0.51246,,2.4533,1.7247,0.52454
0.14998,90641.452,3.4981,0.51496,0.0,,1.7335,0.52465
0.15,90701.452,3.499,0.51746,,0.0,1.7422,0.52485
0.14998,90761.452,3.4999,0.51996,0.0,,1.751,0.52492
0.14998,90821.451,3.5009,0.52246,0.40759,0.0,1.7597,0.52506
0.14998,90881.452,3.5021,0.52496,,2.4488,1.7685,0.52524
0.14998,90941.452,3.5031,0.52746,0.0,,1.7772,0.52539
0.14999,91001.451,3.504,0.52996,,0.0,1.786,0.52556
0.14999,91061.451,3.5049,0.53246,0.0,,1.7948,0.5257
0.14999,91121.452,3.5059,0.53496,,0.0,1.8035,0.52585
0.14999,91181.452,3.5072,0.53746,0.0,2.4904,1.8123,0.52604
0.14999,91241.452,3.5082,0.53996,,,1.8211,0.52619
0.14999,91301.452,3.509,0.54246,0.0,0.0,1.8298,0.52631
0.14998,91361.454,3.51,0.54496,,,1.8386,0.52643
0.14999,91421.451,3.511,0.54746,0.40188,0.0,1.8474,0.52661
0.14998,91481.451,3.5122,0.54996,,2.4815,1.8562,0.52676
0.14998,91541.451,3.5131,0.55246,0.0,,1.8649,0.52689
0.14999,91601.451,3.514,0.55496,,0.0,1.8737,0.52706
0.14999,91661.454,3.515,0.55746,0.0,,1.8825,0.52721
0.14998,91721.451,3.5161,0.55996,,0.0,1.8913,0.52734
0.14999,91781.452,3.5171,0.56246,0.0,2.5054,1.9001,0.52753
0.14998,91841.452,3.5181,0.56496,,,1.9089,0.52764
0.14999,91901.452,3.519,0.56746,0.0,0.0,1.9177,0.52781
0.14999,91961.452,3.52,0.56996,,,1.9265,0.52796
0.14998,92021.452,3.5211,0.57246,0.40116,0.0,1.9353,0.52809
0.14999,92081.451,3.5221,0.57496,,2.5017,1.9441,0.52828
0.14998,92141.452,3.523,0.57746,0.0,,1.9529,0.52838
0.14999,92201.452,3.524,0.57996,,0.0,1.9617,0.52856
0.15,92261.451,3.5249,0.58246,0.0,,1.9705,0.52874
0.14999,92321.453,3.5261,0.58495,,0.0,1.9793,0.52888
0.14999,92381.453,3.5271,0.58745,0.0,2.5303,1.9881,0.52903
0.14998,92441.452,3.5279,0.58995,,,1.9969,0.52911
0.14999,92501.452,3.5289,0.59245,0.0,0.0,2.0058,0.5293
0.14999,92561.453,3.5299,0.59495,,,2.0146,0.52945
0.14999,92621.452,3.531,0.59745,0.39317,0.0,2.0234,0.52961
0.14999,92681.452,3.5319,0.59995,,2.5649,2.0322,0.52975
0.14999,92741.452,3.5329,0.60245,0.0,,2.0411,0.5299
0.14999,92801.452,3.5337,0.60495,,0.0,2.0499,0.53002
0.14999,92861.452,3.5347,0.60745,0.0,,2.0587,0.53017
0.14998,92921.451,3.5358,0.60995,,0.0,2.0676,0.5303
0.14998,92981.452,3.5367,0.61245,,,2.0764,0.53043
0.14999,93041.452,3.5376,0.61495,0.0,2.6042,2.0853,0.5306
0.14998,93101.452,3.5385,0.61745,,,2.0941,0.5307
0.14998,93161.451,3.5394,0.61995,0.0,0.0,2.1029,0.53084
0.14999,93221.453,3.5405,0.62245,,,2.1118,0.53104
0.14999,93281.453,3.5414,0.62495,0.38086,0.0,2.1206,0.53117
0.15,93341.451,3.5422,0.62745,,2.6631,2.1295,0.53133
0.14998,93401.452,3.5431,0.62995,0.0,,2.1384,0.53139
0.14999,93461.451,3.544,0.63245,,0.0,2.1472,0.53156
0.14998,93521.453,3.5451,0.63495,0.0,,2.1561,0.53169
0.14998,93581.451,3.546,0.63745,,0.0,2.1649,0.53183
0.14999,93641.453,3.5469,0.63995,0.0,2.7101,2.1738,0.532
0.14998,93701.451,3.5478,0.64245,,,2.1827,0.5321
0.14999,93761.452,3.5487,0.64495,0.0,0.0,2.1915,0.53227
0.14998,93821.452,3.5497,0.64745,,,2.2004,0.53238
0.14997,93881.451,3.5507,0.64995,0.0,0.0,2.2093,0.5325
0.14998,93941.453,3.5516,0.65245,0.36954,,2.2182,0.53267
0.14999,94001.451,3.5524,0.65495,,2.7169,2.227,0.53282
0.14999,94061.452,3.5532,0.65745,0.0,,2.2359,0.53294
0.14999,94121.451,3.5542,0.65995,,0.0,2.2448,0.53309
0.14998,94181.454,3.5552,0.66245,0.0,,2.2537,0.53321
0.14998,94241.451,3.5561,0.66495,,0.0,2.2626,0.53334
0.14999,94301.451,3.5569,0.66745,0.0,2.7547,2.2715,0.5335
0.14999,94361.453,3.5577,0.66995,,,2.2804,0.53362
0.14999,94421.451,3.5588,0.67245,0.0,0.0,2.2893,0.53378
0.15,94481.454,3.5597,0.67495,,,2.2982,0.53396
0.15,94541.452,3.5606,0.67745,0.0,0.0,2.3071,0.53409
0.14998,94601.452,3.5613,0.67995,0.36071,,2.316,0.53412
0.14999,94661.452,3.5622,0.68245,,2.7952,2.3249,0.53429
0.14998,94721.452,3.5631,0.68495,0.0,,2.3338,0.53439
0.14999,94781.451,3.5641,0.68745,,0.0,2.3427,0.53458
0.14998,94841.452,3.565,0.68995,0.0,,2.3516,0.53468
0.14999,94901.453,3.5657,0.69245,,0.0,2.3605,0.53482
0.14998,94961.452,3.5665,0.69494,0.0,,2.3694,0.5349
0.14998,95021.451,3.5674,0.69744,,2.9067,2.3783,0.53504
0.14999,95081.452,3.5684,0.69994,0.0,,2.3873,0.53522
0.14999,95141.452,3.5692,0.70244,,0.0,2.3962,0.53534
0.14998,95201.453,3.5698,0.70494,0.0,,2.4051,0.5354
0.14998,95261.452,3.5706,0.70744,,0.0,2.414,0.53552
0.15,95321.452,3.5715,0.70994,0.33888,,2.4229,0.53573
0.14999,95381.453,3.5724,0.71244,,3.0506,2.4319,0.53582
0.14998,95441.452,3.5732,0.71494,0.0,,2.4408,0.53591
0.14999,95501.451,3.5738,0.71744,,0.0,2.4497,0.53603
0.15,95561.451,3.5746,0.71994,0.0,,2.4587,0.53619
0.14999,95621.451,3.5753,0.72244,,0.0,2.4676,0.53626
0.14998,95681.452,3.5762,0.72494,0.0,,2.4765,0.53636
0.14998,95741.453,3.577,0.72744,,3.2889,2.4855,0.53648
0.14999,95801.451,3.5775,0.72994,0.0,,2.4944,0.53659
0.14998,95861.452,3.5782,0.73244,,0.0,2.5034,0.53666
0.15,95921.452,3.5789,0.73494,0.0,,2.5123,0.53684
0.14999,95981.453,3.5798,0.73744,,0.0,2.5213,0.53693
0.14999,96041.452,3.5805,0.73994,0.0,,2.5302,0.53704
0.14998,96101.452,3.5811,0.74244,0.29794,0.0,2.5392,0.53709
0.15,96161.451,3.5817,0.74494,,3.5228,2.5481,0.53726
0.14999,96221.451,3.5824,0.74744,0.0,,2.5571,0.53732
0.14998,96281.454,3.5832,0.74994,,0.0,2.566,0.53741
0.14998,96341.452,3.5839,0.75244,0.0,,2.575,0.53751
0.14999,96401.452,3.5844,0.75494,,,2.584,0.53762
0.14998,96461.451,3.5851,0.75744,0.0,0.0,2.5929,0.53769
0.14999,96521.451,3.5858,0.75994,,,2.6019,0.53783
0.14998,96581.452,3.5865,0.76244,0.0,0.0,2.6108,0.5379
0.14999,96641.453,3.5872,0.76494,,3.7981,2.6198,0.53804
0.14998,96701.452,3.5877,0.76744,0.0,,2.6288,0.53808
0.14999,96761.453,3.5883,0.76994,,0.0,2.6377,0.53821
0.14998,96821.453,3.5889,0.77244,0.0,,2.6467,0.53826
0.14998,96881.453,3.5896,0.77494,,0.0,2.6557,0.53837
0.14999,96941.452,3.5903,0.77744,0.0,,2.6647,0.53851
0.14999,97001.452,3.591,0.77994,,0.0,2.6736,0.53861
0.14999,97061.452,3.5914,0.78244,0.26033,,2.6826,0.53867
0.14999,97121.451,3.592,0.78494,,3.9533,2.6916,0.53876
0.14999,97181.451,3.5928,0.78744,0.0,,2.7006,0.53888
0.14998,97241.453,3.5934,0.78994,,0.0,2.7096,0.53894
0.14999,97301.452,3.594,0.79244,0.0,,2.7185,0.53906
0.14999,97361.452,3.5945,0.79494,,0.0,2.7275,0.53914
0.14999,97421.453,3.5951,0.79744,0.0,,2.7365,0.53923
0.15,97481.451,3.5959,0.79994,,0.0,2.7455,0.53939
0.15,97541.453,3.5965,0.80244,0.0,,2.7545,0.53948
0.14999,97601.452,3.597,0.80494,,4.0796,2.7635,0.53951
0.14998,97661.451,3.5975,0.80744,0.0,,2.7725,0.53955
0.14999,97721.452,3.5982,0.80994,,0.0,2.7815,0.53969
0.15,97781.451,3.5988,0.81243,0.0,,2.7905,0.53982
0.15,97841.452,3.5995,0.81493,,0.0,2.7995,0.53993
0.14999,97901.453,3.6001,0.81743,0.0,,2.8085,0.53998
0.14999,97961.453,3.6005,0.81993,,0.0,2.8175,0.54004
0.14998,98021.451,3.6011,0.82243,0.24348,,2.8265,0.54009
0.14998,98081.452,3.6019,0.82493,,0.0,2.8355,0.54021
0.14998,98141.452,3.6025,0.82743,0.0,4.1879,2.8445,0.5403
0.14999,98201.452,3.603,0.82993,,,2.8535,0.54041
0.14999,98261.451,3.6034,0.83243,0.0,0.0,2.8625,0.54047
0.14998,98321.451,3.6041,0.83493,,,2.8715,0.54054
0.14998,98381.453,3.6048,0.83743,0.0,0.0,2.8805,0.54065
0.14999,98441.451,3.6054,0.83993,,,2.8895,0.54077
0.14999,98501.452,3.6058,0.84243,0.0,0.0,2.8985,0.54083
0.14999,98561.451,3.6063,0.84493,,,2.9075,0.54091
0.14999,98621.452,3.6069,0.84743,0.0,4.3212,2.9166,0.541
0.14998,98681.451,3.6077,0.84993,,,2.9256,0.54108
0.14999,98741.451,3.6082,0.85243,0.0,0.0,2.9346,0.54119
0.14999,98801.451,3.6086,0.85493,,,2.9436,0.54125
0.14999,98861.452,3.6091,0.85743,0.0,0.0,2.9526,0.54133
0.15,98921.452,3.6098,0.85993,,,2.9617,0.54147
0.14999,98981.452,3.6105,0.86243,0.0,0.0,2.9707,0.54154
0.14999,99041.452,3.611,0.86493,0.22884,,2.9797,0.54161
0.14998,99101.452,3.6114,0.86743,,0.0,2.9887,0.54164
0.15,99161.451,3.6119,0.86993,0.0,4.471,2.9978,0.54179
0.14998,99221.452,3.6126,0.87243,,,3.0068,0.54182
0.14998,99281.453,3.6132,0.87493,0.0,0.0,3.0158,0.54191
0.14999,99341.452,3.6137,0.87743,,,3.0249,0.54202
0.14998,99401.451,3.6141,0.87993,0.0,0.0,3.0339,0.54204
0.14998,99461.453,3.6147,0.88243,,,3.0429,0.54213
0.14999,99521.452,3.6154,0.88493,0.0,0.0,3.052,0.54227
0.14999,99581.452,3.6159,0.88743,,,3.061,0.54235
0.15,99641.452,3.6163,0.88993,,0.0,3.07,0.54245
0.15,99701.452,3.6168,0.89243,0.0,4.6488,3.0791,0.54252
0.14998,99761.452,3.6174,0.89493,,,3.0881,0.54254
0.14999,99821.452,3.618,0.89743,0.0,0.0,3.0972,0.54266
0.14998,99881.452,3.6185,0.89993,,,3.1062,0.5427
0.14999,99941.451,3.6189,0.90243,0.0,,3.1153,0.5428
0.14999,100001.452,3.6194,0.90493,,0.0,3.1243,0.54287
0.14999,100061.453,3.62,0.90743,0.0,,3.1334,0.54296
0.14999,100121.453,3.6207,0.90993,,0.0,3.1424,0.54307
0.14999,100181.451,3.6211,0.91243,0.21387,,3.1515,0.54313
0.14999,100241.452,3.6215,0.91493,,0.0,3.1605,0.54319
0.14999,100301.454,3.622,0.91743,0.0,4.7548,3.1696,0.54326
0.14999,100361.451,3.6227,0.91993,,,3.1786,0.54337
0.14999,100421.451,3.6232,0.92243,0.0,0.0,3.1877,0.54344
0.14999,100481.453,3.6238,0.92493,,,3.1967,0.54353
0.15,100541.452,3.6241,0.92743,0.0,0.0,3.2058,0.54362
0.14999,100601.451,3.6246,0.92993,,,3.2149,0.54365
0.14999,100661.452,3.6252,0.93243,0.0,0.0,3.2239,0.54374
0.14999,100721.452,3.6258,0.93493,,,3.233,0.54383
0.14998,100781.452,3.6264,0.93743,0.0,0.0,3.242,0.54389
0.14998,100841.452,3.6267,0.93993,,,3.2511,0.54393
0.14999,100901.453,3.6272,0.94243,0.0,4.834,3.2602,0.54404
0.14998,100961.451,3.6277,0.94492,,,3.2692,0.54408
0.14998,101021.453,3.6284,0.94742,0.0,0.0,3.2783,0.54419
0.14999,101081.451,3.6289,0.94992,,,3.2874,0.5443
0.14999,101141.451,3.6292,0.95242,0.0,0.0,3.2965,0.54434
0.14999,101201.452,3.6298,0.95492,,,3.3055,0.54443
0.14999,101261.451,3.6304,0.95742,0.0,0.0,3.3146,0.54452
0.15,101321.451,3.631,0.95992,,,3.3237,0.54465
0.14999,101381.453,3.6315,0.96242,0.20641,0.0,3.3328,0.54469
0.14999,101441.451,3.6318,0.96492,,4.8577,3.3418,0.54473
0.15,101501.452,3.6323,0.96742,0.0,,3.3509,0.54485
0.14999,101561.453,3.6328,0.96992,,0.0,3.36,0.54488
0.14998,101621.452,3.6336,0.97242,0.0,,3.3691,0.54497
0.14999,101681.453,3.6341,0.97492,,0.0,3.3782,0.54508
0.15,101741.452,3.6346,0.97742,0.0,,3.3872,0.54519
0.14999,101801.451,3.6349,0.97992,,0.0,3.3963,0.5452
0.14999,101861.452,3.6354,0.98242,0.0,,3.4054,0.54527
0.15,101921.451,3.636,0.98492,,0.0,3.4145,0.5454
0.14999,101981.451,3.6366,0.98742,0.0,,3.4236,0.54545
0.14998,102041.453,3.6371,0.98992,,4.8826,3.4327,0.54549
0.14999,102101.451,3.6375,0.99242,0.0,,3.4418,0.54559
0.14999,102161.452,3.638,0.99492,,0.0,3.4509,0.54566
0.14998,102221.451,3.6385,0.99742,0.0,,3.46,0.5457
0.14999,102281.452,3.6392,0.99992,,0.0,3.4691,0.54584
0.14999,102341.452,3.6397,1.0024,0.0,,3.4782,0.54592
0.14998,102401.452,3.64,1.0049,,0.0,3.4873,0.54593
0.14999,102461.452,3.6406,1.0074,0.0,,3.4964,0.54605
